 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Метаксилол
 20.12.12 00:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 01:00 0.22 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 0.17 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 03:00 0.14 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 04:00 0.13 ---- ---- ---- ---- ---- ---- ---- ----
 20.12.12 05:00 0.13 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 06:00 0.16 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 08:00 0.30 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 09:00 0.29 ---- ---- ---- ---- ---- ---- ---- ----
 20.12.12 10:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 11:00 0.33 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 12:00 0.33 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 13:00 0.32 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 14:00 0.34 ---- ---- ---- ---- ---- ---- ---- ----
 20.12.12 15:00 0.29 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 16:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 17:00 0.34 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 18:00 0.33 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 19:00 0.34 ---- ---- ---- ---- ---- ---- ---- ----
 20.12.12 20:00 0.34 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 21:00 0.35 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 22:00 0.34 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 23:00 0.33 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 00:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 21.12.12 01:00 0.29 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 03:00 0.19 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 04:00 0.15 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 05:00 0.16 ---- ---- ---- ---- ---- ---- ---- ----
 21.12.12 06:00 0.20 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.30 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 08:00 0.36 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 09:00 0.32 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 10:00 0.35 ---- ---- ---- ---- ---- ---- ---- ----
 21.12.12 11:00 0.33 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 12:00 0.33 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 13:00 0.32 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 14:00 0.33 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 15:00 0.32 ---- ---- ---- ---- ---- ---- ---- ----
 21.12.12 16:00 0.34 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 17:00 0.39 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 18:00 0.35 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 19:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 20:00 0.35 ---- ---- ---- ---- ---- ---- ---- ----
 21.12.12 21:00 0.37 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 22:00 0.41 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 23:00 0.40 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 00:00 0.38 ---- ---- ---- ---- ---- ---- ---- ----
