 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Метаксилол
 31.12.12 12:00 0.15 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 13:00 0.16 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 14:00 0.16 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 15:00 0.21 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 16:00 0.21 ---- ---- ---- ---- ---- ---- ---- ----
 31.12.12 17:00 0.22 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 18:00 0.22 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 19:00 0.21 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 20:00 0.24 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 21:00 0.26 ---- ---- ---- ---- ---- ---- ---- ----
 31.12.12 22:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 23:00 0.24 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 00:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 01:00 0.19 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 01.01.13 03:00 0.26 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 04:00 0.24 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 05:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 06:00 0.20 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.18 ---- ---- ---- ---- ---- ---- ---- ----
 01.01.13 08:00 0.17 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 09:00 0.16 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 10:00 0.14 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 11:00 0.12 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 12:00 0.13 ---- ---- ---- ---- ---- ---- ---- ----
 01.01.13 13:00 0.12 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 14:00 0.12 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 15:00 0.12 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 16:00 0.14 ---- ---- ---- 0.16 ---- ---- ---- ----
 -------- 17:00 0.13 ---- ---- ---- ---- ---- ---- ---- ----
 01.01.13 18:00 0.14 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 19:00 0.14 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 20:00 0.14 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 21:00 0.14 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 22:00 0.14 ---- ---- ---- ---- ---- ---- ---- ----
 01.01.13 23:00 0.14 ---- ---- ---- 0.21 ---- ---- ---- ----
 -------- 00:00 0.13 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 01:00 0.14 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 0.13 ---- ---- ---- 0.22 ---- ---- ---- ----
 -------- 03:00 0.11 ---- ---- ---- 0.19 ---- ---- ---- ----
 02.01.13 04:00 0.09 ---- ---- ---- 0.14 ---- ---- ---- ----
 -------- 05:00 0.08 ---- ---- ---- 0.12 ---- ---- ---- ----
 -------- 06:00 0.08 ---- ---- ---- 0.17 ---- ---- ---- ----
 -------- 07:00 0.09 ---- ---- ---- 0.21 ---- ---- ---- ----
 -------- 08:00 0.10 ---- ---- ---- 0.14 ---- ---- ---- ----
 02.01.13 09:00 0.11 ---- ---- ---- 0.21 ---- ---- ---- ----
 -------- 10:00 0.14 ---- ---- ---- 0.25 ---- ---- ---- ----
 -------- 11:00 0.16 ---- ---- ---- 0.25 ---- ---- ---- ----
 -------- 12:00 0.16 ---- ---- ---- 0.24 ---- ---- ---- ----
