 Date Time CO SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РњРµС‚Р°РєСЃРёР»РѕР»
 03.04.13 00:00 0.31 0.01 0.24 0.11 0.46 0.03 0.23 0.00 0.01
 -------- 01:00 0.25 0.01 0.29 0.05 0.41 0.04 0.26 0.00 0.01
 -------- 02:00 0.19 0.01 0.26 0.09 0.45 0.02 0.29 0.00 0.01
 -------- 03:00 0.14 0.01 0.31 0.09 0.33 0.04 0.23 0.00 0.01
 -------- 04:00 0.12 0.01 0.18 0.08 0.41 0.02 0.24 0.00 0.01
 03.04.13 05:00 0.12 0.01 0.25 0.06 0.40 0.02 0.29 0.00 0.01
 -------- 06:00 0.15 0.01 0.27 0.10 0.40 0.04 0.27 0.00 0.01
 -------- 07:00 0.26 0.01 0.27 0.12 0.48 0.03 0.28 0.00 0.02
 -------- 08:00 0.31 0.01 0.20 0.16 0.50 0.04 0.28 0.00 0.02
 -------- 09:00 0.34 0.01 0.19 0.17 0.57 0.03 0.29 0.00 0.02
 03.04.13 10:00 0.32 0.00 0.20 0.16 0.50 0.04 0.25 0.00 0.02
 -------- 11:00 0.31 0.00 0.22 0.14 0.47 0.04 0.27 0.00 0.01
 -------- 12:00 0.30 0.01 0.15 0.14 0.48 ---- 0.32 0.00 ----
 -------- 13:00 0.26 0.01 0.21 0.11 0.44 0.00 0.27 0.00 0.01
 -------- 14:00 0.23 0.01 0.18 0.09 0.38 0.02 0.26 0.00 0.02
 03.04.13 15:00 0.21 0.01 0.25 0.12 0.37 0.01 0.26 0.00 0.02
 -------- 16:00 0.21 0.01 0.30 0.13 0.34 0.01 0.27 0.00 0.01
 -------- 17:00 0.20 0.01 0.35 0.15 0.37 0.02 0.29 0.00 0.01
 -------- 18:00 0.21 0.00 0.28 0.13 0.38 0.01 0.27 0.00 0.02
 -------- 19:00 0.20 0.00 0.36 0.15 0.40 0.03 0.28 0.00 0.01
 03.04.13 20:00 0.22 0.01 0.33 0.16 0.43 0.01 0.25 0.00 0.01
 -------- 21:00 0.27 0.00 0.29 0.14 0.45 0.02 0.29 0.00 0.02
 -------- 22:00 0.33 0.01 0.28 0.15 0.46 0.04 0.27 0.00 0.01
 -------- 23:00 0.35 0.01 0.22 0.18 0.55 0.01 0.26 0.00 0.01
 -------- 00:00 0.33 0.01 0.22 0.14 0.54 0.03 0.25 0.00 0.01
 04.04.13 01:00 0.28 0.01 0.24 0.15 0.52 0.02 0.24 0.00 0.02
 -------- 02:00 0.25 0.01 0.28 0.14 0.50 0.03 0.20 0.00 0.01
 -------- 03:00 0.21 0.01 0.26 0.12 0.52 0.03 0.23 0.00 0.02
 -------- 04:00 0.18 0.01 0.17 0.12 0.49 0.03 0.23 0.00 0.01
 -------- 05:00 0.15 0.01 0.27 0.10 0.45 0.04 0.23 0.00 0.02
 04.04.13 06:00 0.18 0.01 0.20 0.13 0.54 0.04 0.21 0.00 0.02
 -------- 07:00 0.27 0.01 0.21 0.16 0.61 0.02 0.23 0.00 0.02
 -------- 08:00 0.29 0.01 0.25 0.15 0.53 0.03 0.25 0.00 0.02
 -------- 09:00 0.26 0.02 0.29 0.16 0.48 0.02 0.31 0.00 0.01
 -------- 10:00 0.23 0.01 0.31 0.17 0.41 0.02 0.27 0.00 0.02
 04.04.13 11:00 0.22 0.01 0.34 0.19 0.43 0.01 0.28 0.00 0.01
 -------- 12:00 0.22 0.01 0.34 0.20 0.42 0.03 0.25 0.00 0.01
 -------- 13:00 0.21 0.01 0.37 0.16 0.40 0.02 0.28 0.00 0.01
 -------- 14:00 0.20 0.01 0.37 0.13 0.42 0.03 0.26 0.00 0.01
 -------- 15:00 0.20 0.01 0.33 0.13 0.38 0.01 0.27 0.00 0.01
 04.04.13 16:00 0.21 0.01 0.32 0.15 0.43 0.03 0.29 0.00 0.01
 -------- 17:00 0.20 0.01 0.35 0.16 0.42 0.05 0.26 0.00 0.01
 -------- 18:00 0.20 0.00 0.34 0.13 0.45 0.02 0.29 0.00 0.01
 -------- 19:00 0.20 0.01 0.33 0.15 0.44 0.01 0.29 0.00 0.01
 -------- 20:00 0.21 0.01 0.30 0.15 0.47 0.02 0.29 0.00 0.01
 04.04.13 21:00 0.24 0.01 0.27 0.12 0.48 0.01 0.29 0.00 0.01
 -------- 22:00 0.23 0.01 0.23 0.15 0.52 0.02 0.23 0.00 0.00
 -------- 23:00 0.25 0.02 0.25 0.18 0.56 0.02 0.27 0.00 0.01
 -------- 00:00 0.28 0.02 0.28 0.16 0.57 0.03 0.35 0.00 0.01
