 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Метаксилол
 09.01.13 00:00 0.21 ---- ---- ---- 0.24 ---- ---- ---- ----
 -------- 01:00 0.16 ---- ---- ---- 0.25 ---- ---- ---- ----
 -------- 02:00 0.11 ---- ---- ---- 0.19 ---- ---- ---- ----
 -------- 03:00 0.08 ---- ---- ---- 0.22 ---- ---- ---- ----
 -------- 04:00 0.10 ---- ---- ---- 0.19 ---- ---- ---- ----
 09.01.13 05:00 0.10 ---- ---- ---- 0.20 ---- ---- ---- ----
 -------- 06:00 0.12 ---- ---- ---- 0.21 ---- ---- ---- ----
 -------- 07:00 0.16 ---- ---- ---- 0.25 ---- ---- ---- ----
 -------- 08:00 0.19 ---- ---- ---- 0.31 ---- ---- ---- ----
 -------- 09:00 0.21 ---- ---- ---- 0.31 ---- ---- ---- ----
 09.01.13 10:00 0.21 ---- ---- ---- 0.33 ---- ---- ---- ----
 -------- 11:00 0.23 ---- ---- ---- 0.36 ---- ---- ---- ----
 -------- 12:00 0.25 ---- ---- ---- 0.34 ---- ---- ---- ----
 -------- 13:00 0.26 ---- ---- ---- 0.38 ---- ---- ---- ----
 -------- 14:00 0.33 ---- ---- ---- 0.39 ---- ---- ---- ----
 09.01.13 15:00 0.34 ---- ---- ---- 0.41 ---- ---- ---- ----
 -------- 16:00 0.31 ---- ---- ---- 0.36 ---- ---- ---- ----
 -------- 17:00 0.31 ---- ---- ---- 0.32 ---- ---- ---- ----
 -------- 18:00 0.30 ---- ---- ---- 0.34 ---- ---- ---- ----
 -------- 19:00 0.27 ---- ---- ---- 0.37 ---- ---- ---- ----
 09.01.13 20:00 0.23 ---- ---- ---- 0.32 ---- ---- ---- ----
 -------- 21:00 0.22 ---- ---- ---- 0.28 ---- ---- ---- ----
 -------- 22:00 0.23 ---- ---- ---- 0.36 ---- ---- ---- ----
 -------- 23:00 0.24 ---- ---- ---- 0.28 ---- ---- ---- ----
 -------- 00:00 0.22 ---- ---- ---- 0.27 ---- ---- ---- ----
 10.01.13 01:00 0.19 ---- ---- ---- 0.27 ---- ---- ---- ----
 -------- 02:00 0.14 ---- ---- ---- 0.24 ---- ---- ---- ----
 -------- 03:00 0.10 ---- ---- ---- 0.20 ---- ---- ---- ----
 -------- 04:00 0.08 ---- ---- ---- 0.24 ---- ---- ---- ----
 -------- 05:00 0.08 ---- ---- ---- 0.24 ---- ---- ---- ----
 10.01.13 06:00 0.09 ---- ---- ---- 0.29 ---- ---- ---- ----
 -------- 07:00 0.14 ---- ---- ---- 0.30 ---- ---- ---- ----
 -------- 08:00 0.17 ---- ---- ---- 0.36 ---- ---- ---- ----
 -------- 09:00 0.18 ---- ---- ---- 0.34 ---- ---- ---- ----
 -------- 10:00 0.21 ---- ---- ---- 0.40 ---- ---- ---- ----
 10.01.13 11:00 0.22 ---- ---- ---- 0.37 ---- ---- ---- ----
 -------- 12:00 0.21 ---- ---- ---- 0.38 ---- ---- ---- ----
 -------- 13:00 0.22 ---- ---- ---- 0.38 ---- ---- ---- ----
 -------- 14:00 0.21 ---- ---- ---- 0.38 ---- ---- ---- ----
 -------- 15:00 0.20 ---- ---- ---- 0.38 ---- ---- ---- ----
 10.01.13 16:00 0.21 ---- ---- ---- 0.36 ---- ---- ---- ----
 -------- 17:00 0.21 ---- ---- ---- 0.36 ---- ---- ---- ----
 -------- 18:00 0.22 ---- ---- ---- 0.37 ---- ---- ---- ----
 -------- 19:00 0.20 ---- ---- ---- 0.32 ---- ---- ---- ----
 -------- 20:00 0.19 ---- ---- ---- 0.32 ---- ---- ---- ----
 10.01.13 21:00 0.18 ---- ---- ---- 0.32 ---- ---- ---- ----
 -------- 22:00 0.20 ---- ---- ---- 0.34 ---- ---- ---- ----
 -------- 23:00 0.20 ---- ---- ---- 0.33 ---- ---- ---- ----
 -------- 00:00 0.20 ---- ---- ---- 0.34 ---- ---- ---- ----
