 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Метаксилол
 08.01.13 00:00 0.16 ---- ---- ---- 0.20 ---- ---- ---- ----
 -------- 01:00 0.13 ---- ---- ---- 0.17 ---- ---- ---- ----
 -------- 02:00 0.12 ---- ---- ---- 0.19 ---- ---- ---- ----
 -------- 03:00 0.11 ---- ---- ---- 0.15 ---- ---- ---- ----
 -------- 04:00 0.09 ---- ---- ---- 0.14 ---- ---- ---- ----
 08.01.13 05:00 0.08 ---- ---- ---- 0.15 ---- ---- ---- ----
 -------- 06:00 0.08 ---- ---- ---- 0.18 ---- ---- ---- ----
 -------- 07:00 0.11 ---- ---- ---- 0.18 ---- ---- ---- ----
 -------- 08:00 0.12 ---- ---- ---- 0.22 ---- ---- ---- ----
 -------- 09:00 0.15 ---- ---- ---- 0.22 ---- ---- ---- ----
 08.01.13 10:00 0.17 ---- ---- ---- 0.25 ---- ---- ---- ----
 -------- 11:00 0.18 ---- ---- ---- 0.26 ---- ---- ---- ----
 -------- 12:00 0.21 ---- ---- ---- 0.18 ---- ---- ---- ----
 -------- 13:00 0.23 ---- ---- ---- 0.20 ---- ---- ---- ----
 -------- 14:00 0.21 ---- ---- ---- 0.24 ---- ---- ---- ----
 08.01.13 15:00 0.22 ---- ---- ---- 0.25 ---- ---- ---- ----
 -------- 16:00 0.23 ---- ---- ---- 0.28 ---- ---- ---- ----
 -------- 17:00 0.24 ---- ---- ---- 0.29 ---- ---- ---- ----
 -------- 18:00 0.27 ---- ---- ---- 0.27 ---- ---- ---- ----
 -------- 19:00 0.26 ---- ---- ---- 0.24 ---- ---- ---- ----
 08.01.13 20:00 0.27 ---- ---- ---- 0.23 ---- ---- ---- ----
 -------- 21:00 0.29 ---- ---- ---- 0.25 ---- ---- ---- ----
 -------- 22:00 0.28 ---- ---- ---- 0.24 ---- ---- ---- ----
 -------- 23:00 0.26 ---- ---- ---- 0.23 ---- ---- ---- ----
 -------- 00:00 0.22 ---- ---- ---- 0.24 ---- ---- ---- ----
 09.01.13 01:00 0.16 ---- ---- ---- 0.25 ---- ---- ---- ----
 -------- 02:00 0.11 ---- ---- ---- 0.19 ---- ---- ---- ----
 -------- 03:00 0.08 ---- ---- ---- 0.22 ---- ---- ---- ----
 -------- 04:00 0.10 ---- ---- ---- 0.19 ---- ---- ---- ----
 -------- 05:00 0.10 ---- ---- ---- 0.20 ---- ---- ---- ----
 09.01.13 06:00 0.12 ---- ---- ---- 0.21 ---- ---- ---- ----
 -------- 07:00 0.16 ---- ---- ---- 0.25 ---- ---- ---- ----
 -------- 08:00 0.19 ---- ---- ---- 0.31 ---- ---- ---- ----
 -------- 09:00 0.21 ---- ---- ---- 0.31 ---- ---- ---- ----
 -------- 10:00 0.21 ---- ---- ---- 0.33 ---- ---- ---- ----
 09.01.13 11:00 0.23 ---- ---- ---- 0.36 ---- ---- ---- ----
 -------- 12:00 0.25 ---- ---- ---- 0.34 ---- ---- ---- ----
 -------- 13:00 0.26 ---- ---- ---- 0.38 ---- ---- ---- ----
 -------- 14:00 0.33 ---- ---- ---- 0.39 ---- ---- ---- ----
 -------- 15:00 0.34 ---- ---- ---- 0.41 ---- ---- ---- ----
 09.01.13 16:00 0.31 ---- ---- ---- 0.36 ---- ---- ---- ----
 -------- 17:00 0.31 ---- ---- ---- 0.32 ---- ---- ---- ----
 -------- 18:00 0.30 ---- ---- ---- 0.34 ---- ---- ---- ----
 -------- 19:00 0.27 ---- ---- ---- 0.37 ---- ---- ---- ----
 -------- 20:00 0.23 ---- ---- ---- 0.32 ---- ---- ---- ----
 09.01.13 21:00 0.22 ---- ---- ---- 0.28 ---- ---- ---- ----
 -------- 22:00 0.23 ---- ---- ---- 0.36 ---- ---- ---- ----
 -------- 23:00 0.24 ---- ---- ---- 0.28 ---- ---- ---- ----
