 Date Time CO SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РњРµС‚Р°РєСЃРёР»РѕР»
 02.03.13 12:00 0.14 0.01 0.19 ---- 0.26 ---- 0.34 0.00 ----
 -------- 13:00 0.16 0.00 0.26 0.03 0.28 ---- 0.30 0.00 ----
 -------- 14:00 0.16 0.00 0.25 0.04 0.28 ---- 0.31 0.00 ----
 -------- 15:00 0.15 0.00 0.18 0.00 0.28 ---- 0.33 0.00 ----
 -------- 16:00 0.17 0.00 0.30 0.08 0.28 0.03 0.26 0.00 0.02
 02.03.13 17:00 0.17 0.00 0.33 0.01 0.28 ---- 0.34 0.00 ----
 -------- 18:00 0.16 0.00 0.23 0.04 0.31 ---- 0.29 0.00 ----
 -------- 19:00 0.19 0.00 0.29 0.07 0.38 0.03 0.27 0.00 0.01
 -------- 20:00 0.22 0.00 0.22 0.07 0.40 ---- 0.32 0.00 ----
 -------- 21:00 0.23 0.00 0.21 0.07 0.43 ---- 0.31 0.00 ----
 02.03.13 22:00 0.25 0.00 0.18 0.09 0.45 ---- 0.30 0.00 ----
 -------- 23:00 0.28 0.01 0.19 0.16 0.50 ---- 0.29 0.00 ----
 -------- 00:00 0.33 0.01 0.06 0.09 0.54 ---- 0.27 0.00 ----
 -------- 01:00 0.34 0.02 0.08 0.12 0.58 ---- 0.25 0.00 ----
 -------- 02:00 0.40 0.01 0.05 0.12 0.59 ---- 0.29 0.00 ----
 03.03.13 03:00 0.39 0.01 0.03 0.06 0.58 ---- 0.29 0.00 ----
 -------- 04:00 0.37 0.01 0.09 0.10 0.61 ---- 0.30 0.00 ----
 -------- 05:00 0.35 0.01 0.10 0.08 0.60 ---- 0.30 0.00 ----
 -------- 06:00 0.28 0.01 0.13 0.11 0.59 ---- 0.30 0.00 ----
 -------- 07:00 0.26 0.02 0.08 0.11 0.59 ---- 0.30 0.00 ----
 03.03.13 08:00 0.23 0.02 0.10 0.08 0.56 ---- 0.22 0.00 ----
 -------- 09:00 0.19 0.02 0.02 0.04 0.48 ---- 0.22 0.00 ----
 -------- 10:00 0.16 0.03 0.09 0.03 0.45 ---- 0.29 0.00 ----
 -------- 11:00 0.15 0.02 0.14 0.04 0.42 ---- 0.26 0.00 ----
 -------- 12:00 0.15 0.01 0.28 0.07 0.46 ---- 0.32 0.00 ----
 03.03.13 13:00 0.17 0.02 0.17 0.08 0.46 ---- 0.33 0.00 ----
 -------- 14:00 0.11 0.02 0.25 0.02 0.35 ---- 0.33 0.00 ----
 -------- 15:00 0.17 0.09 0.32 0.03 0.38 ---- 0.31 0.00 ----
 -------- 16:00 0.21 0.06 0.30 0.05 0.42 ---- 0.31 0.00 ----
 -------- 17:00 0.18 0.03 0.37 0.05 0.32 ---- 0.28 0.00 ----
 03.03.13 18:00 0.17 0.02 0.30 0.09 0.32 ---- 0.31 0.00 ----
 -------- 19:00 0.18 0.01 0.35 0.04 0.34 ---- 0.32 0.00 ----
 -------- 20:00 0.18 0.01 0.32 0.07 0.36 ---- 0.29 0.00 ----
 -------- 21:00 0.17 0.04 0.33 0.09 0.38 ---- 0.34 0.00 ----
 -------- 22:00 0.15 0.06 0.22 0.10 0.37 ---- 0.24 0.00 ----
 03.03.13 23:00 0.15 0.02 0.18 0.08 0.42 ---- 0.36 0.00 ----
 -------- 00:00 0.14 0.01 0.14 0.03 0.38 ---- 0.31 0.00 ----
 -------- 01:00 0.13 0.01 0.31 0.04 0.32 ---- 0.35 0.00 ----
 -------- 02:00 0.09 0.01 0.21 0.03 0.30 ---- 0.28 0.00 ----
 -------- 03:00 0.07 0.01 0.20 0.03 0.27 ---- 0.32 0.00 ----
 04.03.13 04:00 0.06 0.01 0.20 ---- 0.26 ---- 0.29 0.00 ----
 -------- 05:00 0.06 0.01 0.27 0.04 0.25 ---- 0.30 0.00 ----
 -------- 06:00 0.09 0.01 0.20 0.00 0.31 ---- 0.30 0.00 ----
 -------- 07:00 0.17 0.01 0.23 0.05 0.35 ---- 0.33 0.00 ----
 -------- 08:00 0.21 0.01 0.21 0.08 0.38 ---- 0.33 0.00 ----
 04.03.13 09:00 0.21 0.01 0.15 0.10 0.38 ---- 0.30 0.00 ----
 -------- 10:00 0.23 0.01 0.25 0.06 0.37 0.04 0.29 0.00 0.03
 -------- 11:00 0.25 0.01 0.21 0.12 0.40 0.03 0.31 0.00 0.02
 -------- 12:00 0.26 0.01 0.16 0.08 0.39 0.03 0.31 0.00 0.02
