 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Метаксилол
 10.01.13 12:00 0.21 ---- ---- ---- 0.35 ---- ---- ---- ----
 -------- 13:00 0.22 ---- ---- ---- 0.38 ---- ---- ---- ----
 -------- 14:00 0.21 ---- ---- ---- 0.38 ---- ---- ---- ----
 -------- 15:00 0.20 ---- ---- ---- 0.38 ---- ---- ---- ----
 -------- 16:00 0.21 ---- ---- ---- 0.36 ---- ---- ---- ----
 10.01.13 17:00 0.21 ---- ---- ---- 0.36 ---- ---- ---- ----
 -------- 18:00 0.22 ---- ---- ---- 0.37 ---- ---- ---- ----
 -------- 19:00 0.20 ---- ---- ---- 0.32 ---- ---- ---- ----
 -------- 20:00 0.19 ---- ---- ---- 0.32 ---- ---- ---- ----
 -------- 21:00 0.18 ---- ---- ---- 0.32 ---- ---- ---- ----
 10.01.13 22:00 0.20 ---- ---- ---- 0.34 ---- ---- ---- ----
 -------- 23:00 0.20 ---- ---- ---- 0.33 ---- ---- ---- ----
 -------- 00:00 0.19 ---- ---- ---- 0.35 ---- ---- ---- ----
 -------- 01:00 0.16 ---- ---- ---- 0.33 ---- ---- ---- ----
 -------- 02:00 0.13 ---- ---- ---- 0.38 ---- ---- ---- ----
 11.01.13 03:00 0.09 ---- ---- ---- 0.37 ---- ---- ---- ----
 -------- 04:00 0.08 ---- ---- ---- 0.36 ---- ---- ---- ----
 -------- 05:00 0.08 ---- ---- ---- 0.34 ---- ---- ---- ----
 -------- 06:00 0.11 ---- ---- ---- 0.36 ---- ---- ---- ----
 -------- 07:00 0.15 ---- ---- ---- 0.37 ---- ---- ---- ----
 11.01.13 08:00 0.20 ---- ---- ---- 0.44 ---- ---- ---- ----
 -------- 09:00 0.20 ---- ---- ---- 0.46 ---- ---- ---- ----
 -------- 10:00 0.22 ---- ---- ---- 0.47 ---- ---- ---- ----
 -------- 11:00 0.20 ---- ---- ---- 0.48 ---- ---- ---- ----
 -------- 12:00 0.20 ---- ---- ---- 0.50 ---- ---- ---- ----
 11.01.13 13:00 0.22 ---- ---- ---- 0.53 ---- ---- ---- ----
 -------- 14:00 0.23 ---- ---- ---- 0.44 ---- ---- ---- ----
 -------- 15:00 0.25 ---- ---- ---- 0.48 ---- ---- ---- ----
 -------- 16:00 0.25 ---- ---- ---- 0.52 ---- ---- ---- ----
 -------- 17:00 0.28 ---- ---- ---- 0.47 ---- ---- ---- ----
 11.01.13 18:00 0.27 ---- ---- ---- 0.38 ---- ---- ---- ----
 -------- 19:00 0.26 ---- ---- ---- 0.37 ---- ---- ---- ----
 -------- 20:00 0.27 ---- ---- ---- 0.40 ---- ---- ---- ----
 -------- 21:00 0.29 ---- ---- ---- 0.42 ---- ---- ---- ----
 -------- 22:00 0.29 ---- ---- ---- 0.34 ---- ---- ---- ----
 11.01.13 23:00 0.29 ---- ---- ---- 0.34 ---- ---- ---- ----
 -------- 00:00 0.28 ---- ---- ---- 0.31 ---- ---- ---- ----
 -------- 01:00 0.23 ---- ---- ---- 0.29 ---- ---- ---- ----
 -------- 02:00 0.19 ---- ---- ---- 0.31 ---- ---- ---- ----
 -------- 03:00 0.16 ---- ---- ---- 0.30 ---- ---- ---- ----
 12.01.13 04:00 0.13 ---- ---- ---- 0.26 ---- ---- ---- ----
 -------- 05:00 0.12 ---- ---- ---- 0.31 ---- ---- ---- ----
 -------- 06:00 0.12 ---- ---- ---- 0.25 ---- ---- ---- ----
 -------- 07:00 0.15 ---- ---- ---- 0.27 ---- ---- ---- ----
 -------- 08:00 0.17 ---- ---- ---- 0.33 ---- ---- ---- ----
 12.01.13 09:00 0.22 ---- ---- ---- 0.32 ---- ---- ---- ----
 -------- 10:00 0.25 ---- ---- ---- 0.34 ---- ---- ---- ----
 -------- 11:00 0.29 ---- ---- ---- 0.35 ---- ---- ---- ----
 -------- 12:00 0.34 ---- ---- ---- 0.36 ---- ---- ---- ----
