 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол
 17.09.12 12:00 0.39 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 13:00 0.38 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 14:00 0.36 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 15:00 0.32 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 16:00 0.32 ---- ---- ---- ---- ---- ---- ---- ----
 17.09.12 17:00 0.43 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 18:00 0.43 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 19:00 0.48 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 20:00 0.67 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 21:00 1.00 ---- ---- ---- ---- ---- ---- ---- ----
 17.09.12 22:00 1.33 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 23:00 1.59 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 00:00 1.65 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 01:00 1.49 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 1.01 ---- ---- ---- ---- ---- ---- ---- ----
 18.09.12 03:00 0.68 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 04:00 0.41 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 05:00 0.28 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 06:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.35 ---- ---- ---- ---- ---- ---- ---- ----
 18.09.12 08:00 0.50 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 09:00 0.59 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 10:00 0.58 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 11:00 0.55 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 12:00 0.48 ---- ---- ---- ---- ---- ---- ---- ----
 18.09.12 13:00 0.40 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 14:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 15:00 0.32 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 16:00 0.34 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 17:00 0.37 ---- ---- ---- ---- ---- ---- ---- ----
 18.09.12 18:00 0.43 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 19:00 0.60 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 20:00 0.45 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 21:00 0.46 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 22:00 0.52 ---- ---- ---- ---- ---- ---- ---- ----
 18.09.12 23:00 0.52 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 00:00 0.53 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 01:00 0.49 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 0.56 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 03:00 0.44 ---- ---- ---- ---- ---- ---- ---- ----
 19.09.12 04:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 05:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 06:00 0.35 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.43 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 08:00 0.45 ---- ---- ---- ---- ---- ---- ---- ----
 19.09.12 09:00 0.44 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 10:00 0.43 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 11:00 0.43 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 12:00 0.42 ---- ---- ---- ---- ---- ---- ---- ----
