 Date Time CO SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РњРµС‚Р°РєСЃРёР»РѕР»
 07.04.13 12:00 0.16 0.00 0.61 0.23 0.27 0.03 0.20 0.00 0.02
 -------- 13:00 0.16 0.00 0.63 0.25 0.27 0.03 0.24 0.00 0.02
 -------- 14:00 0.16 0.00 0.64 0.27 0.26 0.04 0.19 0.00 0.02
 -------- 15:00 0.17 0.00 0.60 0.25 0.27 0.03 0.20 0.00 0.02
 -------- 16:00 0.18 0.00 0.61 0.25 0.29 0.02 0.24 0.00 0.02
 07.04.13 17:00 0.18 0.00 0.62 0.23 0.28 0.04 0.20 0.00 0.02
 -------- 18:00 0.18 0.00 0.60 0.25 0.28 0.03 0.23 0.00 0.02
 -------- 19:00 0.20 0.00 0.58 0.26 0.31 0.04 0.21 0.00 0.02
 -------- 20:00 0.25 0.00 0.62 0.29 0.37 0.03 0.18 0.00 0.02
 -------- 21:00 0.25 0.00 0.60 0.26 0.33 0.05 0.24 0.00 0.02
 07.04.13 22:00 0.26 0.00 0.59 0.25 0.37 0.02 0.23 0.00 0.02
 -------- 23:00 0.26 0.00 0.60 0.28 0.40 0.02 0.20 0.00 0.02
 -------- 00:00 0.25 0.01 0.55 0.27 0.39 0.03 0.22 0.00 0.02
 -------- 01:00 0.21 0.01 0.56 0.26 0.38 0.04 0.20 0.00 0.02
 -------- 02:00 0.19 0.01 0.54 0.26 0.38 0.04 0.23 0.00 0.03
 08.04.13 03:00 0.14 0.00 0.58 0.26 0.36 0.05 0.19 0.00 0.03
 -------- 04:00 0.13 0.00 0.53 0.25 0.43 0.02 0.24 0.00 0.03
 -------- 05:00 0.20 0.01 0.50 0.29 0.54 0.04 0.20 0.00 0.02
 -------- 06:00 0.27 0.01 0.52 0.31 0.51 0.04 0.24 0.00 0.02
 -------- 07:00 0.37 0.00 0.56 0.34 0.52 0.04 0.15 0.00 0.02
 08.04.13 08:00 0.35 0.00 0.58 0.32 0.49 0.05 0.23 0.00 0.03
 -------- 09:00 0.33 0.00 0.50 0.30 0.48 0.05 0.21 0.00 0.03
 -------- 10:00 0.31 0.01 0.51 0.29 0.49 0.02 0.25 0.00 0.01
 -------- 11:00 0.30 0.01 0.56 0.27 0.47 0.04 0.22 0.00 0.02
 -------- 12:00 0.29 0.01 0.55 0.25 0.37 0.03 0.25 0.00 0.02
 08.04.13 13:00 0.25 0.00 0.58 0.25 0.34 0.03 0.28 0.00 0.01
 -------- 14:00 0.26 0.01 0.58 0.25 0.32 0.04 0.33 0.00 0.02
 -------- 15:00 0.25 0.00 0.60 0.23 0.28 ---- 0.36 0.00 ----
 -------- 16:00 0.27 0.00 0.59 0.24 0.23 ---- 0.17 0.00 ----
 -------- 17:00 0.30 0.01 0.76 0.16 0.10 ---- 0.85 0.01 ----
 08.04.13 18:00 0.30 ---- ---- ---- 0.10 ---- ---- ---- ----
 -------- 19:00 0.33 ---- ---- ---- 0.39 ---- ---- ---- ----
 -------- 20:00 0.37 ---- ---- 0.58 0.41 ---- ---- ---- ----
 -------- 21:00 0.35 0.01 ---- 0.44 0.32 ---- ---- ---- ----
 -------- 22:00 0.37 0.00 0.58 0.24 0.39 ---- 0.42 0.00 ----
 08.04.13 23:00 0.40 0.01 0.63 0.20 0.48 ---- 0.32 0.00 ----
 -------- 00:00 0.48 0.01 0.52 0.27 0.52 ---- 0.18 0.00 ----
 -------- 01:00 0.53 ---- ---- 0.39 0.54 ---- ---- ---- ----
 -------- 02:00 0.49 0.05 0.56 0.32 0.56 ---- 0.90 ---- ----
 -------- 03:00 0.48 0.04 0.64 0.27 0.58 ---- ---- 0.01 ----
 09.04.13 04:00 0.36 0.00 0.52 0.18 0.50 ---- 0.29 0.01 ----
 -------- 05:00 0.34 0.02 0.51 0.18 0.52 ---- 0.33 0.00 ----
 -------- 06:00 0.37 0.04 0.81 0.15 0.51 ---- ---- 0.01 ----
 -------- 07:00 0.51 0.02 0.50 0.31 0.61 ---- 0.33 0.00 ----
 -------- 08:00 0.44 0.01 0.49 0.25 0.59 ---- 0.46 0.00 ----
 09.04.13 09:00 0.33 0.01 0.59 0.33 0.53 ---- 0.37 0.00 ----
 -------- 10:00 0.30 0.01 0.52 0.32 0.48 ---- 0.34 0.00 ----
 -------- 11:00 0.29 0.00 0.59 0.35 0.55 ---- 0.35 0.00 ----
 -------- 12:00 0.32 0.01 0.58 0.29 0.54 ---- 0.32 0.00 ----
