 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол
 31.10.12 12:00 0.31 0.01 0.15 0.10 0.34 0.04 0.20 0.00 0.03
 -------- 13:00 0.31 0.01 0.12 0.07 0.31 0.04 0.17 0.00 ----
 -------- 14:00 0.31 0.01 0.07 0.06 0.26 0.05 0.13 0.00 ----
 -------- 15:00 0.40 0.01 0.15 0.04 0.25 0.03 0.17 0.00 0.05
 -------- 16:00 0.44 0.00 0.34 0.05 0.25 0.03 0.13 0.00 0.07
 31.10.12 17:00 0.33 0.00 0.37 0.04 0.26 0.03 0.10 0.00 0.13
 -------- 18:00 0.27 0.00 0.35 ---- 0.25 0.02 0.17 0.00 0.12
 -------- 19:00 0.23 0.01 0.35 ---- 0.22 0.01 0.10 0.00 0.14
 -------- 20:00 0.21 0.00 0.39 ---- 0.22 0.01 0.20 0.00 0.13
 -------- 21:00 0.25 0.01 0.43 ---- 0.26 0.04 0.13 0.00 0.15
 31.10.12 22:00 0.25 0.01 0.36 ---- 0.23 0.01 0.20 0.00 0.15
 -------- 23:00 0.23 0.01 0.38 ---- 0.23 0.01 0.17 0.00 0.12
 -------- 00:00 0.21 0.00 0.41 ---- 0.21 0.02 0.17 0.00 0.15
 -------- 01:00 0.18 0.01 0.41 ---- 0.21 0.01 0.13 0.00 0.13
 -------- 02:00 0.13 0.01 0.39 ---- 0.20 0.01 0.17 0.00 0.12
 01.11.12 03:00 0.13 0.01 0.39 ---- 0.19 0.01 0.20 0.00 0.12
 -------- 04:00 0.12 0.00 0.44 ---- 0.17 0.01 0.17 0.00 0.12
 -------- 05:00 0.09 0.00 0.45 ---- 0.15 0.01 0.20 0.00 0.13
 -------- 06:00 0.13 0.01 0.38 ---- 0.25 0.03 0.17 0.00 0.13
 -------- 07:00 0.23 0.01 0.30 ---- 0.26 0.01 0.17 0.00 0.13
 01.11.12 08:00 0.27 0.01 0.34 0.03 0.33 0.03 0.13 0.00 0.14
 -------- 09:00 0.27 0.01 0.33 ---- 0.34 0.02 0.13 0.00 0.15
 -------- 10:00 0.30 0.00 0.39 0.06 0.34 0.02 0.10 0.00 0.16
 -------- 11:00 0.32 0.00 0.34 0.04 0.37 ---- 0.17 0.00 0.16
 -------- 12:00 0.33 0.01 0.32 0.05 0.36 0.01 0.20 0.00 0.13
 01.11.12 13:00 0.33 ---- 0.41 0.04 0.36 0.01 0.17 0.00 0.16
 -------- 14:00 0.36 ---- 0.34 0.08 0.40 ---- 0.27 0.00 0.15
 -------- 15:00 0.36 0.00 0.33 0.05 0.39 0.00 0.17 0.00 0.17
 -------- 16:00 0.34 0.01 0.35 0.05 0.36 0.01 0.17 0.00 0.17
 -------- 17:00 0.33 0.00 0.39 ---- 0.32 0.01 0.13 0.00 0.14
 01.11.12 18:00 0.31 0.00 0.36 ---- 0.34 ---- 0.17 0.00 0.17
 -------- 19:00 0.30 0.00 0.31 0.03 0.35 0.01 0.17 0.00 0.16
 -------- 20:00 0.32 0.01 0.33 ---- 0.32 0.00 0.17 0.00 0.17
 -------- 21:00 0.37 ---- 0.38 0.03 0.32 0.00 0.10 0.00 0.16
 -------- 22:00 0.39 0.01 0.32 0.04 0.32 0.02 0.13 0.00 0.17
 01.11.12 23:00 0.35 0.01 0.27 ---- 0.32 ---- 0.17 0.00 0.15
 -------- 00:00 0.34 0.00 0.35 ---- 0.29 0.02 0.13 0.00 0.16
 -------- 01:00 0.30 ---- 0.37 ---- 0.27 0.02 0.10 0.00 0.14
 -------- 02:00 0.21 0.00 0.38 ---- 0.25 0.00 0.17 0.00 0.12
 -------- 03:00 0.15 0.01 0.38 ---- 0.21 0.02 0.10 0.00 0.15
 02.11.12 04:00 0.11 0.01 0.34 ---- 0.23 0.01 0.10 0.00 0.13
 -------- 05:00 0.10 0.01 0.32 ---- 0.24 0.01 0.10 0.00 0.16
 -------- 06:00 0.13 ---- 0.36 ---- 0.27 0.01 0.10 0.00 0.17
 -------- 07:00 0.21 0.01 0.28 0.03 0.33 0.02 0.17 0.00 0.15
 -------- 08:00 0.24 0.00 0.30 0.03 0.35 0.02 0.10 0.00 0.18
 02.11.12 09:00 0.27 0.01 0.31 ---- 0.38 0.04 0.13 0.00 0.17
 -------- 10:00 0.29 0.00 0.34 0.03 0.39 ---- 0.13 0.00 0.17
 -------- 11:00 0.25 0.00 0.35 0.04 0.38 ---- 0.13 0.00 0.14
