 Date Time CO SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РњРµС‚Р°РєСЃРёР»РѕР»
 28.03.13 00:00 0.27 0.01 0.27 0.03 0.41 ---- 0.32 0.00 ----
 -------- 01:00 0.26 0.01 0.13 0.29 0.52 ---- 0.39 0.00 ----
 -------- 02:00 0.23 0.01 0.20 0.19 0.56 ---- 0.36 0.00 ----
 -------- 03:00 0.19 0.01 0.10 0.37 0.50 ---- 0.43 0.00 ----
 -------- 04:00 0.13 0.01 0.03 0.16 0.46 ---- 0.27 0.00 ----
 28.03.13 05:00 0.18 0.01 0.13 0.29 0.49 ---- 0.19 0.00 ----
 -------- 06:00 0.19 0.01 0.30 0.16 0.45 ---- 0.08 0.00 ----
 -------- 07:00 0.25 0.01 0.13 0.22 0.40 ---- 0.23 0.00 ----
 -------- 08:00 0.37 0.00 0.08 0.09 0.55 ---- 0.36 0.00 ----
 -------- 09:00 0.37 0.01 0.13 0.09 0.48 ---- 0.20 0.00 ----
 28.03.13 10:00 0.35 0.01 0.16 0.12 0.51 ---- 0.26 0.00 ----
 -------- 11:00 0.33 0.01 0.18 0.11 0.45 ---- 0.28 0.00 ----
 -------- 12:00 0.27 0.01 0.25 ---- 0.32 ---- 0.20 0.00 ----
 -------- 13:00 0.25 0.00 0.30 0.01 0.29 ---- 0.32 0.00 ----
 -------- 14:00 0.23 0.01 0.34 0.09 0.24 ---- 0.34 0.00 ----
 28.03.13 15:00 0.20 0.01 0.37 0.06 0.23 ---- 0.26 0.00 ----
 -------- 16:00 0.19 0.01 0.37 0.04 0.20 ---- 0.27 0.00 ----
 -------- 17:00 0.18 0.00 0.40 0.04 0.20 ---- 0.29 0.00 ----
 -------- 18:00 0.17 0.01 0.38 0.05 0.22 ---- 0.28 0.00 ----
 -------- 19:00 0.22 0.00 0.34 0.05 0.30 ---- 0.31 0.00 ----
 28.03.13 20:00 0.28 0.00 0.27 0.17 0.41 ---- 0.31 0.00 ----
 -------- 21:00 0.41 0.01 0.21 0.21 0.59 ---- 0.27 0.00 ----
 -------- 22:00 0.48 0.02 0.22 0.15 0.56 ---- 0.29 0.00 ----
 -------- 23:00 0.43 0.01 0.22 0.10 0.53 ---- 0.26 0.00 ----
 -------- 00:00 0.36 0.01 0.21 0.19 0.53 ---- 0.30 0.00 ----
 29.03.13 01:00 0.35 0.01 0.17 0.18 0.55 ---- 0.29 0.00 ----
 -------- 02:00 0.25 0.01 0.20 0.20 0.48 ---- 0.33 0.00 ----
 -------- 03:00 0.22 0.01 0.18 0.16 0.54 ---- 0.24 0.00 ----
 -------- 04:00 0.20 0.01 0.20 0.18 0.53 ---- 0.32 0.00 ----
 -------- 05:00 0.20 0.01 0.12 0.12 0.55 ---- 0.16 0.00 ----
 29.03.13 06:00 0.24 0.02 0.16 0.18 0.60 ---- 0.27 0.00 ----
 -------- 07:00 0.33 0.03 0.22 0.24 0.62 ---- 0.28 0.00 ----
 -------- 08:00 0.41 0.03 0.11 0.12 0.63 ---- 0.31 0.00 ----
 -------- 09:00 0.42 0.02 0.07 0.14 0.67 ---- 0.26 0.00 ----
 -------- 10:00 0.43 0.02 0.12 0.11 0.68 ---- 0.35 0.00 ----
 29.03.13 11:00 0.39 0.01 0.23 0.18 0.62 ---- 0.30 0.00 ----
 -------- 12:00 0.33 0.01 0.27 0.09 0.49 ---- 0.33 0.00 ----
 -------- 13:00 0.28 0.01 0.33 0.10 0.30 ---- 0.26 0.00 ----
 -------- 14:00 0.27 0.01 0.37 0.09 0.33 ---- 0.29 0.00 ----
 -------- 15:00 0.26 0.00 0.34 0.12 0.32 ---- 0.28 0.00 ----
 29.03.13 16:00 0.24 0.00 0.38 0.07 0.29 ---- 0.31 0.00 ----
 -------- 17:00 0.26 0.00 0.38 0.05 0.29 ---- 0.29 0.00 ----
 -------- 18:00 0.29 0.00 0.41 0.04 0.32 ---- 0.24 0.00 ----
 -------- 19:00 0.29 0.00 0.33 0.10 0.36 ---- 0.37 0.00 ----
 -------- 20:00 0.35 0.00 0.30 0.12 0.48 ---- 0.37 0.00 ----
 29.03.13 21:00 0.46 0.01 0.25 0.17 0.57 ---- 0.25 0.00 ----
 -------- 22:00 0.62 0.01 0.18 0.29 0.65 ---- 0.32 0.00 ----
 -------- 23:00 0.81 0.02 0.16 0.15 0.73 ---- 0.31 0.00 ----
 -------- 00:00 0.96 0.03 0.27 0.34 0.84 ---- 0.21 0.00 ----
