 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Метаксилол
 11.12.12 23:00 0.18 0.06 0.11 0.12 0.36 0.04 0.21 0.00 0.02
 -------- 00:00 0.19 0.06 0.11 0.12 0.36 0.03 0.19 0.00 0.02
 -------- 01:00 0.13 0.06 0.11 0.11 0.35 0.03 0.17 0.00 0.02
 -------- 02:00 0.11 0.06 0.07 0.10 0.35 0.04 0.19 0.00 0.02
 -------- 03:00 0.09 0.05 0.07 0.09 0.34 0.04 0.18 0.00 0.03
 12.12.12 04:00 0.07 0.06 0.06 0.08 0.32 0.04 0.16 0.00 0.02
 -------- 05:00 0.07 0.06 0.04 0.10 0.34 0.03 0.18 0.00 0.03
 -------- 06:00 0.09 0.04 0.14 0.11 0.36 0.05 0.17 0.00 0.03
 -------- 07:00 0.15 0.04 0.11 0.10 0.38 0.02 0.20 0.00 0.03
 -------- 08:00 0.16 0.05 0.07 0.14 0.38 0.03 0.20 0.00 0.03
 12.12.12 09:00 0.15 0.07 0.07 0.14 0.38 0.05 0.20 0.00 0.03
 -------- 10:00 0.19 0.06 0.03 0.17 0.38 0.05 0.23 0.00 0.03
 -------- 11:00 0.23 0.07 0.05 0.13 0.37 0.04 0.24 0.00 0.02
 -------- 12:00 0.23 0.08 0.07 0.14 0.37 0.03 0.23 0.00 0.03
 -------- 13:00 0.25 0.06 0.09 0.17 0.37 0.04 0.21 0.00 0.03
 12.12.12 14:00 0.24 0.05 0.12 0.13 0.34 0.04 0.23 0.00 0.03
 -------- 15:00 0.24 0.05 0.09 0.17 0.37 0.06 0.22 0.00 0.03
 -------- 16:00 0.25 0.03 0.09 0.19 0.39 0.02 0.23 0.00 0.02
 -------- 17:00 0.27 0.03 0.07 0.20 0.45 0.03 0.21 0.00 0.02
 -------- 18:00 0.28 0.03 0.09 0.16 0.42 0.03 0.22 0.00 0.02
 12.12.12 19:00 0.22 0.02 0.08 0.17 0.33 0.05 0.19 0.00 0.03
 -------- 20:00 0.25 0.01 0.04 0.16 0.36 0.02 0.25 0.00 0.03
 -------- 21:00 0.21 0.01 0.06 0.13 0.31 0.04 0.22 0.00 0.03
 -------- 22:00 0.21 0.01 0.07 0.14 0.31 0.02 0.21 0.00 0.03
 -------- 23:00 0.19 0.01 0.13 0.09 0.29 0.04 0.19 0.00 0.03
 13.12.12 00:00 0.17 0.01 0.03 0.13 0.26 0.06 0.23 0.00 0.02
 -------- 01:00 0.14 0.01 0.09 0.09 0.25 0.05 0.23 0.00 0.04
 -------- 02:00 0.10 0.01 0.06 0.13 0.21 0.02 0.22 0.00 0.03
 -------- 03:00 0.08 0.01 0.12 0.07 0.21 ---- 0.21 0.00 ----
 -------- 04:00 0.06 0.01 0.14 0.09 0.19 ---- 0.20 0.00 ----
 13.12.12 05:00 0.06 0.01 0.15 0.08 0.19 ---- 0.23 0.00 ----
 -------- 06:00 0.09 0.01 0.11 0.07 0.20 ---- 0.18 0.00 ----
 -------- 07:00 0.11 0.01 0.14 0.16 0.20 ---- 0.25 0.00 ----
 -------- 08:00 0.14 0.01 0.10 0.13 0.25 ---- 0.20 0.00 ----
 -------- 09:00 0.16 0.01 0.10 0.12 0.25 ---- 0.27 0.00 ----
 13.12.12 10:00 0.16 0.01 0.18 0.13 0.26 ---- 0.26 0.00 ----
 -------- 11:00 0.18 0.01 0.10 0.18 0.26 ---- 0.28 0.00 ----
 -------- 12:00 0.16 0.02 0.10 0.19 0.26 ---- 0.23 0.00 ----
 -------- 13:00 0.17 0.01 0.13 0.25 0.24 ---- 0.26 0.00 ----
 -------- 14:00 0.16 0.01 0.10 0.24 0.22 ---- 0.23 0.00 ----
 13.12.12 15:00 0.16 0.02 0.12 0.14 0.26 ---- 0.19 0.00 ----
 -------- 16:00 0.17 0.02 0.13 0.27 0.26 ---- 0.31 0.00 ----
 -------- 17:00 0.17 0.02 0.10 0.17 0.26 ---- 0.33 0.00 ----
 -------- 18:00 0.16 0.01 0.18 0.24 0.23 ---- 0.22 0.00 ----
 -------- 19:00 0.16 0.01 0.15 0.23 0.24 ---- 0.24 0.00 ----
 13.12.12 20:00 0.13 0.01 0.13 0.26 0.21 ---- 0.23 0.00 ----
 -------- 21:00 0.14 0.01 0.19 0.20 0.21 ---- 0.16 0.00 ----
 -------- 22:00 0.15 0.01 0.08 0.16 0.27 ---- 0.35 0.00 ----
 -------- 23:00 0.16 0.02 0.15 0.09 0.26 ---- 0.21 0.00 ----
