 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Метаксилол
 02.02.13 00:00 0.29 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 01:00 0.26 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 03:00 0.20 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 04:00 0.21 ---- ---- ---- ---- ---- ---- ---- ----
 02.02.13 05:00 0.18 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 06:00 0.18 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.21 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 08:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 09:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 02.02.13 10:00 0.26 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 11:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 12:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 13:00 0.30 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 14:00 0.33 ---- ---- ---- ---- ---- ---- ---- ----
 02.02.13 15:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 16:00 0.28 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 17:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 18:00 0.30 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 19:00 0.26 ---- ---- ---- ---- ---- ---- ---- ----
 02.02.13 20:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 21:00 0.28 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 22:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 23:00 0.34 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 00:00 0.33 ---- ---- ---- ---- ---- ---- ---- ----
 03.02.13 01:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 0.21 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 03:00 0.19 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 04:00 0.14 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 05:00 0.10 ---- ---- ---- ---- ---- ---- ---- ----
 03.02.13 06:00 0.11 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.12 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 08:00 0.12 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 09:00 0.11 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 10:00 0.12 ---- ---- ---- ---- ---- ---- ---- ----
 03.02.13 11:00 0.11 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 12:00 0.10 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 13:00 0.10 ---- ---- ---- 0.25 ---- ---- ---- ----
 -------- 14:00 0.10 ---- ---- ---- 0.24 ---- ---- ---- ----
 -------- 15:00 0.10 ---- ---- ---- 0.26 ---- ---- ---- ----
 03.02.13 16:00 0.13 ---- ---- ---- 0.36 ---- ---- ---- ----
 -------- 17:00 0.13 ---- ---- ---- 0.37 ---- ---- ---- ----
 -------- 18:00 0.16 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 19:00 0.19 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 20:00 0.21 ---- ---- ---- ---- ---- ---- ---- ----
 03.02.13 21:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 22:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 23:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 00:00 0.24 ---- ---- ---- ---- ---- ---- ---- ----
