 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол
 17.09.12 23:00 1.57 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 00:00 1.65 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 01:00 1.49 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 1.01 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 03:00 0.68 ---- ---- ---- ---- ---- ---- ---- ----
 18.09.12 04:00 0.41 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 05:00 0.28 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 06:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.35 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 08:00 0.50 ---- ---- ---- ---- ---- ---- ---- ----
 18.09.12 09:00 0.59 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 10:00 0.58 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 11:00 0.55 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 12:00 0.48 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 13:00 0.40 ---- ---- ---- ---- ---- ---- ---- ----
 18.09.12 14:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 15:00 0.32 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 16:00 0.34 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 17:00 0.37 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 18:00 0.43 ---- ---- ---- ---- ---- ---- ---- ----
 18.09.12 19:00 0.60 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 20:00 0.45 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 21:00 0.46 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 22:00 0.52 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 23:00 0.52 ---- ---- ---- ---- ---- ---- ---- ----
 19.09.12 00:00 0.53 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 01:00 0.49 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 0.56 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 03:00 0.44 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 04:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 19.09.12 05:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 06:00 0.35 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.43 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 08:00 0.45 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 09:00 0.44 ---- ---- ---- ---- ---- ---- ---- ----
 19.09.12 10:00 0.43 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 11:00 0.43 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 12:00 0.40 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 13:00 0.33 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 14:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 19.09.12 15:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 16:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 17:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 18:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 19:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 19.09.12 20:00 0.30 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 21:00 0.38 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 22:00 0.47 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 23:00 0.50 ---- ---- ---- ---- ---- ---- ---- ----
