 Date Time CO SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РњРµС‚Р°РєСЃРёР»РѕР»
 04.03.13 12:00 0.27 0.01 0.19 0.07 0.32 0.03 0.27 0.00 0.02
 -------- 13:00 0.24 0.01 0.32 0.08 0.28 0.02 0.29 0.00 0.01
 -------- 14:00 0.24 0.01 0.29 0.08 0.29 0.03 0.28 0.00 0.01
 -------- 15:00 0.23 0.01 0.33 0.12 0.32 0.02 0.27 0.00 0.01
 -------- 16:00 0.23 0.01 0.32 0.09 0.31 0.01 0.28 0.00 0.01
 04.03.13 17:00 0.21 0.01 0.36 0.10 0.29 0.04 0.28 0.00 0.01
 -------- 18:00 0.22 0.01 0.33 0.08 0.32 0.03 0.29 0.00 0.01
 -------- 19:00 0.17 0.01 0.34 0.12 0.32 0.02 0.27 0.00 0.01
 -------- 20:00 0.15 0.01 0.31 0.08 0.34 ---- 0.27 0.00 0.02
 -------- 21:00 0.21 0.01 0.30 0.12 0.36 0.03 0.27 0.00 0.01
 04.03.13 22:00 0.27 0.02 0.27 0.12 0.36 0.04 0.28 0.00 0.01
 -------- 23:00 0.25 0.02 0.22 0.15 0.40 0.03 0.27 0.00 0.02
 -------- 00:00 0.23 0.04 0.20 0.16 0.44 ---- 0.27 0.00 ----
 -------- 01:00 0.21 0.05 0.25 0.15 0.40 0.04 0.27 0.00 0.01
 -------- 02:00 0.15 0.03 0.16 0.14 0.38 ---- 0.27 0.00 ----
 05.03.13 03:00 0.11 0.01 0.11 0.08 0.40 0.06 0.27 0.00 0.01
 -------- 04:00 0.09 0.02 0.19 0.12 0.42 ---- 0.27 0.00 ----
 -------- 05:00 0.10 0.02 0.13 0.17 0.49 ---- 0.29 0.00 ----
 -------- 06:00 0.15 0.01 0.06 0.15 0.52 ---- 0.24 0.00 ----
 -------- 07:00 0.25 0.01 0.05 0.18 0.55 ---- 0.27 0.00 ----
 05.03.13 08:00 0.33 0.01 0.07 0.21 0.61 ---- 0.32 0.00 ----
 -------- 09:00 0.34 0.01 0.06 0.20 0.60 ---- 0.32 0.00 ----
 -------- 10:00 0.35 0.02 0.05 0.21 0.58 ---- 0.29 0.00 ----
 -------- 11:00 0.35 0.01 0.11 0.03 0.50 ---- 0.33 0.00 ----
 -------- 12:00 0.29 0.02 0.25 ---- 0.45 ---- 0.32 0.00 ----
 05.03.13 13:00 0.25 0.02 0.30 0.08 0.41 ---- 0.41 0.00 ----
 -------- 14:00 0.23 0.01 0.21 0.05 0.44 ---- 0.35 0.00 ----
 -------- 15:00 0.26 0.01 0.25 0.09 0.41 0.04 0.34 0.00 0.01
 -------- 16:00 0.25 0.01 0.28 0.17 0.46 0.01 0.27 0.00 0.01
 -------- 17:00 0.25 0.01 0.22 0.19 0.51 0.05 0.29 0.00 0.01
 05.03.13 18:00 0.25 0.01 0.21 0.17 0.51 ---- 0.30 0.00 0.03
 -------- 19:00 0.27 0.01 0.22 0.23 0.52 ---- 0.29 0.00 ----
 -------- 20:00 0.31 0.01 0.20 0.20 0.49 ---- 0.26 0.00 ----
 -------- 21:00 0.35 0.01 0.15 0.19 0.55 ---- 0.26 0.00 ----
 -------- 22:00 0.36 0.01 0.14 0.21 0.58 ---- 0.29 0.00 ----
 05.03.13 23:00 0.36 0.02 0.05 0.17 0.58 ---- 0.26 0.00 ----
 -------- 00:00 0.29 0.01 0.08 0.17 0.57 ---- 0.24 0.00 ----
 -------- 01:00 0.26 0.02 0.08 0.16 0.58 ---- 0.19 0.00 ----
 -------- 02:00 0.21 0.01 0.06 0.16 0.57 ---- 0.24 0.00 ----
 -------- 03:00 0.19 0.01 0.07 0.19 0.55 ---- 0.19 0.00 ----
 06.03.13 04:00 0.15 0.01 0.13 0.11 0.54 ---- 0.26 0.00 ----
 -------- 05:00 0.13 0.01 0.04 0.12 0.55 ---- 0.25 0.00 ----
 -------- 06:00 0.15 0.02 0.06 0.18 0.55 ---- 0.22 0.00 ----
 -------- 07:00 0.19 0.02 0.01 0.14 0.56 ---- 0.24 0.00 ----
 -------- 08:00 0.22 0.01 0.04 0.10 0.55 ---- 0.29 0.00 ----
 06.03.13 09:00 0.24 0.01 0.04 0.21 0.57 ---- 0.27 0.00 ----
 -------- 10:00 0.25 0.01 0.02 0.17 0.57 ---- 0.31 0.00 ----
 -------- 11:00 0.25 0.01 0.03 0.20 0.56 ---- 0.31 0.00 ----
 -------- 12:00 0.28 0.01 0.16 0.21 0.58 ---- 0.33 0.00 ----
