 Date Time CO SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РњРµС‚Р°РєСЃРёР»РѕР»
 04.04.13 11:00 0.22 0.01 0.38 0.19 0.41 0.02 0.26 0.00 0.01
 -------- 12:00 0.22 0.01 0.34 0.20 0.42 0.03 0.25 0.00 0.01
 -------- 13:00 0.21 0.01 0.37 0.16 0.40 0.02 0.28 0.00 0.01
 -------- 14:00 0.20 0.01 0.37 0.13 0.42 0.03 0.26 0.00 0.01
 -------- 15:00 0.20 0.01 0.33 0.13 0.38 0.01 0.27 0.00 0.01
 04.04.13 16:00 0.21 0.01 0.32 0.15 0.43 0.03 0.29 0.00 0.01
 -------- 17:00 0.20 0.01 0.35 0.16 0.42 0.05 0.26 0.00 0.01
 -------- 18:00 0.20 0.00 0.34 0.13 0.45 0.02 0.29 0.00 0.01
 -------- 19:00 0.20 0.01 0.33 0.15 0.44 0.01 0.29 0.00 0.01
 -------- 20:00 0.21 0.01 0.30 0.15 0.47 0.02 0.29 0.00 0.01
 04.04.13 21:00 0.24 0.01 0.27 0.12 0.48 0.01 0.29 0.00 0.01
 -------- 22:00 0.23 0.01 0.23 0.15 0.52 0.02 0.23 0.00 0.00
 -------- 23:00 0.25 0.02 0.25 0.18 0.56 0.02 0.27 0.00 0.01
 -------- 00:00 0.27 0.01 0.26 0.16 0.54 0.04 0.27 0.00 0.01
 -------- 01:00 0.20 0.01 0.27 0.13 0.46 0.04 0.25 0.00 0.01
 05.04.13 02:00 0.14 0.01 0.29 0.13 0.39 0.04 0.28 0.00 0.01
 -------- 03:00 0.11 0.01 0.37 0.08 0.28 0.03 0.29 0.00 0.01
 -------- 04:00 0.09 0.01 0.29 0.11 0.35 0.02 0.28 0.00 0.01
 -------- 05:00 0.09 0.02 0.25 0.15 0.49 0.02 0.24 0.00 0.02
 -------- 06:00 0.12 0.02 0.27 0.16 0.49 0.03 0.27 0.00 0.02
 05.04.13 07:00 0.20 0.01 0.30 0.18 0.51 0.04 0.25 0.00 0.01
 -------- 08:00 0.23 0.01 0.28 0.16 0.51 0.02 0.24 0.00 0.01
 -------- 09:00 0.22 0.01 0.22 0.13 0.49 0.03 0.30 0.00 0.01
 -------- 10:00 0.22 0.02 0.08 0.20 0.57 0.03 0.24 0.00 0.02
 -------- 11:00 0.26 0.05 0.26 0.36 0.60 0.03 0.22 0.00 0.06
 05.04.13 12:00 0.24 0.07 0.34 0.35 0.58 0.04 0.22 0.00 0.04
 -------- 13:00 0.25 0.04 0.48 0.38 0.55 0.05 0.18 0.00 0.03
 -------- 14:00 0.25 0.05 0.50 0.35 0.55 0.03 0.19 0.00 0.02
 -------- 15:00 0.24 0.06 0.49 0.36 0.58 0.04 0.18 0.00 0.02
 -------- 16:00 0.21 0.05 0.48 0.34 0.57 0.02 0.18 0.00 0.01
 05.04.13 17:00 0.20 0.03 0.56 0.36 0.52 0.02 0.19 0.00 0.01
 -------- 18:00 0.23 0.06 0.50 0.38 0.60 0.02 0.18 0.00 0.01
 -------- 19:00 0.24 0.07 0.53 0.36 0.61 0.03 0.21 0.00 0.01
 -------- 20:00 0.22 0.07 0.44 0.33 0.60 0.06 0.20 0.00 0.01
 -------- 21:00 0.19 0.06 0.52 0.34 0.57 0.03 0.20 0.00 0.01
 05.04.13 22:00 0.21 0.02 0.50 0.33 0.49 0.04 0.20 0.00 0.01
 -------- 23:00 0.24 0.00 0.50 0.33 0.49 0.05 0.21 0.00 0.01
 -------- 00:00 0.28 0.00 0.54 0.30 0.47 0.03 0.19 0.00 0.01
 -------- 01:00 0.25 0.00 0.58 0.27 0.33 0.03 0.20 0.00 0.01
 -------- 02:00 0.21 0.00 0.58 0.26 0.29 0.02 0.20 0.00 0.02
 06.04.13 03:00 0.19 0.01 0.56 0.25 0.29 0.05 0.18 0.00 0.01
 -------- 04:00 0.19 0.00 0.60 0.23 0.26 0.03 0.20 0.00 0.02
 -------- 05:00 0.16 ---- 0.55 0.25 0.27 0.03 0.17 0.00 0.01
 -------- 06:00 0.15 0.00 0.56 0.23 0.22 0.03 0.20 0.00 0.02
 -------- 07:00 0.14 0.00 0.58 0.22 0.27 0.03 0.19 0.00 0.02
 06.04.13 08:00 0.19 0.00 0.57 0.27 0.35 0.04 0.22 0.00 0.02
 -------- 09:00 0.27 0.00 0.56 0.29 0.36 0.02 0.19 0.00 0.02
 -------- 10:00 0.28 0.00 0.56 0.29 0.34 0.03 0.22 0.00 0.02
 -------- 11:00 0.28 ---- 0.61 0.26 0.32 0.02 0.20 0.00 0.02
