 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Метаксилол
 29.12.12 00:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 01:00 0.24 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 0.15 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 03:00 0.11 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 04:00 0.11 ---- ---- ---- ---- ---- ---- ---- ----
 29.12.12 05:00 0.08 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 06:00 0.09 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.14 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 08:00 0.21 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 09:00 0.20 ---- ---- ---- ---- ---- ---- ---- ----
 29.12.12 10:00 0.21 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 11:00 0.22 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 12:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 13:00 0.20 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 14:00 0.19 ---- ---- ---- ---- ---- ---- ---- ----
 29.12.12 15:00 0.19 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 16:00 0.21 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 17:00 0.17 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 18:00 0.22 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 19:00 0.21 ---- ---- ---- ---- ---- ---- ---- ----
 29.12.12 20:00 0.20 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 21:00 0.21 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 22:00 0.19 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 23:00 0.15 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 00:00 0.12 ---- ---- ---- ---- ---- ---- ---- ----
 30.12.12 01:00 0.13 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 0.13 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 03:00 0.12 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 04:00 0.10 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 05:00 0.07 ---- ---- ---- ---- ---- ---- ---- ----
 30.12.12 06:00 0.07 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.08 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 08:00 0.09 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 09:00 0.13 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 10:00 0.15 ---- ---- ---- ---- ---- ---- ---- ----
 30.12.12 11:00 0.19 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 12:00 0.19 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 13:00 0.22 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 14:00 0.26 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 15:00 0.29 ---- ---- ---- ---- ---- ---- ---- ----
 30.12.12 16:00 0.29 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 17:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 18:00 0.28 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 19:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 20:00 0.26 ---- ---- ---- ---- ---- ---- ---- ----
 30.12.12 21:00 0.28 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 22:00 0.30 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 23:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 00:00 0.32 ---- ---- ---- ---- ---- ---- ---- ----
