 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол
 02.11.12 10:00 0.28 ---- 0.35 0.03 0.38 ---- 0.15 0.00 0.19
 -------- 11:00 0.25 0.00 0.35 0.04 0.38 ---- 0.13 0.00 0.14
 -------- 12:00 0.25 0.01 0.34 0.05 0.40 ---- 0.20 0.00 0.17
 -------- 13:00 0.25 0.01 0.31 0.04 0.36 ---- 0.20 0.00 0.16
 -------- 14:00 0.24 ---- 0.39 0.05 0.36 ---- 0.20 0.00 0.17
 02.11.12 15:00 0.23 0.01 0.34 0.04 0.38 ---- 0.20 0.00 0.17
 -------- 16:00 0.23 0.01 0.35 0.04 0.36 ---- 0.17 0.00 0.17
 -------- 17:00 0.21 ---- 0.38 0.03 0.33 ---- 0.20 0.00 0.17
 -------- 18:00 0.17 0.00 0.36 ---- 0.33 ---- 0.13 0.00 0.16
 -------- 19:00 0.17 ---- 0.34 ---- 0.30 ---- 0.17 0.00 0.17
 02.11.12 20:00 0.16 0.01 0.37 ---- 0.27 0.01 0.20 0.00 0.12
 -------- 21:00 0.15 0.00 0.36 ---- 0.26 ---- 0.17 0.00 0.16
 -------- 22:00 0.15 0.01 0.39 ---- 0.29 0.01 0.17 0.00 0.15
 -------- 23:00 0.14 0.01 0.38 ---- 0.26 0.02 0.17 0.00 0.13
 -------- 00:00 0.14 0.00 0.38 ---- 0.27 0.00 0.13 0.00 0.12
 03.11.12 01:00 0.13 0.01 0.34 ---- 0.26 0.02 0.13 0.00 0.13
 -------- 02:00 0.07 0.01 0.38 ---- 0.23 0.02 0.17 0.00 0.16
 -------- 03:00 0.05 0.01 0.40 ---- 0.21 0.01 0.20 0.00 0.12
 -------- 04:00 0.04 0.01 0.37 ---- 0.21 0.02 0.17 0.00 0.15
 -------- 05:00 0.07 0.01 0.35 ---- 0.20 0.01 0.17 0.00 0.12
 03.11.12 06:00 0.10 0.01 0.36 ---- 0.23 0.03 0.13 0.00 0.13
 -------- 07:00 0.13 0.01 0.32 ---- 0.27 0.01 0.10 0.00 0.15
 -------- 08:00 0.17 0.00 0.35 ---- 0.29 0.02 0.17 0.00 0.13
 -------- 09:00 0.19 0.01 0.34 ---- 0.33 0.01 0.20 0.00 0.15
 -------- 10:00 0.23 0.00 0.36 0.03 0.35 0.01 0.17 0.00 0.14
 03.11.12 11:00 0.25 0.00 0.31 0.03 0.35 ---- 0.10 0.00 0.16
 -------- 12:00 0.25 0.00 0.36 0.06 0.35 0.02 0.20 0.00 0.14
 -------- 13:00 0.25 ---- 0.35 0.03 0.37 0.00 0.13 0.00 0.17
 -------- 14:00 0.25 0.00 0.38 0.03 0.34 0.00 0.17 0.00 0.19
 -------- 15:00 0.25 0.00 0.40 ---- 0.33 0.02 0.10 0.00 0.17
 03.11.12 16:00 0.27 0.00 0.41 ---- 0.31 0.03 0.17 0.00 0.19
 -------- 17:00 0.26 0.00 0.35 0.03 0.31 0.00 0.13 0.00 0.17
 -------- 18:00 0.26 0.00 0.36 ---- 0.29 0.02 0.13 0.00 0.17
 -------- 19:00 0.27 0.00 0.41 0.03 0.29 ---- 0.10 0.00 0.17
 -------- 20:00 0.27 0.00 0.30 ---- 0.27 ---- 0.10 0.00 0.19
 03.11.12 21:00 0.29 0.00 0.37 ---- 0.25 0.01 0.20 0.00 0.17
 -------- 22:00 0.27 0.00 0.32 ---- 0.24 ---- 0.20 0.00 0.16
 -------- 23:00 0.30 0.01 0.33 ---- 0.22 0.01 0.13 0.00 0.17
 -------- 00:00 0.27 0.00 0.30 ---- 0.20 0.04 0.20 0.00 0.17
 -------- 01:00 0.28 0.00 0.34 ---- 0.19 ---- 0.20 0.00 0.16
 04.11.12 02:00 0.25 0.00 0.34 ---- 0.19 0.02 0.20 0.00 0.16
 -------- 03:00 0.21 0.01 0.34 ---- 0.19 0.02 0.17 0.00 0.18
 -------- 04:00 0.18 0.01 0.31 ---- 0.22 0.02 0.20 0.00 0.18
 -------- 05:00 0.17 0.01 0.33 ---- 0.20 0.01 0.17 0.00 0.17
 -------- 06:00 0.15 0.00 0.32 ---- 0.19 0.01 0.20 0.00 0.15
 04.11.12 07:00 0.15 0.00 0.30 ---- 0.20 0.07 0.13 0.00 0.16
 -------- 08:00 0.15 0.01 0.38 ---- 0.19 0.01 0.20 0.00 0.16
 -------- 09:00 0.19 0.00 0.39 ---- 0.22 0.00 0.20 0.00 0.15
