 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Метаксилол
 13.01.13 00:00 0.38 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 01:00 0.39 ---- ---- ---- 0.35 ---- ---- ---- ----
 -------- 02:00 0.28 ---- ---- ---- 0.34 ---- ---- ---- ----
 -------- 03:00 0.20 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 04:00 0.15 ---- ---- ---- 0.24 ---- ---- ---- ----
 13.01.13 05:00 0.14 ---- ---- ---- 0.25 ---- ---- ---- ----
 -------- 06:00 0.11 ---- ---- ---- 0.12 ---- ---- ---- ----
 -------- 07:00 0.09 ---- ---- ---- 0.27 ---- ---- ---- ----
 -------- 08:00 0.13 ---- ---- ---- 0.22 ---- ---- ---- ----
 -------- 09:00 0.15 ---- ---- ---- 0.25 ---- ---- ---- ----
 13.01.13 10:00 0.18 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 11:00 0.20 ---- ---- ---- 0.33 ---- ---- ---- ----
 -------- 12:00 0.19 ---- ---- ---- 0.16 ---- ---- ---- ----
 -------- 13:00 0.21 ---- ---- ---- 0.15 ---- ---- ---- ----
 -------- 14:00 0.23 ---- ---- ---- 0.28 ---- ---- ---- ----
 13.01.13 15:00 0.21 ---- ---- ---- 0.24 ---- ---- ---- ----
 -------- 16:00 0.19 ---- ---- ---- 0.27 ---- ---- ---- ----
 -------- 17:00 0.22 ---- ---- ---- 0.28 ---- ---- ---- ----
 -------- 18:00 0.25 ---- ---- ---- 0.26 ---- ---- ---- ----
 -------- 19:00 0.24 ---- ---- ---- 0.27 ---- ---- ---- ----
 13.01.13 20:00 0.25 ---- ---- ---- 0.28 ---- ---- ---- ----
 -------- 21:00 0.24 ---- ---- ---- 0.29 ---- ---- ---- ----
 -------- 22:00 0.24 ---- ---- ---- 0.27 ---- ---- ---- ----
 -------- 23:00 0.25 ---- ---- ---- 0.29 ---- ---- ---- ----
 -------- 00:00 0.21 ---- ---- ---- 0.27 ---- ---- ---- ----
 14.01.13 01:00 0.19 ---- ---- ---- 0.25 ---- ---- ---- ----
 -------- 02:00 0.15 ---- ---- ---- 0.20 ---- ---- ---- ----
 -------- 03:00 0.11 ---- ---- ---- 0.18 ---- ---- ---- ----
 -------- 04:00 0.10 ---- ---- ---- 0.18 ---- ---- ---- ----
 -------- 05:00 0.10 ---- ---- ---- 0.24 ---- ---- ---- ----
 14.01.13 06:00 0.13 ---- ---- ---- 0.25 ---- ---- ---- ----
 -------- 07:00 0.19 ---- ---- ---- 0.30 ---- ---- ---- ----
 -------- 08:00 0.25 ---- ---- ---- 0.35 ---- ---- ---- ----
 -------- 09:00 0.24 ---- ---- ---- 0.39 ---- ---- ---- ----
 -------- 10:00 0.29 ---- ---- ---- 0.38 ---- ---- ---- ----
 14.01.13 11:00 0.31 ---- ---- ---- 0.41 ---- ---- ---- ----
 -------- 12:00 0.32 ---- ---- ---- 0.45 ---- ---- ---- ----
 -------- 13:00 0.32 ---- ---- ---- 0.41 ---- ---- ---- ----
 -------- 14:00 0.29 ---- ---- ---- 0.46 ---- ---- ---- ----
 -------- 15:00 0.29 ---- ---- ---- 0.41 ---- ---- ---- ----
 14.01.13 16:00 0.28 ---- ---- ---- 0.41 ---- ---- ---- ----
 -------- 17:00 0.26 ---- ---- ---- 0.34 ---- ---- ---- ----
 -------- 18:00 0.22 ---- ---- ---- 0.31 ---- ---- ---- ----
 -------- 19:00 0.19 ---- ---- ---- 0.30 ---- ---- ---- ----
 -------- 20:00 0.19 ---- ---- ---- 0.28 ---- ---- ---- ----
 14.01.13 21:00 0.17 ---- ---- ---- 0.26 ---- ---- ---- ----
 -------- 22:00 0.15 ---- ---- ---- 0.23 ---- ---- ---- ----
 -------- 23:00 0.14 ---- ---- ---- 0.22 ---- ---- ---- ----
 -------- 00:00 0.16 ---- ---- ---- 0.29 ---- ---- ---- ----
