 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол
 26.09.12 23:00 0.51 0.01 0.20 0.03 0.29 0.01 0.15 0.00 0.15
 -------- 00:00 0.57 0.03 0.27 0.03 0.31 0.02 0.20 0.00 0.16
 -------- 01:00 0.57 0.01 0.33 0.04 0.31 0.02 0.17 0.00 0.14
 -------- 02:00 0.58 0.01 0.29 0.03 0.33 ---- 0.17 0.00 0.19
 -------- 03:00 0.51 0.00 0.38 0.03 0.33 ---- 0.17 0.00 0.17
 27.09.12 04:00 0.49 0.02 0.36 0.03 0.34 0.02 0.27 0.00 0.20
 -------- 05:00 0.55 0.01 0.35 0.03 0.36 ---- 0.37 0.00 0.20
 -------- 06:00 0.58 ---- 0.36 0.06 0.38 ---- 0.40 0.00 0.20
 -------- 07:00 0.59 0.01 0.34 0.09 0.39 ---- 0.40 0.00 0.21
 -------- 08:00 0.60 0.02 0.37 0.05 0.39 0.02 0.50 0.00 0.21
 27.09.12 09:00 0.51 0.00 0.36 0.05 0.37 0.02 0.37 0.00 0.20
 -------- 10:00 0.39 0.01 0.34 0.04 0.37 ---- 0.37 0.00 0.20
 -------- 11:00 0.26 0.01 0.32 0.06 0.37 0.02 0.33 0.00 0.21
 -------- 12:00 0.19 0.02 0.20 0.04 0.34 0.03 0.30 0.00 0.17
 -------- 13:00 0.22 0.02 0.18 0.03 0.34 0.01 0.33 0.00 0.12
 27.09.12 14:00 0.20 0.01 0.15 0.05 0.35 0.01 0.23 0.00 0.09
 -------- 15:00 0.21 0.02 0.14 0.09 0.38 0.02 0.23 0.00 0.06
 -------- 16:00 0.24 0.02 0.11 0.08 0.40 0.01 0.30 0.00 0.07
 -------- 17:00 0.19 0.01 0.21 0.07 0.36 0.01 0.20 0.00 0.06
 -------- 18:00 0.20 0.02 0.19 0.08 0.37 0.03 0.20 0.00 0.09
 27.09.12 19:00 0.23 0.03 0.10 0.12 0.44 0.01 0.23 0.00 0.06
 -------- 20:00 0.23 0.03 0.11 0.07 0.46 0.01 0.23 0.00 0.08
 -------- 21:00 0.26 0.03 0.18 0.11 0.43 0.01 0.30 0.00 0.08
 -------- 22:00 0.31 0.02 0.15 0.11 0.43 0.01 0.20 0.00 0.10
 -------- 23:00 0.40 0.02 0.12 0.06 0.42 0.01 0.20 0.00 0.09
 28.09.12 00:00 0.37 0.02 0.13 0.06 0.42 0.01 0.17 0.00 0.10
 -------- 01:00 0.34 0.01 0.17 0.06 0.39 0.01 0.20 0.00 0.09
 -------- 02:00 0.24 0.01 0.22 0.06 0.35 0.01 0.20 0.00 0.09
 -------- 03:00 0.17 0.01 0.15 0.06 0.35 0.01 0.20 0.00 0.09
 -------- 04:00 0.13 0.01 0.23 0.03 0.27 0.01 0.20 0.00 0.08
 28.09.12 05:00 0.10 0.01 0.21 ---- 0.26 0.01 0.20 0.00 0.08
 -------- 06:00 0.12 0.01 0.23 0.04 0.31 0.02 0.20 0.00 0.04
 -------- 07:00 0.19 0.01 0.23 0.07 0.37 0.01 0.20 0.00 0.08
 -------- 08:00 0.29 0.01 0.19 0.05 0.36 0.03 0.23 0.00 0.08
 -------- 09:00 0.31 0.01 0.16 0.06 0.39 0.01 0.30 0.00 0.08
 28.09.12 10:00 0.30 0.01 0.16 0.06 0.38 0.01 0.30 0.00 0.08
 -------- 11:00 0.36 0.01 0.12 0.09 0.42 0.02 0.30 0.00 0.08
 -------- 12:00 0.33 0.01 0.23 0.10 0.40 0.02 0.30 0.00 0.09
 -------- 13:00 0.28 0.01 0.28 0.08 0.36 0.01 0.30 0.00 0.07
 -------- 14:00 0.23 0.01 0.30 0.09 0.32 0.02 0.23 0.00 0.05
 28.09.12 15:00 0.24 0.01 0.25 0.09 0.35 0.02 0.27 0.00 0.04
 -------- 16:00 0.25 0.01 0.26 0.10 0.39 0.01 0.30 0.00 0.03
 -------- 17:00 0.26 0.01 0.23 0.12 0.45 0.02 0.23 0.00 0.04
 -------- 18:00 0.29 0.01 0.25 0.10 0.43 0.02 0.20 0.00 0.05
 -------- 19:00 0.35 0.01 0.21 0.05 0.41 0.02 0.20 0.00 0.04
 28.09.12 20:00 0.34 0.01 0.18 0.08 0.48 0.01 0.20 0.00 0.05
 -------- 21:00 0.29 0.01 0.27 0.06 0.34 0.02 0.20 0.00 0.05
 -------- 22:00 0.29 0.01 0.29 0.06 0.26 0.02 0.20 0.00 0.04
 -------- 23:00 0.28 0.01 0.36 ---- 0.24 0.01 0.20 0.00 0.03
