 Date Time CO SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РњРµС‚Р°РєСЃРёР»РѕР»
 13.04.13 12:00 0.15 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 13:00 0.15 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 14:00 0.16 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 15:00 0.17 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 16:00 0.21 ---- ---- ---- ---- ---- ---- ---- ----
 13.04.13 17:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 18:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 19:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 20:00 0.21 0.80 ---- ---- ---- ---- ---- ---- ----
 -------- 21:00 0.19 ---- ---- ---- ---- ---- ---- ---- ----
 13.04.13 22:00 0.22 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 23:00 0.22 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 00:00 0.19 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 01:00 0.19 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 0.17 ---- ---- ---- ---- ---- ---- ---- ----
 14.04.13 03:00 0.13 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 04:00 0.11 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 05:00 0.07 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 06:00 0.06 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.11 ---- ---- ---- ---- ---- ---- ---- ----
 14.04.13 08:00 0.12 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 09:00 0.13 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 10:00 0.19 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 11:00 0.22 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 12:00 0.19 ---- ---- ---- ---- ---- ---- ---- ----
 14.04.13 13:00 0.19 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 14:00 0.19 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 15:00 0.18 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 16:00 0.17 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 17:00 0.17 ---- ---- ---- ---- ---- ---- ---- ----
 14.04.13 18:00 0.17 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 19:00 0.17 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 20:00 0.24 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 21:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 22:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 14.04.13 23:00 0.30 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 00:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 01:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 0.19 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 03:00 0.16 ---- ---- ---- ---- ---- ---- ---- ----
 15.04.13 04:00 0.15 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 05:00 0.12 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 06:00 0.16 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 08:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 15.04.13 09:00 0.29 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 10:00 0.28 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 11:00 0.33 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 12:00 0.38 ---- ---- ---- ---- ---- ---- ---- ----
