 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Метаксилол
 21.12.12 00:00 0.30 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 01:00 0.29 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 03:00 0.19 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 04:00 0.15 ---- ---- ---- ---- ---- ---- ---- ----
 21.12.12 05:00 0.16 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 06:00 0.20 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.30 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 08:00 0.36 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 09:00 0.32 ---- ---- ---- ---- ---- ---- ---- ----
 21.12.12 10:00 0.35 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 11:00 0.33 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 12:00 0.33 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 13:00 0.32 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 14:00 0.33 ---- ---- ---- ---- ---- ---- ---- ----
 21.12.12 15:00 0.32 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 16:00 0.34 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 17:00 0.39 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 18:00 0.35 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 19:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 21.12.12 20:00 0.35 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 21:00 0.37 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 22:00 0.41 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 23:00 0.40 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 00:00 0.37 ---- ---- ---- ---- ---- ---- ---- ----
 22.12.12 01:00 0.34 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 03:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 04:00 0.21 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 05:00 0.19 ---- ---- ---- ---- ---- ---- ---- ----
 22.12.12 06:00 0.21 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.21 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 08:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 09:00 0.28 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 10:00 0.35 ---- ---- ---- ---- ---- ---- ---- ----
 22.12.12 11:00 0.38 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 12:00 0.35 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 13:00 0.34 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 14:00 0.36 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 15:00 0.33 ---- ---- ---- ---- ---- ---- ---- ----
 22.12.12 16:00 0.30 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 17:00 0.26 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 18:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 19:00 0.28 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 20:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 22.12.12 21:00 0.33 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 22:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 23:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 00:00 0.30 ---- ---- ---- ---- ---- ---- ---- ----
