 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Метаксилол
 21.12.12 23:00 0.40 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 00:00 0.37 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 01:00 0.34 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 03:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 22.12.12 04:00 0.21 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 05:00 0.19 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 06:00 0.21 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.21 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 08:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 22.12.12 09:00 0.28 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 10:00 0.35 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 11:00 0.38 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 12:00 0.35 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 13:00 0.34 ---- ---- ---- ---- ---- ---- ---- ----
 22.12.12 14:00 0.36 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 15:00 0.33 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 16:00 0.30 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 17:00 0.26 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 18:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 22.12.12 19:00 0.28 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 20:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 21:00 0.33 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 22:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 23:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 23.12.12 00:00 0.29 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 01:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 0.21 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 03:00 0.18 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 04:00 0.15 ---- ---- ---- ---- ---- ---- ---- ----
 23.12.12 05:00 0.13 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 06:00 0.12 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.13 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 08:00 0.15 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 09:00 0.18 ---- ---- ---- ---- ---- ---- ---- ----
 23.12.12 10:00 0.21 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 11:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 12:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 13:00 0.28 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 14:00 0.33 ---- ---- ---- ---- ---- ---- ---- ----
 23.12.12 15:00 0.34 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 16:00 0.35 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 17:00 0.34 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 18:00 0.41 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 19:00 0.41 ---- ---- ---- ---- ---- ---- ---- ----
 23.12.12 20:00 0.39 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 21:00 0.33 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 22:00 0.32 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 23:00 0.32 ---- ---- ---- ---- ---- ---- ---- ----
