 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Метаксилол
 25.01.13 12:00 0.18 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 13:00 0.18 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 14:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 15:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 16:00 0.24 ---- ---- ---- ---- ---- ---- ---- ----
 25.01.13 17:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 18:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 19:00 0.21 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 20:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 21:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 25.01.13 22:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 23:00 0.35 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 00:00 0.34 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 01:00 0.28 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 0.24 ---- ---- ---- ---- ---- ---- ---- ----
 26.01.13 03:00 0.19 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 04:00 0.17 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 05:00 0.13 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 06:00 0.13 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.14 ---- ---- ---- ---- ---- ---- ---- ----
 26.01.13 08:00 0.19 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 09:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 10:00 0.28 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 11:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 12:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 26.01.13 13:00 0.26 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 14:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 15:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 16:00 0.28 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 17:00 0.32 ---- ---- ---- ---- ---- ---- ---- ----
 26.01.13 18:00 0.33 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 19:00 0.37 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 20:00 0.36 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 21:00 0.35 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 22:00 0.34 ---- ---- ---- ---- ---- ---- ---- ----
 26.01.13 23:00 0.30 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 00:00 0.29 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 01:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 0.20 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 03:00 0.16 ---- ---- ---- ---- ---- ---- ---- ----
 27.01.13 04:00 0.14 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 05:00 0.13 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 06:00 0.10 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.12 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 08:00 0.14 ---- ---- ---- ---- ---- ---- ---- ----
 27.01.13 09:00 0.19 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 10:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 11:00 0.29 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 12:00 0.32 ---- ---- ---- ---- ---- ---- ---- ----
