 Date Time CO SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РњРµС‚Р°РєСЃРёР»РѕР»
 26.02.13 00:00 0.28 0.00 0.25 0.11 0.45 ---- 0.25 0.00 ----
 -------- 01:00 0.23 0.01 0.18 0.10 0.46 ---- 0.27 0.00 ----
 -------- 02:00 0.19 0.01 0.17 0.10 0.43 ---- 0.25 0.00 ----
 -------- 03:00 0.14 0.01 0.16 0.14 0.43 ---- 0.31 0.00 ----
 -------- 04:00 0.13 0.01 0.21 0.08 0.41 ---- 0.27 0.00 ----
 26.02.13 05:00 0.14 0.00 0.17 0.15 0.43 ---- 0.23 0.00 ----
 -------- 06:00 0.17 0.01 0.20 0.11 0.45 ---- 0.23 0.00 ----
 -------- 07:00 0.25 0.01 0.13 0.18 0.46 ---- 0.22 0.00 ----
 -------- 08:00 0.31 0.00 0.14 0.13 0.49 ---- 0.23 0.00 ----
 -------- 09:00 0.28 0.01 0.12 0.16 0.50 ---- 0.26 0.00 ----
 26.02.13 10:00 0.27 0.01 0.15 0.16 0.45 ---- 0.25 0.00 ----
 -------- 11:00 0.31 0.01 0.24 0.16 0.51 ---- 0.39 0.00 ----
 -------- 12:00 0.31 0.01 0.21 0.11 0.45 ---- 0.39 0.00 ----
 -------- 13:00 0.31 0.01 0.24 0.11 0.38 ---- 0.29 0.00 ----
 -------- 14:00 0.30 0.01 0.24 0.11 0.37 0.05 0.28 0.00 0.01
 26.02.13 15:00 0.28 0.01 0.28 0.14 0.40 0.03 0.32 0.00 0.01
 -------- 16:00 0.26 0.01 0.31 0.13 0.42 0.02 0.31 0.00 0.01
 -------- 17:00 0.23 0.00 0.29 0.12 0.37 0.01 0.28 0.00 0.01
 -------- 18:00 0.22 0.01 0.24 0.10 0.38 0.02 0.27 0.00 0.01
 -------- 19:00 0.25 0.01 0.27 0.19 0.47 0.03 0.25 0.00 ----
 26.02.13 20:00 0.25 0.00 0.24 0.13 0.46 0.06 0.30 0.00 0.00
 -------- 21:00 0.25 0.01 0.24 0.12 0.47 0.02 0.29 0.00 0.02
 -------- 22:00 0.24 0.00 0.25 0.15 0.45 0.03 0.27 0.00 0.01
 -------- 23:00 0.20 0.01 0.28 0.09 0.38 0.04 0.26 0.00 0.01
 -------- 00:00 0.19 0.01 0.28 0.14 0.36 0.02 0.27 0.00 0.01
 27.02.13 01:00 0.16 0.01 0.31 0.12 0.36 0.02 0.24 0.00 0.01
 -------- 02:00 0.10 0.01 0.33 0.12 0.30 0.01 0.25 0.00 0.01
 -------- 03:00 0.08 0.01 0.34 0.10 0.28 0.03 0.25 0.00 0.01
 -------- 04:00 0.06 0.01 0.33 0.10 0.23 0.03 0.23 0.00 0.01
 -------- 05:00 0.07 0.01 0.33 0.10 0.30 0.03 0.23 0.00 0.01
 27.02.13 06:00 0.11 0.01 0.31 0.12 0.33 0.04 0.24 0.00 0.02
 -------- 07:00 0.16 0.01 0.33 0.11 0.26 0.03 0.30 0.00 0.01
 -------- 08:00 0.21 0.01 0.34 0.12 0.30 0.03 0.28 0.00 0.01
 -------- 09:00 0.21 0.01 0.32 0.11 0.30 0.02 0.30 0.00 0.01
 -------- 10:00 0.19 0.01 0.30 0.11 0.35 0.04 0.27 0.00 0.01
 27.02.13 11:00 0.23 0.01 0.25 0.12 0.36 0.03 0.28 0.00 0.01
 -------- 12:00 0.23 0.01 0.28 0.11 0.37 0.04 0.32 0.00 0.01
 -------- 13:00 0.21 0.01 0.29 0.12 0.31 0.03 0.28 0.00 0.01
 -------- 14:00 0.20 0.01 0.28 0.10 0.32 0.04 0.27 0.00 0.01
 -------- 15:00 0.21 0.01 0.31 0.09 0.29 0.03 0.28 0.00 0.01
 27.02.13 16:00 0.20 0.00 0.25 0.10 0.35 0.03 0.26 0.00 0.01
 -------- 17:00 0.20 0.01 0.28 0.13 0.33 0.04 0.25 0.00 0.01
 -------- 18:00 0.20 0.01 0.29 0.15 0.37 0.03 0.26 0.00 0.01
 -------- 19:00 0.21 0.00 0.26 0.15 0.42 0.03 0.26 0.00 0.01
 -------- 20:00 0.29 0.00 0.21 0.20 0.50 0.02 0.24 0.00 0.02
 27.02.13 21:00 0.35 0.01 0.21 0.15 0.50 0.01 0.27 0.00 0.01
 -------- 22:00 0.37 0.01 0.21 0.17 0.50 0.07 0.27 0.00 0.02
 -------- 23:00 0.37 0.01 0.17 0.16 0.52 0.07 0.26 0.00 0.01
 -------- 00:00 0.34 0.01 0.15 0.16 0.53 0.02 0.22 0.00 ----
