 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол
 29.09.12 12:00 0.24 0.01 0.19 ---- 0.22 0.01 0.20 0.00 0.11
 -------- 13:00 0.23 0.01 0.23 ---- 0.22 0.01 0.20 0.00 0.08
 -------- 14:00 0.19 0.01 0.26 0.03 0.22 0.01 0.20 0.00 0.04
 -------- 15:00 0.31 0.00 0.23 0.06 0.24 0.02 0.20 0.00 0.05
 -------- 16:00 0.29 0.01 0.22 ---- 0.22 0.02 0.20 0.00 0.08
 29.09.12 17:00 0.31 0.01 0.28 0.03 0.26 0.02 0.20 0.00 0.06
 -------- 18:00 0.37 0.01 0.21 0.05 0.29 0.03 0.20 0.00 0.03
 -------- 19:00 0.49 0.01 0.19 0.05 0.34 0.02 0.20 0.00 0.05
 -------- 20:00 0.54 0.01 0.17 0.06 0.37 0.01 0.20 0.00 0.10
 -------- 21:00 0.60 0.01 0.14 0.05 0.39 0.01 0.20 0.00 0.14
 29.09.12 22:00 0.69 0.01 0.27 0.09 0.41 ---- 0.17 0.00 0.16
 -------- 23:00 0.77 0.01 0.35 0.08 0.40 0.05 0.17 0.00 0.17
 -------- 00:00 0.70 ---- 0.37 0.03 0.39 ---- 0.20 0.00 0.16
 -------- 01:00 0.55 0.00 0.36 0.03 0.39 0.01 0.20 0.00 0.17
 -------- 02:00 0.45 0.00 0.30 0.04 0.37 0.00 0.17 0.00 0.14
 30.09.12 03:00 0.40 0.00 0.30 0.05 0.37 0.01 0.17 0.00 0.18
 -------- 04:00 0.30 ---- 0.36 0.03 0.34 0.01 0.17 0.00 0.18
 -------- 05:00 0.25 0.00 0.32 0.03 0.33 0.00 0.20 0.00 0.17
 -------- 06:00 0.21 0.01 0.30 0.03 0.33 0.01 0.13 0.00 0.17
 -------- 07:00 0.21 0.01 0.35 0.03 0.31 0.01 0.17 0.00 0.17
 30.09.12 08:00 0.25 0.01 0.34 0.03 0.31 0.01 0.17 0.00 0.17
 -------- 09:00 0.27 0.00 0.32 0.03 0.29 0.02 0.17 0.00 0.17
 -------- 10:00 0.31 0.00 0.37 ---- 0.32 ---- 0.13 0.00 0.18
 -------- 11:00 0.29 0.01 0.33 0.03 0.32 ---- 0.17 0.00 0.19
 -------- 12:00 0.27 0.01 0.17 ---- 0.30 0.01 0.23 0.00 0.16
 30.09.12 13:00 0.22 0.01 0.19 0.03 0.32 0.01 0.20 0.00 0.12
 -------- 14:00 0.22 0.01 0.25 0.03 0.27 0.02 0.20 0.00 0.04
 -------- 15:00 0.21 0.01 0.25 0.03 0.28 0.02 0.20 0.00 0.06
 -------- 16:00 0.19 0.00 0.27 0.03 0.26 0.02 0.20 0.00 0.08
 -------- 17:00 0.18 0.00 0.24 0.03 0.25 0.01 0.20 0.00 0.08
 30.09.12 18:00 0.22 0.01 0.38 0.06 0.34 0.01 0.20 0.00 0.12
 -------- 19:00 0.18 0.01 0.32 0.03 0.33 0.01 0.20 0.00 0.17
 -------- 20:00 0.21 0.01 0.34 0.06 0.34 0.01 0.20 0.00 0.15
 -------- 21:00 0.35 0.00 0.33 0.06 0.35 ---- 0.20 0.00 0.17
 -------- 22:00 0.40 0.01 0.33 0.03 0.30 0.01 0.13 0.00 0.14
 30.09.12 23:00 0.32 0.01 0.41 ---- 0.25 0.01 0.20 0.00 0.14
 -------- 00:00 0.27 0.00 0.42 ---- 0.21 0.01 0.20 0.00 0.14
 -------- 01:00 0.21 0.00 0.41 ---- 0.18 0.01 0.20 0.00 0.12
 -------- 02:00 0.13 0.01 0.43 ---- 0.13 0.01 0.20 0.00 0.13
 -------- 03:00 0.09 0.01 0.41 ---- 0.12 0.02 0.20 0.00 0.15
 01.10.12 04:00 0.07 0.00 0.41 ---- 0.10 0.01 0.20 0.00 0.13
 -------- 05:00 0.06 0.00 0.45 ---- 0.10 0.01 0.20 0.00 0.14
 -------- 06:00 0.09 0.00 0.49 ---- 0.16 0.01 0.20 0.00 0.14
 -------- 07:00 0.24 0.00 0.41 0.03 0.22 0.01 0.20 0.00 0.13
 -------- 08:00 0.27 0.01 0.38 0.03 0.24 0.01 0.20 0.00 0.12
 01.10.12 09:00 0.28 0.01 0.32 0.04 0.28 0.00 0.20 0.00 0.13
 -------- 10:00 0.31 0.01 0.44 0.03 0.23 0.01 0.17 0.00 0.13
 -------- 11:00 0.27 0.01 0.43 ---- 0.20 0.01 0.20 0.00 0.13
 -------- 12:00 0.24 0.00 0.47 ---- 0.20 ---- 0.20 0.00 0.15
