 Date Time CO SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РњРµС‚Р°РєСЃРёР»РѕР»
 28.02.13 00:00 0.29 0.01 0.19 0.17 0.54 0.04 0.30 0.00 0.01
 -------- 01:00 0.23 0.01 0.18 0.19 0.49 0.04 0.21 0.00 0.02
 -------- 02:00 0.18 0.01 0.22 0.11 0.41 0.03 0.23 0.00 0.02
 -------- 03:00 0.15 0.01 0.24 0.13 0.36 0.07 0.29 0.00 0.01
 -------- 04:00 0.11 0.00 0.30 0.09 0.27 0.04 0.31 0.00 0.01
 28.02.13 05:00 0.09 0.01 0.30 0.06 0.24 0.03 0.26 0.00 0.01
 -------- 06:00 0.11 0.00 0.29 0.09 0.31 0.02 0.27 0.00 0.01
 -------- 07:00 0.17 0.00 0.24 0.06 0.33 0.04 0.23 0.00 0.01
 -------- 08:00 0.20 0.00 0.25 0.08 0.32 0.03 0.26 0.00 0.01
 -------- 09:00 0.18 0.00 0.25 0.09 0.29 0.03 0.29 0.00 0.01
 28.02.13 10:00 0.21 0.00 0.26 0.07 0.31 0.03 0.30 0.00 0.01
 -------- 11:00 0.21 0.00 0.28 0.11 0.32 0.03 0.25 0.00 0.01
 -------- 12:00 0.24 0.00 0.33 0.07 0.33 0.03 0.29 0.00 0.01
 -------- 13:00 0.22 0.00 0.32 0.08 0.31 0.03 0.29 0.00 0.01
 -------- 14:00 0.20 0.00 0.31 0.06 0.29 0.02 0.30 0.00 0.01
 28.02.13 15:00 0.21 0.00 0.27 0.10 0.33 0.04 0.29 0.00 0.01
 -------- 16:00 0.21 0.00 0.31 0.06 0.35 0.03 0.31 0.00 0.01
 -------- 17:00 0.25 0.00 0.32 0.09 0.33 0.01 0.32 0.00 0.02
 -------- 18:00 0.25 0.00 0.26 0.08 0.37 ---- 0.32 0.00 ----
 -------- 19:00 0.25 0.00 0.25 0.08 0.38 0.03 0.28 0.00 0.02
 28.02.13 20:00 0.27 0.00 0.15 0.08 0.43 0.03 0.27 0.00 0.02
 -------- 21:00 0.30 0.00 0.19 0.09 0.43 0.06 0.22 0.00 0.01
 -------- 22:00 0.32 0.00 0.26 0.09 0.40 0.00 0.24 0.00 0.02
 -------- 23:00 0.33 0.01 0.13 0.11 0.44 ---- 0.30 0.00 ----
 -------- 00:00 0.31 0.01 0.11 0.07 0.41 ---- 0.25 0.00 ----
 01.03.13 01:00 0.25 0.00 0.15 0.02 0.38 ---- 0.26 0.00 ----
 -------- 02:00 0.19 0.00 0.27 0.06 0.34 ---- 0.34 0.00 ----
 -------- 03:00 0.17 0.00 0.24 0.05 0.30 ---- 0.26 0.00 ----
 -------- 04:00 0.13 0.01 0.26 0.05 0.28 ---- 0.30 0.00 ----
 -------- 05:00 0.12 0.01 0.25 0.03 0.29 ---- 0.29 0.00 ----
 01.03.13 06:00 0.16 0.00 0.25 0.04 0.35 ---- 0.34 0.00 ----
 -------- 07:00 0.25 0.01 0.24 0.06 0.40 ---- 0.29 0.00 ----
 -------- 08:00 0.29 0.00 0.18 0.04 0.37 ---- 0.33 0.00 ----
 -------- 09:00 0.26 0.00 0.22 0.05 0.40 ---- 0.31 0.00 ----
 -------- 10:00 0.35 0.00 0.20 0.06 0.43 ---- 0.28 0.00 ----
 01.03.13 11:00 0.33 0.00 0.18 0.05 0.40 ---- 0.33 0.00 ----
 -------- 12:00 0.28 0.00 0.22 0.08 0.33 ---- 0.28 0.00 ----
 -------- 13:00 0.27 0.00 0.21 0.02 0.38 ---- 0.33 0.00 ----
 -------- 14:00 0.28 0.00 0.25 0.10 0.36 ---- 0.30 0.00 ----
 -------- 15:00 0.27 0.00 0.27 0.04 0.36 ---- 0.37 0.00 ----
 01.03.13 16:00 0.25 0.00 0.28 0.07 0.35 ---- 0.32 0.00 ----
 -------- 17:00 0.23 0.00 0.23 0.02 0.36 ---- 0.32 0.00 ----
 -------- 18:00 0.20 0.00 0.27 0.03 0.37 ---- 0.31 0.00 ----
 -------- 19:00 0.18 0.00 0.31 0.04 0.38 ---- 0.27 0.00 ----
 -------- 20:00 0.17 0.00 0.27 0.06 0.32 ---- 0.38 0.00 ----
 01.03.13 21:00 0.21 0.00 0.25 0.09 0.33 ---- 0.32 0.00 ----
 -------- 22:00 0.23 0.00 0.25 0.06 0.32 ---- 0.30 0.00 ----
 -------- 23:00 0.26 0.01 0.13 ---- 0.26 ---- 0.27 0.00 ----
 -------- 00:00 0.22 0.00 0.20 0.01 0.26 ---- 0.23 0.00 ----
