 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Метаксилол
 30.01.13 12:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 13:00 0.26 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 14:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 15:00 0.29 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 16:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 30.01.13 17:00 0.29 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 18:00 0.29 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 19:00 0.28 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 20:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 21:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 30.01.13 22:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 23:00 0.21 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 00:00 0.19 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 01:00 0.17 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 0.13 ---- ---- ---- ---- ---- ---- ---- ----
 31.01.13 03:00 0.09 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 04:00 0.07 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 05:00 0.06 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 06:00 0.07 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.13 ---- ---- ---- ---- ---- ---- ---- ----
 31.01.13 08:00 0.15 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 09:00 0.16 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 10:00 0.16 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 11:00 0.17 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 12:00 0.17 ---- ---- ---- ---- ---- ---- ---- ----
 31.01.13 13:00 0.17 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 14:00 0.15 ---- ---- ---- 0.17 ---- ---- ---- ----
 -------- 15:00 0.17 ---- ---- ---- 0.34 ---- ---- ---- ----
 -------- 16:00 0.16 ---- ---- ---- 0.19 ---- ---- ---- ----
 -------- 17:00 0.16 ---- ---- ---- ---- ---- ---- ---- ----
 31.01.13 18:00 0.15 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 19:00 0.14 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 20:00 0.14 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 21:00 0.15 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 22:00 0.16 ---- ---- ---- ---- ---- ---- ---- ----
 31.01.13 23:00 0.16 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 00:00 0.14 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 01:00 0.13 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 0.10 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 03:00 0.09 ---- ---- ---- ---- ---- ---- ---- ----
 01.02.13 04:00 0.08 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 05:00 0.08 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 06:00 0.09 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.13 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 08:00 0.17 ---- ---- ---- ---- ---- ---- ---- ----
 01.02.13 09:00 0.18 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 10:00 0.18 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 11:00 0.20 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 12:00 0.20 ---- ---- ---- ---- ---- ---- ---- ----
