 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол
 19.09.12 09:00 0.44 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 10:00 0.43 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 11:00 0.43 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 12:00 0.40 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 13:00 0.33 ---- ---- ---- ---- ---- ---- ---- ----
 19.09.12 14:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 15:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 16:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 17:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 18:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 19.09.12 19:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 20:00 0.30 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 21:00 0.38 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 22:00 0.47 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 23:00 0.51 ---- ---- ---- ---- ---- ---- ---- ----
 20.09.12 00:00 0.47 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 01:00 0.37 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 03:00 0.21 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 04:00 0.16 ---- ---- ---- ---- ---- ---- ---- ----
 20.09.12 05:00 0.15 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 06:00 0.17 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 08:00 0.32 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 09:00 0.38 ---- ---- ---- ---- ---- ---- ---- ----
 20.09.12 10:00 0.44 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 11:00 0.43 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 12:00 0.33 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 13:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 14:00 0.21 ---- ---- ---- ---- ---- ---- ---- ----
 20.09.12 15:00 0.15 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 16:00 0.15 0.01 0.26 0.08 0.36 0.02 0.30 0.00 0.10
 -------- 17:00 0.15 0.01 0.28 0.10 0.34 0.02 0.30 0.00 0.04
 -------- 18:00 0.17 0.01 0.29 0.10 0.37 0.02 0.20 0.00 0.04
 -------- 19:00 0.23 0.01 0.24 0.12 0.43 0.02 0.20 0.00 0.06
 20.09.12 20:00 0.33 0.01 0.16 0.16 0.53 0.01 0.20 0.00 0.08
 -------- 21:00 0.53 0.02 0.17 0.18 0.57 0.01 0.17 0.00 0.08
 -------- 22:00 0.55 0.01 0.14 0.15 0.53 0.01 0.17 0.00 0.08
 -------- 23:00 0.51 0.02 0.16 0.12 0.47 0.02 0.20 0.00 0.07
 -------- 00:00 0.47 0.01 0.17 0.11 0.46 0.01 0.20 0.00 0.09
 21.09.12 01:00 0.39 0.02 0.15 0.10 0.43 0.02 0.20 0.00 0.10
 -------- 02:00 0.33 0.02 0.20 0.07 0.40 0.01 0.17 0.00 0.12
 -------- 03:00 0.24 0.02 0.16 0.07 0.37 0.01 0.17 0.00 0.10
 -------- 04:00 0.22 0.02 0.15 0.07 0.38 0.01 0.20 0.00 0.10
 -------- 05:00 0.24 0.01 0.13 0.06 0.39 0.00 0.20 0.00 0.11
 21.09.12 06:00 0.27 0.02 0.09 0.05 0.41 0.01 0.17 0.00 0.14
 -------- 07:00 0.35 0.02 0.11 0.08 0.45 0.01 0.20 0.00 0.14
 -------- 08:00 0.42 0.02 0.08 0.11 0.46 0.01 0.23 0.00 0.13
 -------- 09:00 0.48 0.01 0.09 0.06 0.45 ---- 0.20 0.00 0.12
