 Date Time CO SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РњРµС‚Р°РєСЃРёР»РѕР»
 06.04.13 11:00 0.28 0.00 0.58 0.29 0.31 0.03 0.16 0.00 0.02
 -------- 12:00 0.29 0.00 0.60 0.29 0.31 0.04 0.22 0.00 0.02
 -------- 13:00 0.30 0.00 0.58 0.30 0.35 0.04 0.22 0.00 0.02
 -------- 14:00 0.29 0.00 0.35 0.27 0.40 0.03 0.20 0.00 0.02
 -------- 15:00 0.29 0.00 0.54 0.28 0.35 0.04 0.22 0.00 0.02
 06.04.13 16:00 0.28 0.01 0.61 0.29 0.31 0.03 0.20 0.00 0.02
 -------- 17:00 0.30 0.00 0.59 0.26 0.33 0.04 0.17 0.00 0.02
 -------- 18:00 0.32 0.00 0.56 0.28 0.33 0.04 0.19 0.00 0.02
 -------- 19:00 0.35 0.00 0.55 0.30 0.40 0.03 0.21 0.00 0.02
 -------- 20:00 0.36 0.01 0.58 0.30 0.40 0.05 0.23 0.00 0.02
 06.04.13 21:00 0.38 0.00 0.52 0.35 0.43 0.04 0.21 0.00 0.02
 -------- 22:00 0.36 0.00 0.51 0.33 0.41 0.02 0.24 0.00 0.02
 -------- 23:00 0.31 0.00 0.51 0.30 0.37 0.02 0.24 0.00 0.02
 -------- 00:00 0.26 0.00 0.56 0.27 0.33 0.05 0.23 0.00 0.02
 -------- 01:00 0.21 0.00 0.55 0.26 0.30 0.03 0.19 0.00 0.02
 07.04.13 02:00 0.17 0.00 0.57 0.26 0.26 0.04 0.22 0.00 0.02
 -------- 03:00 0.11 0.00 0.58 0.22 0.20 0.04 0.19 0.00 0.02
 -------- 04:00 0.09 0.00 0.58 0.24 0.21 0.04 0.21 0.00 0.03
 -------- 05:00 0.09 0.00 0.64 0.20 0.21 0.02 0.20 0.00 0.02
 -------- 06:00 0.10 0.00 0.61 0.22 0.23 0.05 0.21 0.00 0.02
 07.04.13 07:00 0.09 0.00 0.53 0.22 0.26 0.04 0.20 0.00 0.02
 -------- 08:00 0.11 0.00 0.57 0.24 0.26 0.03 0.19 0.00 0.02
 -------- 09:00 0.13 0.00 0.65 0.27 0.25 0.03 0.21 0.00 0.02
 -------- 10:00 0.16 0.00 0.60 0.24 0.25 0.03 0.21 0.00 0.02
 -------- 11:00 0.16 0.00 0.58 0.24 0.28 0.03 0.19 0.00 0.02
 07.04.13 12:00 0.16 0.00 0.60 0.23 0.28 0.03 0.20 0.00 0.02
 -------- 13:00 0.16 0.00 0.63 0.25 0.27 0.03 0.24 0.00 0.02
 -------- 14:00 0.16 0.00 0.64 0.27 0.26 0.04 0.19 0.00 0.02
 -------- 15:00 0.17 0.00 0.60 0.25 0.27 0.03 0.20 0.00 0.02
 -------- 16:00 0.18 0.00 0.61 0.25 0.29 0.02 0.24 0.00 0.02
 07.04.13 17:00 0.18 0.00 0.62 0.23 0.28 0.04 0.20 0.00 0.02
 -------- 18:00 0.18 0.00 0.60 0.25 0.28 0.03 0.23 0.00 0.02
 -------- 19:00 0.20 0.00 0.58 0.26 0.31 0.04 0.21 0.00 0.02
 -------- 20:00 0.25 0.00 0.62 0.29 0.37 0.03 0.18 0.00 0.02
 -------- 21:00 0.25 0.00 0.60 0.26 0.33 0.05 0.24 0.00 0.02
 07.04.13 22:00 0.26 0.00 0.59 0.25 0.37 0.02 0.23 0.00 0.02
 -------- 23:00 0.26 0.00 0.60 0.28 0.40 0.02 0.20 0.00 0.02
 -------- 00:00 0.25 0.01 0.55 0.27 0.39 0.03 0.22 0.00 0.02
 -------- 01:00 0.21 0.01 0.56 0.26 0.38 0.04 0.20 0.00 0.02
 -------- 02:00 0.19 0.01 0.54 0.26 0.38 0.04 0.23 0.00 0.03
 08.04.13 03:00 0.14 0.00 0.58 0.26 0.36 0.05 0.19 0.00 0.03
 -------- 04:00 0.13 0.00 0.53 0.25 0.43 0.02 0.24 0.00 0.03
 -------- 05:00 0.20 0.01 0.50 0.29 0.54 0.04 0.20 0.00 0.02
 -------- 06:00 0.27 0.01 0.52 0.31 0.51 0.04 0.24 0.00 0.02
 -------- 07:00 0.37 0.00 0.56 0.34 0.52 0.04 0.15 0.00 0.02
 08.04.13 08:00 0.35 0.00 0.58 0.32 0.49 0.05 0.23 0.00 0.03
 -------- 09:00 0.33 0.00 0.50 0.30 0.48 0.05 0.21 0.00 0.03
 -------- 10:00 0.31 0.01 0.51 0.29 0.49 0.02 0.25 0.00 0.01
 -------- 11:00 0.28 0.01 0.55 0.25 0.47 0.01 0.22 0.00 0.02
