 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Метаксилол
 13.02.13 12:00 0.31 0.05 0.23 0.17 0.50 0.00 0.27 0.00 0.01
 -------- 13:00 0.29 0.02 0.20 0.23 0.50 0.02 0.29 0.00 0.01
 -------- 14:00 0.27 0.01 0.25 0.17 0.44 0.03 0.30 0.00 0.01
 -------- 15:00 0.27 0.02 0.23 0.18 0.46 0.05 0.32 0.00 0.01
 -------- 16:00 0.27 0.02 0.18 0.20 0.41 0.00 0.31 0.00 0.01
 13.02.13 17:00 0.31 0.01 0.20 0.18 0.44 0.02 0.27 0.00 0.01
 -------- 18:00 0.28 0.01 0.21 0.17 0.45 0.04 0.25 0.00 0.01
 -------- 19:00 0.25 0.02 0.23 0.18 0.42 0.03 0.25 0.00 0.01
 -------- 20:00 0.25 0.02 0.21 0.16 0.40 0.03 0.27 0.00 0.01
 -------- 21:00 0.31 0.02 0.22 0.14 0.39 0.05 0.29 0.00 0.01
 13.02.13 22:00 0.32 0.02 0.22 0.19 0.42 0.04 0.26 0.00 0.01
 -------- 23:00 0.32 0.01 0.22 0.17 0.46 0.03 0.25 0.00 0.01
 -------- 00:00 0.32 0.01 0.12 0.13 0.46 0.05 0.25 0.00 0.01
 -------- 01:00 0.27 0.02 0.17 0.12 0.42 0.04 0.25 0.00 0.01
 -------- 02:00 0.23 0.01 0.19 0.14 0.40 0.03 0.23 0.00 0.01
 14.02.13 03:00 0.18 0.01 0.20 0.13 0.44 0.02 0.22 0.00 0.01
 -------- 04:00 0.13 0.01 0.20 0.16 0.44 0.05 0.20 0.00 0.02
 -------- 05:00 0.15 0.01 0.22 0.12 0.35 0.03 0.22 0.00 0.02
 -------- 06:00 0.17 0.01 0.21 0.12 0.40 0.02 0.22 0.00 0.01
 -------- 07:00 0.28 0.01 0.13 0.18 0.46 0.04 0.19 0.00 0.01
 14.02.13 08:00 0.31 0.01 0.15 0.17 0.40 0.04 0.26 0.00 0.01
 -------- 09:00 0.33 0.03 0.20 0.19 0.41 0.05 0.29 0.00 0.01
 -------- 10:00 0.29 0.02 0.14 0.14 0.43 0.03 0.27 0.00 0.01
 -------- 11:00 0.33 0.01 0.18 0.21 0.49 0.04 0.24 0.00 0.01
 -------- 12:00 0.37 0.02 0.23 0.22 0.51 0.04 0.30 0.00 0.01
 14.02.13 13:00 0.37 0.01 0.20 0.18 0.47 0.04 0.29 0.00 0.01
 -------- 14:00 0.33 0.01 0.20 0.18 0.43 0.03 0.27 0.00 0.01
 -------- 15:00 0.29 0.01 0.16 0.18 0.44 0.03 0.26 0.00 0.01
 -------- 16:00 0.31 0.01 0.20 0.22 0.53 0.04 0.28 0.00 0.01
 -------- 17:00 0.33 0.01 0.21 0.19 0.45 0.04 0.25 0.00 0.01
 14.02.13 18:00 0.27 0.01 0.24 0.20 0.49 0.04 0.27 0.00 0.01
 -------- 19:00 0.26 0.01 0.23 0.21 0.52 0.02 0.26 0.00 0.01
 -------- 20:00 0.23 0.02 0.23 0.20 0.48 0.03 0.26 0.00 0.01
 -------- 21:00 0.29 0.02 0.19 0.18 0.52 0.01 0.32 0.00 0.01
 -------- 22:00 0.33 0.02 0.21 0.21 0.51 0.04 0.28 0.00 0.01
 14.02.13 23:00 0.37 0.02 0.14 0.22 0.52 0.05 0.26 0.00 0.01
 -------- 00:00 0.33 0.03 0.08 0.19 0.51 0.03 0.27 0.00 0.01
 -------- 01:00 0.29 0.02 0.08 0.18 0.49 0.03 0.27 0.00 0.01
 -------- 02:00 0.23 0.07 0.16 0.18 0.48 0.02 0.28 0.00 0.01
 -------- 03:00 0.19 0.11 0.17 0.15 0.47 0.04 0.24 0.00 0.01
 15.02.13 04:00 0.17 0.09 0.18 0.10 0.46 0.02 0.29 0.00 0.02
 -------- 05:00 0.15 0.20 0.25 0.13 0.45 0.06 0.27 0.00 0.02
 -------- 06:00 0.16 0.04 0.19 0.13 0.46 0.06 0.22 0.00 0.02
 -------- 07:00 0.22 0.08 0.14 0.14 0.50 0.05 0.29 0.00 0.01
 -------- 08:00 0.28 0.06 0.15 0.18 0.50 0.04 0.30 0.00 0.02
 15.02.13 09:00 0.27 0.04 0.23 0.17 0.55 0.03 0.32 0.00 0.01
 -------- 10:00 0.28 0.01 0.21 0.19 0.54 0.03 0.21 0.00 0.02
 -------- 11:00 0.34 0.02 0.21 0.21 0.53 0.02 0.29 0.00 0.01
 -------- 12:00 0.42 0.01 0.30 0.25 0.52 ---- 0.27 0.00 0.01
