 Date Time CO SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РњРµС‚Р°РєСЃРёР»РѕР»
 06.03.13 00:00 0.28 0.01 0.10 0.18 0.57 ---- 0.24 0.00 ----
 -------- 01:00 0.26 0.02 0.08 0.16 0.58 ---- 0.19 0.00 ----
 -------- 02:00 0.21 0.01 0.06 0.16 0.57 ---- 0.24 0.00 ----
 -------- 03:00 0.19 0.01 0.07 0.19 0.55 ---- 0.19 0.00 ----
 -------- 04:00 0.15 0.01 0.13 0.11 0.54 ---- 0.26 0.00 ----
 06.03.13 05:00 0.13 0.01 0.04 0.12 0.55 ---- 0.25 0.00 ----
 -------- 06:00 0.15 0.02 0.06 0.18 0.55 ---- 0.22 0.00 ----
 -------- 07:00 0.19 0.02 0.01 0.14 0.56 ---- 0.24 0.00 ----
 -------- 08:00 0.22 0.01 0.04 0.10 0.55 ---- 0.29 0.00 ----
 -------- 09:00 0.24 0.01 0.04 0.21 0.57 ---- 0.27 0.00 ----
 06.03.13 10:00 0.25 0.01 0.02 0.17 0.57 ---- 0.31 0.00 ----
 -------- 11:00 0.25 0.01 0.03 0.20 0.56 ---- 0.31 0.00 ----
 -------- 12:00 0.26 0.01 0.17 0.21 0.59 ---- 0.31 0.00 ----
 -------- 13:00 0.25 0.02 0.03 0.17 0.56 ---- 0.28 0.00 ----
 -------- 14:00 0.22 0.01 0.14 0.19 0.52 ---- 0.31 0.00 ----
 06.03.13 15:00 0.22 0.01 0.21 0.24 0.53 ---- 0.37 0.00 ----
 -------- 16:00 0.21 0.01 0.25 0.19 0.46 0.05 0.31 0.00 0.00
 -------- 17:00 0.19 0.01 0.30 0.19 0.42 0.04 0.29 0.00 0.01
 -------- 18:00 0.20 0.01 0.29 0.19 0.44 ---- 0.29 0.00 ----
 -------- 19:00 0.20 0.01 0.24 0.19 0.49 ---- 0.30 0.00 ----
 06.03.13 20:00 0.19 0.01 0.27 0.15 0.44 0.00 0.30 0.00 ----
 -------- 21:00 0.19 0.02 0.25 0.10 0.40 0.04 0.26 0.00 0.01
 -------- 22:00 0.21 0.02 0.28 0.14 0.37 0.01 0.26 0.00 ----
 -------- 23:00 0.24 0.01 0.26 0.15 0.42 0.08 0.27 0.00 0.01
 -------- 00:00 0.22 0.02 0.29 0.14 0.36 ---- 0.29 0.00 ----
 07.03.13 01:00 0.21 0.02 0.32 0.12 0.35 ---- 0.28 0.00 0.01
 -------- 02:00 0.17 0.02 0.36 0.14 0.29 ---- 0.31 0.00 ----
 -------- 03:00 0.13 0.01 0.40 0.12 0.25 ---- 0.29 0.00 ----
 -------- 04:00 0.09 0.01 0.41 0.13 0.22 0.01 0.30 0.00 0.01
 -------- 05:00 0.09 0.01 0.40 0.12 0.23 ---- 0.28 0.00 ----
 07.03.13 06:00 0.11 0.01 0.33 0.13 0.32 0.08 0.29 0.00 0.01
 -------- 07:00 0.17 0.01 0.28 0.16 0.40 0.02 0.23 0.00 0.00
 -------- 08:00 0.21 0.01 0.29 0.17 0.43 0.05 0.29 0.00 ----
 -------- 09:00 0.24 0.01 0.27 0.17 0.46 ---- 0.32 0.00 ----
 -------- 10:00 0.25 0.01 0.30 0.17 0.35 0.03 0.31 0.00 0.01
 07.03.13 11:00 0.24 0.01 0.33 0.07 0.28 0.03 0.27 0.00 0.01
 -------- 12:00 0.21 0.01 0.35 0.10 0.22 0.04 0.33 0.00 0.01
 -------- 13:00 0.24 0.00 0.34 0.09 0.21 0.02 0.33 0.00 0.01
 -------- 14:00 0.23 0.00 0.38 0.09 0.22 0.03 0.30 0.00 0.01
 -------- 15:00 0.20 0.01 0.36 0.06 0.20 0.04 0.28 0.00 0.01
 07.03.13 16:00 0.19 0.00 0.35 0.05 0.14 0.02 0.22 0.00 0.01
 -------- 17:00 0.19 0.01 0.37 0.06 0.22 0.02 0.26 0.00 0.00
 -------- 18:00 0.17 0.01 0.39 0.07 0.25 0.01 0.26 0.00 0.01
 -------- 19:00 0.15 0.00 0.34 0.09 0.26 0.03 0.23 0.00 0.00
 -------- 20:00 0.18 0.00 0.33 0.08 0.28 0.03 0.27 0.00 0.00
 07.03.13 21:00 0.22 0.00 0.30 0.09 0.31 0.03 0.28 0.00 0.00
 -------- 22:00 0.25 0.00 0.27 0.11 0.33 0.03 0.26 0.00 0.01
 -------- 23:00 0.29 0.00 0.25 0.11 0.35 0.03 0.28 0.00 0.01
 -------- 00:00 0.24 0.01 0.26 0.08 0.27 0.04 0.32 0.00 0.01
