 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол
 19.11.12 00:00 0.18 0.01 0.16 0.09 0.17 0.03 0.20 0.00 0.04
 -------- 01:00 0.16 0.01 0.14 0.05 0.18 0.01 0.20 0.00 0.04
 -------- 02:00 0.11 0.00 0.15 0.06 0.13 0.03 0.20 0.00 0.03
 -------- 03:00 0.08 0.01 0.19 0.05 0.13 0.02 0.20 0.00 0.05
 -------- 04:00 0.06 0.01 0.13 0.06 0.13 0.02 0.20 0.00 0.03
 19.11.12 05:00 0.06 0.00 0.13 0.06 0.13 0.03 0.20 0.00 0.03
 -------- 06:00 0.10 0.01 0.16 0.08 0.19 0.02 0.20 0.00 0.03
 -------- 07:00 0.18 0.01 0.11 0.08 0.21 0.01 0.20 0.00 0.03
 -------- 08:00 0.23 0.01 0.11 0.09 0.27 0.03 0.20 0.00 0.04
 -------- 09:00 0.25 0.01 0.04 0.11 0.27 0.01 0.20 0.00 0.03
 19.11.12 10:00 0.23 0.01 0.07 0.11 0.27 0.03 0.20 0.00 0.05
 -------- 11:00 0.26 0.01 0.09 0.11 0.28 0.02 0.20 0.00 0.04
 -------- 12:00 0.29 0.01 0.10 0.10 0.27 0.03 0.20 0.00 0.04
 -------- 13:00 0.27 0.01 0.06 0.10 0.27 0.02 0.20 0.00 0.03
 -------- 14:00 0.27 0.01 0.02 0.11 0.31 0.02 0.23 0.00 0.06
 19.11.12 15:00 0.30 0.01 0.05 0.10 0.29 0.01 0.23 0.00 0.03
 -------- 16:00 0.31 0.01 0.11 0.10 0.29 0.02 0.20 0.00 0.05
 -------- 17:00 0.32 0.01 0.03 0.10 0.28 0.02 0.20 0.00 0.04
 -------- 18:00 0.31 0.01 0.10 0.11 0.27 0.03 0.20 0.00 0.03
 -------- 19:00 0.29 0.01 0.11 0.13 0.27 0.01 0.20 0.00 0.03
 19.11.12 20:00 0.28 0.01 0.07 0.09 0.24 0.02 0.20 0.00 0.03
 -------- 21:00 0.30 0.00 0.08 0.08 0.21 0.03 0.20 0.00 0.03
 -------- 22:00 0.33 0.01 0.11 0.10 0.22 0.02 0.20 0.00 0.03
 -------- 23:00 0.31 0.01 0.06 0.09 0.21 0.02 0.20 0.00 0.05
 -------- 00:00 0.28 0.01 0.07 0.10 0.19 0.02 0.20 0.00 0.05
 20.11.12 01:00 0.20 0.01 0.18 0.08 0.16 0.02 0.20 0.00 0.07
 -------- 02:00 0.15 0.01 0.17 0.09 0.17 0.02 0.20 0.00 0.04
 -------- 03:00 0.12 0.01 0.09 0.06 0.17 0.04 0.20 0.00 0.06
 -------- 04:00 0.10 0.01 0.05 0.08 0.14 0.01 0.20 0.00 0.05
 -------- 05:00 0.10 0.01 0.06 0.07 0.16 0.02 0.20 0.00 0.06
 20.11.12 06:00 0.15 0.01 0.04 0.06 0.17 0.02 0.20 0.00 0.04
 -------- 07:00 0.26 0.01 0.03 0.10 0.20 0.03 0.20 0.00 0.04
 -------- 08:00 0.35 0.01 0.14 0.09 0.20 0.02 0.20 0.00 0.05
 -------- 09:00 0.33 0.01 0.06 0.11 0.23 0.02 0.23 0.00 0.04
 -------- 10:00 0.34 0.01 0.06 0.09 0.23 0.03 0.20 0.00 0.07
 20.11.12 11:00 0.35 0.01 0.10 0.10 0.25 0.02 0.23 0.00 0.06
 -------- 12:00 0.35 0.01 0.13 0.10 0.24 0.03 0.20 0.00 0.06
 -------- 13:00 0.36 0.01 0.07 0.11 0.24 0.02 0.20 0.00 0.05
 -------- 14:00 0.36 0.01 0.10 0.11 0.28 0.02 0.20 0.00 0.05
 -------- 15:00 0.34 0.01 0.15 0.12 0.30 0.03 0.20 0.00 0.07
 20.11.12 16:00 0.29 0.01 0.11 0.12 0.29 0.03 0.20 0.00 0.04
 -------- 17:00 0.28 0.01 0.17 0.12 0.30 0.02 0.20 0.00 0.07
 -------- 18:00 0.27 0.01 0.19 0.11 0.30 0.01 0.20 0.00 0.07
 -------- 19:00 0.31 0.01 0.13 0.10 0.29 0.04 0.20 0.00 0.06
 -------- 20:00 0.33 0.01 0.10 0.12 0.32 0.02 0.20 0.00 0.04
 20.11.12 21:00 0.33 0.01 0.08 0.10 0.25 0.02 0.20 0.00 0.06
 -------- 22:00 0.29 0.01 0.08 0.09 0.24 0.01 0.20 0.00 0.06
 -------- 23:00 0.31 0.01 0.05 0.10 0.28 0.02 0.20 0.00 0.05
