 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Метаксилол
 06.02.13 12:00 0.24 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 13:00 0.24 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 14:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 15:00 0.20 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 16:00 0.18 ---- ---- ---- ---- ---- ---- ---- ----
 06.02.13 17:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 18:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 19:00 0.22 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 20:00 0.20 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 21:00 0.20 ---- ---- ---- ---- ---- ---- ---- ----
 06.02.13 22:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 23:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 00:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 01:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 0.16 ---- ---- ---- ---- ---- ---- ---- ----
 07.02.13 03:00 0.11 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 04:00 0.09 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 05:00 0.09 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 06:00 0.10 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.13 ---- ---- ---- ---- ---- ---- ---- ----
 07.02.13 08:00 0.17 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 09:00 0.16 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 10:00 0.17 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 11:00 0.18 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 12:00 0.17 ---- ---- ---- ---- ---- ---- ---- ----
 07.02.13 13:00 0.18 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 14:00 0.18 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 15:00 0.19 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 16:00 0.18 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 17:00 0.17 ---- ---- ---- ---- ---- ---- ---- ----
 07.02.13 18:00 0.15 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 19:00 0.14 ---- ---- ---- 0.25 ---- ---- ---- ----
 -------- 20:00 0.17 ---- ---- ---- 0.33 ---- ---- ---- ----
 -------- 21:00 0.17 ---- ---- 0.91 ---- ---- ---- ---- ----
 -------- 22:00 0.19 ---- ---- ---- 0.40 ---- ---- ---- ----
 07.02.13 23:00 0.19 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 00:00 0.15 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 01:00 0.13 ---- ---- ---- 0.19 ---- ---- ---- ----
 -------- 02:00 0.09 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 03:00 0.07 ---- ---- ---- ---- ---- ---- ---- ----
 08.02.13 04:00 0.06 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 05:00 0.06 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 06:00 0.09 ---- ---- ---- 0.27 ---- ---- ---- ----
 -------- 07:00 0.11 ---- ---- ---- 0.30 ---- ---- ---- ----
 -------- 08:00 0.15 ---- ---- ---- 0.35 ---- ---- ---- ----
 08.02.13 09:00 0.16 ---- ---- ---- 0.37 ---- ---- ---- ----
 -------- 10:00 0.19 ---- ---- ---- 0.40 ---- ---- ---- ----
 -------- 11:00 0.17 ---- ---- ---- 0.37 ---- ---- ---- ----
 -------- 12:00 0.20 ---- ---- ---- 0.41 ---- ---- ---- ----
