 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Метаксилол
 28.01.13 00:00 0.32 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 01:00 0.26 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 0.18 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 03:00 0.13 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 04:00 0.10 ---- ---- ---- ---- ---- ---- ---- ----
 28.01.13 05:00 0.08 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 06:00 0.09 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.15 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 08:00 0.16 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 09:00 0.20 ---- ---- ---- ---- ---- ---- ---- ----
 28.01.13 10:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 11:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 12:00 0.26 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 13:00 0.26 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 14:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 28.01.13 15:00 0.24 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 16:00 0.24 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 17:00 0.24 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 18:00 0.22 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 19:00 0.22 ---- ---- ---- ---- ---- ---- ---- ----
 28.01.13 20:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 21:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 22:00 0.26 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 23:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 00:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 29.01.13 01:00 0.21 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 0.17 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 03:00 0.15 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 04:00 0.11 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 05:00 0.12 ---- ---- ---- ---- ---- ---- ---- ----
 29.01.13 06:00 0.18 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.26 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 08:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 09:00 0.26 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 10:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 29.01.13 11:00 0.28 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 12:00 0.29 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 13:00 0.32 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 14:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 15:00 0.30 ---- ---- ---- ---- ---- ---- ---- ----
 29.01.13 16:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 17:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 18:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 19:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 20:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 29.01.13 21:00 0.24 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 22:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 23:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
