 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 11.10.12 12:00 0.00 0.16 2.11 0.14 0.01 0.10 0.00 ---- ----
 -------- 13:00 0.00 0.19 2.03 0.13 0.01 0.10 0.00 ---- 0.01
 -------- 14:00 0.00 0.24 1.95 0.09 0.02 0.10 0.00 0.03 0.01
 -------- 15:00 0.00 0.21 1.93 0.09 0.02 0.10 0.00 0.03 0.00
 -------- 16:00 0.00 0.22 1.82 0.13 0.01 0.10 0.00 ---- 0.00
 11.10.12 17:00 0.00 0.21 1.89 0.14 0.01 0.10 0.00 ---- 0.00
 -------- 18:00 0.00 0.17 1.82 0.21 0.02 0.10 0.00 ---- 0.01
 -------- 19:00 0.00 0.13 1.71 0.26 0.01 0.10 0.00 ---- 0.00
 -------- 20:00 0.00 0.13 1.76 0.24 0.01 0.10 0.00 ---- 0.01
 -------- 21:00 0.00 0.15 1.73 0.26 0.02 0.17 0.00 0.05 0.01
 11.10.12 22:00 0.00 0.11 1.81 0.25 0.01 0.10 0.00 ---- 0.00
 -------- 23:00 0.00 0.12 1.69 0.23 0.01 0.10 0.00 ---- 0.01
 -------- 00:00 0.00 0.12 1.70 0.22 0.01 0.10 0.00 0.03 0.01
 -------- 01:00 0.00 0.15 1.90 0.20 0.01 0.10 0.00 ---- 0.00
 -------- 02:00 0.00 0.11 1.90 0.22 0.02 0.10 0.00 ---- 0.00
 12.10.12 03:00 0.00 0.12 1.98 0.23 0.01 0.13 0.00 ---- 0.00
 -------- 04:00 0.00 0.09 1.85 0.24 0.02 0.10 0.00 0.03 0.00
 -------- 05:00 0.01 0.09 1.95 0.26 0.01 0.10 0.00 0.03 0.00
 -------- 06:00 0.01 0.11 2.06 0.27 0.01 0.10 0.00 0.03 0.01
 -------- 07:00 0.01 0.11 2.08 0.27 0.01 0.10 0.00 0.03 0.01
 12.10.12 08:00 0.01 0.12 2.10 0.31 ---- 0.10 0.00 0.05 0.01
 -------- 09:00 0.01 0.11 2.16 0.39 ---- 0.10 0.00 0.08 0.01
 -------- 10:00 0.01 0.12 2.24 0.38 ---- 0.10 0.00 0.05 0.01
 -------- 11:00 0.01 0.14 2.29 0.42 ---- 0.13 0.00 0.06 0.01
 -------- 12:00 0.02 0.12 2.30 0.42 0.01 0.10 0.00 0.03 0.01
 12.10.12 13:00 0.02 0.14 2.39 0.36 0.03 0.10 0.00 ---- 0.01
 -------- 14:00 0.04 0.17 2.45 0.36 0.01 0.10 0.00 ---- 0.01
 -------- 15:00 0.14 0.18 2.30 0.40 0.02 0.17 0.00 ---- 0.01
 -------- 16:00 0.02 0.14 2.29 0.35 0.00 0.10 0.00 0.03 0.00
 -------- 17:00 0.01 0.12 2.24 0.31 0.02 0.10 0.00 ---- 0.01
 12.10.12 18:00 0.01 0.11 2.13 0.30 0.01 0.10 0.00 0.03 0.01
 -------- 19:00 0.01 0.11 2.03 0.27 0.02 0.10 0.00 0.03 0.00
 -------- 20:00 0.01 0.12 1.97 0.25 0.01 0.10 0.00 ---- 0.01
 -------- 21:00 0.00 0.12 1.95 0.27 0.01 0.10 0.00 ---- 0.01
 -------- 22:00 0.00 0.13 1.99 0.25 0.01 0.10 0.00 ---- 0.01
 12.10.12 23:00 0.00 0.14 1.97 0.26 0.02 0.10 0.00 0.03 0.01
 -------- 00:00 0.00 0.16 2.00 0.26 0.01 0.10 0.00 0.03 0.01
 -------- 01:00 0.00 0.14 2.09 0.24 0.01 0.10 0.00 ---- 0.01
 -------- 02:00 0.00 0.13 2.12 0.26 0.02 0.17 0.00 ---- 0.00
 -------- 03:00 0.00 0.14 2.13 0.25 0.02 0.10 0.00 ---- 0.01
 13.10.12 04:00 0.00 0.16 2.11 0.21 0.01 0.10 0.00 ---- 0.00
 -------- 05:00 0.00 0.16 2.15 0.18 0.02 0.10 0.00 ---- 0.00
 -------- 06:00 0.00 0.13 2.08 0.21 0.01 0.10 0.00 ---- 0.00
 -------- 07:00 0.00 0.12 2.10 0.22 0.01 0.10 0.00 ---- 0.00
 -------- 08:00 0.01 0.11 2.11 0.21 0.00 0.10 0.00 ---- 0.00
 13.10.12 09:00 0.01 0.10 2.11 0.22 0.01 0.10 0.00 ---- 0.01
 -------- 10:00 0.01 0.13 2.16 0.22 0.02 0.10 0.00 ---- ----
 -------- 11:00 0.00 0.13 2.16 0.22 0.01 0.10 0.00 ---- 0.01
