 Date Time SO2 Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 05.01.13 00:00 0.01 0.04 0.25 0.00 0.55 0.00 0.03 0.01
 -------- 01:00 0.01 0.07 0.25 0.02 0.56 0.00 0.06 0.00
 -------- 02:00 0.01 0.05 0.23 0.01 0.55 0.00 0.05 0.01
 -------- 03:00 0.00 0.07 0.24 0.02 0.57 0.00 0.03 0.01
 -------- 04:00 0.01 0.06 0.22 0.01 0.56 0.00 0.03 0.00
 05.01.13 05:00 0.00 0.08 0.21 0.02 0.55 0.00 0.05 0.00
 -------- 06:00 0.00 0.08 0.24 0.00 0.55 0.00 0.03 0.00
 -------- 07:00 0.01 0.05 0.26 0.02 0.55 0.00 0.04 0.01
 -------- 08:00 0.01 ---- 0.26 0.03 0.56 0.00 0.03 0.01
 -------- 09:00 0.01 ---- 0.25 0.02 0.54 0.00 0.02 0.01
 05.01.13 10:00 0.01 ---- 0.26 0.02 0.54 0.00 0.04 0.00
 -------- 11:00 0.01 ---- 0.28 0.01 0.55 0.00 0.06 0.01
 -------- 12:00 0.01 0.03 0.30 ---- 0.54 0.00 0.08 0.01
 -------- 13:00 0.01 0.04 0.30 0.00 0.55 0.00 0.03 ----
 -------- 14:00 0.01 0.05 0.26 0.00 0.55 0.00 0.04 0.00
 05.01.13 15:00 0.00 0.04 0.24 0.02 0.55 0.00 0.05 0.01
 -------- 16:00 0.00 ---- 0.24 0.01 0.54 0.00 0.07 0.01
 -------- 17:00 0.00 ---- 0.20 0.01 0.53 0.00 0.03 0.01
 -------- 18:00 0.00 0.06 0.22 0.02 0.55 0.00 0.07 0.01
 -------- 19:00 0.00 0.04 0.24 0.02 0.53 0.00 0.05 0.00
 05.01.13 20:00 0.00 0.04 0.25 0.02 0.54 0.00 0.03 0.00
 -------- 21:00 0.00 0.03 0.22 0.02 0.54 0.00 0.04 0.01
 -------- 22:00 0.00 0.02 0.20 0.03 0.53 0.00 0.05 0.01
 -------- 23:00 0.01 0.02 0.18 0.01 0.53 0.00 0.04 0.00
 -------- 00:00 0.00 0.02 0.19 0.02 0.52 0.00 0.05 0.01
 06.01.13 01:00 0.00 0.02 0.18 0.01 0.53 0.00 0.04 0.01
 -------- 02:00 0.01 0.02 0.16 0.01 0.54 0.00 0.02 0.01
 -------- 03:00 0.01 ---- 0.15 0.02 0.53 0.00 0.06 0.01
 -------- 04:00 0.02 0.01 0.16 0.02 0.53 0.00 0.06 0.01
 -------- 05:00 0.01 0.02 0.18 0.01 0.55 0.00 0.03 0.01
 06.01.13 06:00 0.01 0.05 0.19 0.02 0.53 0.00 0.04 0.00
 -------- 07:00 0.02 0.02 0.18 0.02 0.52 0.00 0.03 0.01
 -------- 08:00 0.01 0.04 0.19 0.01 0.54 0.00 0.02 0.01
 -------- 09:00 0.01 0.07 0.20 0.02 0.55 0.00 0.03 0.01
 -------- 10:00 0.02 0.05 0.19 0.02 0.54 0.00 0.07 0.00
 06.01.13 11:00 0.01 0.05 0.17 0.01 0.54 0.00 0.05 0.00
 -------- 12:00 0.01 0.07 0.17 0.02 0.53 0.00 0.03 0.01
 -------- 13:00 0.01 0.06 0.17 0.01 0.52 0.00 0.03 0.01
 -------- 14:00 0.01 0.07 0.19 0.03 0.54 0.00 0.08 0.02
 -------- 15:00 0.01 0.04 0.19 0.01 0.53 0.00 0.03 0.01
 06.01.13 16:00 0.01 0.06 0.20 0.01 0.53 0.00 0.03 0.01
 -------- 17:00 0.01 0.06 0.19 0.01 0.52 0.00 0.05 0.00
 -------- 18:00 0.00 0.08 0.18 0.00 0.52 0.00 0.06 0.01
 -------- 19:00 0.01 0.08 0.18 0.01 0.52 0.00 0.06 0.00
 -------- 20:00 0.01 0.09 0.18 0.03 0.52 0.00 0.04 0.00
 06.01.13 21:00 0.01 0.08 0.18 0.01 0.52 0.00 0.03 0.01
 -------- 22:00 0.01 0.08 0.18 0.01 0.52 0.00 0.02 0.00
 -------- 23:00 0.01 0.11 0.16 0.01 0.52 0.00 0.02 0.01
