 Date Time SO2 Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 08.01.13 12:00 0.01 0.09 0.23 0.01 0.51 0.00 0.01 0.01
 -------- 13:00 0.01 0.06 0.23 0.01 0.52 0.00 0.02 0.01
 -------- 14:00 0.01 0.09 0.24 0.02 0.52 0.00 0.03 0.00
 -------- 15:00 0.01 0.06 0.22 0.01 0.51 0.00 0.02 0.01
 -------- 16:00 0.00 0.03 0.18 0.01 0.50 0.00 0.03 0.00
 08.01.13 17:00 0.00 0.06 0.16 0.02 0.50 0.00 0.03 0.01
 -------- 18:00 0.00 0.06 0.14 0.01 0.51 0.00 0.05 0.00
 -------- 19:00 0.00 0.03 0.19 0.01 0.51 0.00 0.02 0.01
 -------- 20:00 0.00 0.07 0.18 0.01 0.52 0.00 0.03 0.01
 -------- 21:00 0.00 0.03 0.21 0.01 0.52 0.00 0.03 0.01
 08.01.13 22:00 0.01 0.03 0.22 0.00 0.50 0.00 0.02 ----
 -------- 23:00 0.01 0.03 0.21 0.01 0.50 0.00 0.04 0.01
 -------- 00:00 0.00 0.04 0.20 0.01 0.51 0.00 0.03 0.01
 -------- 01:00 0.00 0.05 0.19 0.01 0.51 0.00 0.04 0.00
 -------- 02:00 0.00 0.03 0.18 0.00 0.51 0.00 0.07 0.01
 09.01.13 03:00 0.00 0.05 0.17 0.02 0.50 0.00 0.06 0.00
 -------- 04:00 0.00 0.04 0.18 0.00 0.51 0.00 0.05 0.01
 -------- 05:00 0.00 0.04 0.19 0.01 0.53 0.00 0.02 0.01
 -------- 06:00 0.01 0.06 0.20 0.02 0.52 0.00 0.03 0.00
 -------- 07:00 0.01 0.05 0.23 0.01 0.53 0.00 0.04 0.00
 09.01.13 08:00 0.01 0.09 0.27 0.01 0.53 0.00 0.04 0.00
 -------- 09:00 0.01 0.08 0.26 0.01 0.54 0.00 0.07 0.01
 -------- 10:00 0.01 0.07 0.27 0.01 0.55 0.00 0.02 0.01
 -------- 11:00 0.01 0.08 0.26 0.00 0.53 0.00 0.04 0.01
 -------- 12:00 0.01 0.07 0.24 0.00 0.54 0.00 0.03 0.01
 09.01.13 13:00 0.01 0.06 0.23 0.01 0.53 0.00 0.02 0.00
 -------- 14:00 0.01 0.07 0.23 0.01 0.53 0.00 0.04 0.00
 -------- 15:00 0.01 0.07 0.25 0.01 0.53 0.00 0.02 0.01
 -------- 16:00 0.01 0.04 0.22 0.01 0.52 0.00 0.02 0.00
 -------- 17:00 0.01 0.06 0.27 0.01 0.54 0.00 0.05 0.00
 09.01.13 18:00 0.00 0.10 0.32 0.01 0.54 0.00 ---- 0.00
 -------- 19:00 0.00 0.14 0.32 0.01 0.53 0.00 0.03 0.00
 -------- 20:00 0.00 0.08 0.29 0.01 0.54 0.00 0.04 0.01
 -------- 21:00 0.00 0.05 0.21 0.02 0.51 0.00 0.03 ----
 -------- 22:00 0.00 0.07 0.22 0.01 0.53 0.00 0.06 0.00
 09.01.13 23:00 0.00 0.02 0.16 0.02 0.50 0.00 0.03 0.01
 -------- 00:00 0.00 0.03 0.14 0.00 0.50 0.00 0.02 0.01
 -------- 01:00 0.00 0.04 0.14 0.01 0.50 0.00 0.03 0.01
 -------- 02:00 0.00 0.02 0.08 0.02 0.49 0.00 0.04 0.01
 -------- 03:00 0.00 0.01 0.04 0.02 0.49 0.00 0.04 0.00
 10.01.13 04:00 0.00 0.03 0.08 0.01 0.50 0.00 0.06 0.00
 -------- 05:00 0.00 0.02 0.08 0.00 0.50 0.00 0.02 0.00
 -------- 06:00 0.00 0.04 0.08 0.01 0.49 0.00 0.06 0.01
 -------- 07:00 0.00 0.02 0.18 0.01 0.52 0.00 0.01 0.01
 -------- 08:00 0.00 0.05 0.24 0.02 0.52 0.00 0.06 0.01
 10.01.13 09:00 0.00 0.04 0.28 0.01 0.53 0.00 0.04 0.01
 -------- 10:00 0.00 0.06 0.26 0.00 0.53 0.00 0.03 0.01
 -------- 11:00 0.00 0.08 0.22 0.01 0.53 0.00 0.01 0.01
