 Date Time SO2 Формальдегид NO2 Параксилол Фенол Нафталин Стирол
 02.11.12 00:00 0.01 0.74 0.13 ---- 0.50 0.00 0.07
 -------- 01:00 0.01 0.73 0.11 0.01 0.50 0.00 ----
 -------- 02:00 0.01 0.74 0.10 0.01 0.50 0.00 0.03
 -------- 03:00 0.01 0.71 0.07 0.01 0.50 0.00 0.03
 -------- 04:00 0.01 0.69 0.09 0.02 0.50 0.00 ----
 02.11.12 05:00 0.01 0.74 0.09 0.02 0.50 0.00 0.03
 -------- 06:00 0.01 0.76 0.18 0.01 0.50 0.00 ----
 -------- 07:00 0.01 0.70 0.23 0.01 0.50 0.00 0.03
 -------- 08:00 0.01 0.78 0.23 0.01 0.50 0.00 0.03
 -------- 09:00 0.01 0.71 0.27 0.01 0.50 0.00 0.03
 02.11.12 10:00 0.01 0.72 0.29 0.01 0.50 0.00 0.03
 -------- 11:00 0.01 0.78 0.29 0.01 0.50 0.00 0.05
 -------- 12:00 0.01 0.75 0.27 0.02 0.50 0.00 ----
 -------- 13:00 0.01 0.72 0.27 0.01 0.50 0.00 ----
 -------- 14:00 0.01 0.75 0.27 0.02 0.50 0.00 0.05
 02.11.12 15:00 0.01 0.76 0.28 0.01 0.50 0.00 0.03
 -------- 16:00 0.01 0.80 0.28 0.01 0.50 0.00 0.03
 -------- 17:00 0.01 0.72 0.29 0.01 0.50 0.00 0.03
 -------- 18:00 0.01 0.78 0.26 0.01 0.50 0.00 0.03
 -------- 19:00 0.01 0.79 0.26 0.01 0.50 0.00 ----
 02.11.12 20:00 0.01 0.71 0.23 0.01 0.50 0.00 0.03
 -------- 21:00 0.01 0.73 0.20 0.01 0.50 0.00 0.05
 -------- 22:00 0.01 0.71 0.21 0.01 0.50 0.00 0.03
 -------- 23:00 0.01 0.72 0.23 0.01 0.50 0.00 ----
 -------- 00:00 0.01 0.75 0.20 0.01 0.50 0.00 ----
 03.11.12 01:00 0.01 0.73 0.18 0.02 0.50 0.00 0.04
 -------- 02:00 0.01 0.75 0.18 0.02 0.50 0.00 0.03
 -------- 03:00 0.01 0.70 0.14 0.02 0.50 0.00 ----
 -------- 04:00 0.01 0.72 0.13 0.01 0.50 0.00 0.03
 -------- 05:00 0.01 0.72 0.16 0.01 0.50 0.00 0.03
 03.11.12 06:00 0.01 0.70 0.20 0.01 0.50 0.00 ----
 -------- 07:00 0.01 0.75 0.20 0.02 0.50 0.00 ----
 -------- 08:00 0.01 0.75 0.22 0.00 0.50 0.00 0.03
 -------- 09:00 0.01 0.73 0.25 0.02 0.50 0.00 0.03
 -------- 10:00 0.01 0.74 0.29 0.02 0.50 0.00 0.04
 03.11.12 11:00 0.01 0.72 0.27 0.01 0.50 0.00 0.03
 -------- 12:00 0.01 0.76 0.28 0.01 0.50 0.00 0.04
 -------- 13:00 0.01 0.77 0.30 0.03 0.50 0.00 0.03
 -------- 14:00 0.00 0.46 0.27 0.01 0.50 0.00 0.05
 -------- 15:00 0.00 0.23 0.26 0.01 0.50 0.00 0.04
 03.11.12 16:00 0.00 0.23 0.25 0.01 0.50 0.00 0.03
 -------- 17:00 0.00 0.26 0.23 0.01 0.50 0.00 0.04
 -------- 18:00 0.00 0.26 0.24 0.00 0.50 0.00 0.05
 -------- 19:00 0.00 0.23 0.21 0.01 0.50 0.00 0.03
 -------- 20:00 0.00 0.25 0.14 0.01 0.50 0.00 0.04
 03.11.12 21:00 0.00 0.23 0.11 0.01 0.50 0.00 0.07
 -------- 22:00 0.00 0.23 0.10 0.01 0.50 0.00 0.04
 -------- 23:00 0.00 0.20 0.12 0.01 0.50 0.00 0.03
