 Date Time SO2 Формальдегид NO2 Параксилол Фенол Нафталин Стирол
 29.10.12 12:00 0.01 0.71 0.27 0.01 0.50 0.00 ----
 -------- 13:00 0.01 0.71 0.27 0.00 0.50 0.00 0.03
 -------- 14:00 0.01 0.71 0.26 0.01 0.50 0.00 ----
 -------- 15:00 0.01 0.75 0.29 0.02 0.50 0.00 0.03
 -------- 16:00 0.01 0.75 0.31 0.01 0.50 0.00 0.04
 29.10.12 17:00 0.01 0.76 0.33 0.01 0.50 0.00 0.03
 -------- 18:00 0.01 0.76 0.29 0.00 0.50 0.00 ----
 -------- 19:00 0.01 0.74 0.27 0.01 0.50 0.00 ----
 -------- 20:00 0.01 0.76 0.23 0.02 0.50 0.00 ----
 -------- 21:00 0.01 0.69 0.19 0.01 0.50 0.00 0.03
 29.10.12 22:00 0.01 0.73 0.21 0.01 0.50 0.00 ----
 -------- 23:00 0.01 0.72 0.19 0.01 0.50 0.00 0.03
 -------- 00:00 0.01 0.70 0.12 0.01 0.50 0.00 ----
 -------- 01:00 0.01 0.78 0.13 0.02 0.43 0.00 ----
 -------- 02:00 0.01 0.76 0.17 0.02 0.50 0.00 ----
 30.10.12 03:00 0.01 0.73 0.11 0.01 0.47 0.00 0.04
 -------- 04:00 0.01 0.74 0.05 0.01 0.40 0.00 0.03
 -------- 05:00 0.01 0.71 0.12 0.01 0.47 0.00 0.05
 -------- 06:00 0.01 0.77 0.19 0.01 0.50 0.00 0.03
 -------- 07:00 0.01 0.81 0.23 0.01 0.50 0.00 0.05
 30.10.12 08:00 0.01 0.79 0.26 0.01 0.50 0.00 0.03
 -------- 09:00 0.01 0.80 0.25 0.01 0.50 0.00 ----
 -------- 10:00 0.01 0.79 0.26 0.02 0.50 0.00 ----
 -------- 11:00 0.01 0.78 0.25 0.01 0.50 0.00 ----
 -------- 12:00 0.01 0.78 0.21 0.01 0.50 0.00 ----
 30.10.12 13:00 0.01 0.73 0.23 0.02 0.50 0.00 0.03
 -------- 14:00 0.01 0.76 0.30 0.01 0.50 0.00 0.03
 -------- 15:00 0.01 0.74 0.27 0.01 0.50 0.00 0.03
 -------- 16:00 0.01 0.76 0.29 0.01 0.50 0.00 ----
 -------- 17:00 0.01 0.78 0.26 0.01 0.50 0.00 0.05
 30.10.12 18:00 0.01 0.74 0.27 0.01 0.50 0.00 0.04
 -------- 19:00 0.01 0.73 0.25 0.02 0.50 0.00 0.03
 -------- 20:00 0.01 0.72 0.20 0.01 0.50 0.00 0.03
 -------- 21:00 0.02 0.70 0.20 0.01 0.50 0.00 0.05
 -------- 22:00 0.02 0.74 0.18 0.01 0.50 0.00 0.03
 30.10.12 23:00 0.03 0.69 0.18 0.01 0.43 0.00 0.04
 -------- 00:00 0.05 0.70 0.25 0.01 0.47 0.00 ----
 -------- 01:00 0.07 0.70 0.23 0.01 0.40 0.00 ----
 -------- 02:00 0.06 0.70 0.26 0.02 0.47 0.00 0.03
 -------- 03:00 0.05 0.71 0.20 0.01 0.50 0.00 ----
 31.10.12 04:00 0.03 0.74 0.21 0.01 0.50 0.00 0.03
 -------- 05:00 0.01 0.71 0.21 0.02 0.50 0.00 ----
 -------- 06:00 0.01 0.75 0.24 0.01 0.50 0.00 ----
 -------- 07:00 0.01 0.79 0.24 0.02 0.50 0.00 0.04
 -------- 08:00 0.01 0.79 0.26 0.01 0.50 0.00 0.03
 31.10.12 09:00 0.01 0.77 0.27 0.01 0.50 0.00 0.07
 -------- 10:00 0.01 0.78 0.27 0.01 0.50 0.00 ----
 -------- 11:00 0.01 0.78 0.29 0.01 0.50 0.00 ----
