 Date Time SO2 Формальдегид NO2 Параксилол Фенол Нафталин Стирол
 05.10.12 00:00 0.00 0.06 0.12 0.03 0.50 0.00 0.05
 -------- 01:00 0.00 0.14 0.14 0.01 0.50 0.00 0.05
 -------- 02:00 0.00 0.12 0.12 0.01 0.50 0.00 0.04
 -------- 03:00 0.00 0.14 0.15 0.01 0.50 0.00 0.05
 -------- 04:00 0.01 0.26 0.24 0.01 0.50 0.00 0.04
 05.10.12 05:00 0.01 0.30 0.33 0.01 0.50 0.00 0.03
 -------- 06:00 0.01 0.30 0.34 0.01 0.50 0.00 0.03
 -------- 07:00 0.01 0.31 0.34 0.01 0.50 0.00 0.04
 -------- 08:00 0.01 0.32 0.36 0.01 0.50 0.00 0.05
 -------- 09:00 0.01 0.30 0.38 0.02 0.50 0.00 0.04
 05.10.12 10:00 0.01 0.29 0.36 0.01 0.50 0.00 0.04
 -------- 11:00 0.01 0.30 0.30 0.01 0.50 0.00 0.05
 -------- 12:00 0.01 0.23 0.25 0.01 0.50 0.00 0.03
 -------- 13:00 0.01 0.22 0.29 0.02 0.50 0.00 0.03
 -------- 14:00 0.01 0.17 0.31 0.01 0.50 0.00 0.06
 05.10.12 15:00 0.01 0.22 0.34 0.01 0.50 0.00 0.04
 -------- 16:00 0.01 0.15 0.38 0.02 0.50 0.00 0.04
 -------- 17:00 0.01 0.21 0.24 0.02 0.50 0.00 0.05
 -------- 18:00 0.01 0.19 0.23 0.01 0.50 0.00 0.03
 -------- 19:00 0.01 0.19 0.24 0.01 0.50 0.00 0.03
 05.10.12 20:00 0.00 0.16 0.25 0.01 0.50 0.00 0.05
 -------- 21:00 0.00 0.19 0.26 0.02 0.50 0.00 0.03
 -------- 23:00 0.01 ---- 0.17 0.01 0.20 0.02 0.03
 -------- 00:00 0.00 0.19 0.23 0.01 0.50 0.00 0.03
 -------- 01:00 0.00 0.25 0.19 0.02 0.50 0.00 0.03
 06.10.12 02:00 0.00 0.16 0.12 0.01 0.50 0.00 0.03
 -------- 03:00 0.00 0.20 0.13 0.02 0.50 0.00 0.03
 -------- 04:00 ---- 0.16 0.10 0.01 0.53 0.00 0.04
 -------- 05:00 0.00 0.15 0.09 0.02 0.50 0.00 0.03
 -------- 06:00 0.00 0.25 0.13 0.02 0.50 0.00 0.05
 06.10.12 07:00 0.00 0.21 0.20 0.01 0.50 0.00 0.03
 -------- 08:00 0.00 0.29 0.22 0.01 0.50 0.00 0.04
 -------- 09:00 0.00 0.30 0.21 0.01 0.50 0.00 0.03
 -------- 10:00 0.00 0.22 0.17 0.01 0.50 0.00 0.05
 -------- 11:00 0.00 0.24 0.17 0.01 0.50 0.00 0.05
 06.10.12 12:00 ---- 0.24 0.18 0.02 0.50 0.00 0.03
 -------- 13:00 0.00 0.26 0.14 0.02 0.50 0.00 0.04
 -------- 14:00 0.00 0.20 0.15 0.01 0.50 0.00 0.03
 -------- 15:00 0.00 0.19 0.16 0.01 0.50 0.00 0.04
 -------- 16:00 0.00 0.22 0.20 0.02 0.50 0.00 0.04
 06.10.12 17:00 0.00 0.22 0.15 0.01 0.50 0.00 0.05
 -------- 18:00 0.00 0.33 0.12 0.02 0.60 0.00 0.05
 -------- 19:00 0.00 0.38 0.13 0.01 0.60 0.00 0.03
 -------- 20:00 0.00 0.27 0.12 0.03 0.50 0.00 0.03
 -------- 21:00 0.00 0.27 0.08 0.01 0.50 0.00 0.03
 06.10.12 22:00 0.00 0.33 0.08 0.02 0.50 0.00 0.03
 -------- 23:00 0.00 0.28 0.08 0.01 0.50 0.00 0.05
