 Date Time SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РЎС‚РёСЂРѕР» РњРµС‚Р°РєСЃРёР»РѕР»
 08.04.13 12:00 0.01 0.17 0.12 0.31 0.01 0.49 0.00 0.07 0.01
 -------- 13:00 0.02 0.15 0.05 0.25 0.01 0.47 0.00 0.04 0.01
 -------- 14:00 0.03 0.15 0.04 0.22 0.01 0.47 0.00 0.04 0.01
 -------- 15:00 0.02 0.11 0.04 0.23 0.01 0.47 0.00 0.05 0.01
 -------- 16:00 0.01 0.11 ---- 0.20 0.02 0.46 0.00 0.04 0.01
 08.04.13 17:00 0.00 0.10 0.06 0.20 0.01 0.48 0.00 0.03 0.01
 -------- 18:00 0.01 0.08 0.04 0.21 0.01 0.48 0.00 0.02 0.01
 -------- 19:00 0.00 0.09 0.03 0.20 0.02 0.48 0.00 0.05 0.01
 -------- 20:00 0.00 0.14 0.05 0.27 0.02 0.49 0.00 0.05 0.01
 -------- 21:00 0.00 0.20 0.08 0.44 0.01 0.51 0.00 0.06 0.01
 08.04.13 22:00 0.01 0.24 0.18 0.51 0.01 0.51 0.00 0.07 0.01
 -------- 23:00 0.01 0.27 0.24 0.61 0.01 0.53 0.00 0.04 0.01
 -------- 00:00 0.01 0.29 0.24 0.72 0.03 0.53 0.00 0.03 0.01
 -------- 01:00 0.01 0.31 0.29 0.71 0.02 0.53 0.00 0.05 0.01
 -------- 02:00 0.02 0.30 0.30 0.73 0.03 0.52 0.00 0.03 0.01
 09.04.13 03:00 0.02 0.29 0.26 0.69 0.00 0.51 0.00 0.04 0.01
 -------- 04:00 0.02 0.28 0.28 0.67 0.00 0.50 0.00 0.09 0.01
 -------- 05:00 0.02 0.28 0.26 0.75 0.02 0.51 0.00 0.04 0.02
 -------- 06:00 0.03 0.29 0.28 0.74 0.02 0.50 0.00 0.04 0.02
 -------- 07:00 0.03 0.28 0.29 0.77 0.02 0.50 0.00 0.06 0.02
 09.04.13 08:00 0.01 0.27 0.26 0.71 0.01 0.51 0.00 0.03 0.01
 -------- 09:00 0.01 0.26 0.29 0.59 0.02 0.51 0.00 0.04 0.01
 -------- 10:00 0.01 0.28 0.28 0.66 0.02 0.52 0.00 0.07 0.01
 -------- 11:00 0.02 0.19 0.17 0.45 0.01 0.49 0.00 0.08 0.01
 -------- 12:00 0.02 0.25 0.27 0.63 0.02 0.50 0.00 0.06 0.01
 09.04.13 13:00 0.02 0.22 0.20 0.59 0.02 0.49 0.00 0.06 0.01
 -------- 14:00 0.02 0.21 0.21 0.58 0.01 0.49 0.00 0.07 0.01
 -------- 15:00 0.02 0.18 0.11 0.46 0.01 0.48 0.00 0.05 0.00
 -------- 16:00 0.01 0.18 0.16 0.50 0.02 0.48 0.00 0.07 0.01
 -------- 17:00 0.02 0.17 0.16 0.49 0.01 0.48 0.00 0.04 0.01
 09.04.13 18:00 0.02 0.17 0.04 0.50 0.01 0.49 0.00 0.05 0.01
 -------- 19:00 0.02 0.17 0.12 0.45 0.01 0.48 0.00 0.07 0.00
 -------- 20:00 0.01 0.22 0.14 0.57 0.02 0.49 0.00 0.03 0.01
 -------- 21:00 0.01 0.26 0.19 0.66 0.02 0.51 0.00 0.03 0.01
 -------- 22:00 0.01 0.29 0.27 0.77 0.02 0.52 0.00 0.03 0.01
 09.04.13 23:00 0.02 0.31 0.28 0.79 0.01 0.52 0.00 0.04 0.01
 -------- 00:00 0.02 0.29 0.32 0.84 0.01 0.51 0.00 0.05 0.01
 -------- 01:00 0.03 0.30 0.33 0.84 0.01 0.52 0.00 0.05 0.01
 -------- 02:00 0.03 0.28 0.26 0.80 0.02 0.51 0.00 0.06 0.01
 -------- 03:00 0.02 0.28 0.29 0.78 0.01 0.50 0.00 0.06 0.01
 10.04.13 04:00 0.02 0.28 0.24 0.76 0.01 0.50 0.00 0.05 0.01
 -------- 05:00 0.02 0.28 0.24 0.75 0.01 0.50 0.00 0.04 0.02
 -------- 06:00 0.02 0.28 0.27 0.72 0.02 0.50 0.00 0.06 0.01
 -------- 07:00 0.02 0.28 0.25 0.71 0.02 0.50 0.00 0.05 0.01
 -------- 08:00 0.01 0.26 0.29 0.64 0.02 0.50 0.00 0.07 0.01
 10.04.13 09:00 0.01 0.20 0.20 0.45 0.01 0.48 0.00 0.03 0.01
 -------- 10:00 0.01 0.19 0.15 0.40 0.02 0.50 0.00 0.06 0.01
 -------- 11:00 0.01 0.17 0.13 0.36 0.03 0.48 0.00 0.05 0.01
