 Date Time SO2 Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 16.12.12 00:00 0.03 0.03 0.32 0.01 0.50 0.00 0.03 0.01
 -------- 01:00 0.03 0.08 0.31 0.01 0.50 0.00 0.03 0.00
 -------- 02:00 0.03 0.08 0.28 0.01 0.49 0.00 0.05 0.01
 -------- 03:00 0.03 0.08 0.28 0.01 0.50 0.00 0.03 0.01
 -------- 04:00 0.03 0.09 0.27 0.01 0.49 0.00 0.03 0.00
 16.12.12 05:00 0.03 0.05 0.26 0.01 0.49 0.00 0.04 0.01
 -------- 06:00 0.02 0.03 0.27 0.01 0.50 0.00 0.05 0.01
 -------- 07:00 0.02 0.08 0.27 0.02 0.49 0.00 0.04 0.00
 -------- 08:00 0.02 0.04 0.27 0.01 0.49 0.00 0.07 0.01
 -------- 09:00 0.02 0.05 0.28 0.01 0.50 0.00 0.02 0.01
 16.12.12 10:00 0.02 0.06 0.27 0.01 0.49 0.00 0.06 0.01
 -------- 11:00 0.02 0.13 0.26 0.02 0.49 0.00 0.06 0.00
 -------- 12:00 0.02 0.20 0.27 0.02 0.49 0.00 0.05 0.01
 -------- 13:00 0.02 0.15 0.29 0.01 0.48 0.00 0.06 0.01
 -------- 14:00 0.02 0.20 0.31 0.01 0.48 0.00 0.05 0.01
 16.12.12 15:00 0.02 0.18 0.33 0.01 0.48 0.00 0.04 0.00
 -------- 16:00 0.02 0.16 0.36 0.02 0.48 0.00 0.05 0.01
 -------- 17:00 0.07 0.15 0.39 0.01 0.45 0.00 0.05 0.00
 -------- 18:00 0.04 0.13 0.36 0.01 0.48 0.00 0.02 0.01
 -------- 19:00 0.02 0.12 0.36 0.01 0.50 0.00 0.05 0.01
 16.12.12 20:00 0.02 0.06 0.34 0.01 0.48 0.00 0.04 0.00
 -------- 21:00 0.08 0.11 0.36 0.02 0.44 0.00 0.03 0.00
 -------- 22:00 0.07 0.13 0.37 0.01 0.45 0.00 0.02 0.01
 -------- 23:00 0.05 0.11 0.35 0.00 0.46 0.00 0.02 0.01
 -------- 00:00 0.04 0.12 0.34 0.01 0.47 0.00 0.06 0.01
 17.12.12 01:00 0.03 0.07 0.35 0.01 0.48 0.00 0.04 0.01
 -------- 02:00 0.03 0.09 0.35 0.01 0.47 0.00 0.04 0.01
 -------- 03:00 0.03 0.07 0.35 0.01 0.50 0.00 0.04 0.01
 -------- 04:00 0.04 0.11 0.35 0.01 0.49 0.00 0.05 0.00
 -------- 05:00 0.07 0.13 0.36 0.02 0.45 0.00 0.06 0.00
 17.12.12 06:00 0.13 0.14 0.40 0.02 0.41 0.00 0.05 0.01
 -------- 07:00 0.08 0.20 0.43 0.01 0.44 0.00 0.05 0.00
 -------- 08:00 0.03 0.26 0.46 0.01 0.49 0.00 0.04 0.00
 -------- 09:00 0.03 0.26 0.48 0.01 0.49 0.00 0.06 0.01
 -------- 10:00 0.03 0.32 0.52 0.00 0.52 0.00 0.03 0.00
 17.12.12 11:00 0.02 0.28 0.51 0.01 0.49 0.00 0.03 0.01
 -------- 12:00 0.02 0.29 0.53 0.01 0.48 0.00 0.07 0.01
 -------- 13:00 0.02 0.28 0.52 0.01 0.49 0.00 0.05 0.01
 -------- 14:00 0.02 0.26 0.53 0.01 0.49 0.00 0.07 0.01
 -------- 15:00 0.02 0.31 0.49 0.02 0.49 0.00 0.02 0.01
 17.12.12 16:00 0.02 0.24 0.48 0.02 0.49 0.00 0.04 0.00
 -------- 17:00 0.01 0.15 0.47 0.01 0.50 0.00 0.04 0.00
 -------- 18:00 0.02 0.15 0.45 0.01 0.49 0.00 0.04 0.01
 -------- 19:00 0.02 0.13 0.44 0.01 0.50 0.00 0.03 0.01
 -------- 20:00 0.02 0.12 0.40 0.02 0.48 0.00 0.04 0.01
 17.12.12 21:00 0.12 0.12 0.38 0.01 0.43 0.00 0.05 0.01
 -------- 22:00 0.13 0.08 0.36 0.01 0.46 0.00 0.02 0.01
 -------- 23:00 0.09 0.12 0.34 0.02 0.44 0.00 0.03 0.02
