 Date Time SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РЎС‚РёСЂРѕР» РњРµС‚Р°РєСЃРёР»РѕР»
 27.02.13 12:00 0.01 0.12 0.07 0.35 0.00 0.52 0.00 0.04 0.02
 -------- 13:00 0.01 0.13 0.02 0.37 0.02 0.53 0.00 0.01 0.01
 -------- 14:00 0.01 0.14 0.05 0.32 0.02 0.53 0.00 0.03 0.01
 -------- 15:00 0.01 0.11 0.01 0.27 0.01 0.52 0.00 0.05 0.01
 -------- 16:00 0.01 0.11 0.07 0.34 0.02 0.52 0.00 0.03 0.01
 27.02.13 17:00 0.01 0.11 0.06 0.32 0.03 0.51 0.00 0.04 0.02
 -------- 18:00 0.01 0.09 0.01 0.28 0.02 0.50 0.00 0.03 0.00
 -------- 19:00 0.00 0.11 0.06 0.31 0.02 0.52 0.00 0.04 0.01
 -------- 20:00 0.01 0.13 0.05 0.33 0.03 0.52 0.00 0.03 0.01
 -------- 21:00 0.00 0.12 0.04 0.34 0.01 0.52 0.00 0.04 0.01
 27.02.13 22:00 0.01 0.13 0.08 0.37 0.02 0.51 0.00 0.01 0.00
 -------- 23:00 0.01 0.17 0.14 0.45 0.01 0.52 0.00 0.06 0.01
 -------- 00:00 0.01 0.19 0.14 0.46 0.00 0.54 0.00 0.05 0.01
 -------- 01:00 0.01 0.12 0.05 0.33 0.02 0.53 0.00 0.03 0.01
 -------- 02:00 0.01 0.10 ---- 0.24 0.02 0.52 0.00 0.07 0.01
 28.02.13 03:00 0.01 0.09 ---- 0.18 0.01 0.51 0.00 0.05 0.01
 -------- 04:00 0.01 0.05 ---- 0.11 0.00 0.50 0.00 0.02 0.01
 -------- 05:00 0.00 0.04 ---- 0.07 0.02 0.52 0.00 0.04 0.00
 -------- 06:00 0.00 0.06 ---- 0.13 0.02 0.51 0.00 0.05 0.01
 -------- 07:00 0.00 0.08 0.02 0.18 0.01 0.52 0.00 0.02 0.01
 28.02.13 08:00 0.00 0.07 ---- 0.18 0.02 0.51 0.00 0.00 0.00
 -------- 09:00 0.00 0.07 ---- 0.19 0.02 0.52 0.00 0.00 0.01
 -------- 10:00 0.00 0.07 ---- 0.15 0.01 0.52 0.00 0.02 0.02
 -------- 11:00 0.00 0.06 ---- 0.14 0.02 0.51 0.00 0.03 0.00
 -------- 12:00 0.00 0.07 ---- 0.19 0.03 0.51 0.00 0.06 0.01
 28.02.13 13:00 0.00 0.07 ---- 0.17 0.01 0.53 0.00 0.05 0.02
 -------- 14:00 0.00 0.07 ---- 0.15 0.01 0.52 0.00 0.06 0.01
 -------- 15:00 0.00 0.07 ---- 0.18 0.02 0.51 0.00 0.04 0.01
 -------- 16:00 0.00 0.08 ---- 0.19 ---- 0.53 0.00 0.05 0.02
 -------- 17:00 0.00 0.07 ---- 0.20 0.00 0.52 0.00 0.03 0.01
 28.02.13 18:00 0.00 0.09 0.04 0.26 0.01 0.52 0.00 0.03 0.00
 -------- 19:00 0.01 0.10 0.03 0.30 0.03 0.52 0.00 0.06 0.00
 -------- 20:00 0.01 0.09 0.01 0.26 0.02 0.51 0.00 0.03 0.01
 -------- 21:00 0.00 0.09 0.00 0.23 0.00 0.52 0.00 0.06 0.00
 -------- 22:00 0.00 0.12 0.03 0.31 0.03 0.52 0.00 0.04 0.01
 28.02.13 23:00 0.01 0.12 ---- 0.30 0.02 0.53 0.00 0.06 0.02
 -------- 00:00 0.00 0.08 ---- 0.20 0.01 0.52 0.00 0.04 0.02
 -------- 01:00 0.00 0.07 ---- 0.17 0.04 0.52 0.00 0.03 0.01
 -------- 02:00 0.00 0.07 0.02 0.15 0.05 0.53 0.00 0.04 0.01
 -------- 03:00 0.01 0.07 0.05 0.10 0.05 0.54 0.00 0.03 0.02
 01.03.13 04:00 0.01 0.07 ---- 0.12 0.02 0.52 0.00 0.03 0.03
 -------- 05:00 0.00 0.07 ---- 0.13 0.02 0.52 0.00 0.04 0.02
 -------- 06:00 0.00 0.08 ---- 0.17 0.01 0.52 0.00 0.02 0.02
 -------- 07:00 0.00 0.11 0.03 0.31 0.01 0.53 0.00 0.02 0.00
 -------- 08:00 0.00 0.12 0.03 0.32 0.03 0.52 0.00 0.05 0.02
 01.03.13 09:00 0.00 0.12 0.02 0.30 0.04 0.53 0.00 0.09 ----
 -------- 10:00 0.01 0.12 0.04 0.27 ---- 0.54 0.00 0.02 ----
 -------- 11:00 0.00 0.11 ---- 0.26 0.02 0.53 0.00 0.06 0.00
