 Date Time SO2 Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 05.12.12 23:00 0.00 0.16 0.27 0.01 0.49 0.00 0.05 0.00
 -------- 00:00 0.01 0.15 0.30 0.01 0.50 0.00 0.05 0.01
 -------- 01:00 0.01 0.28 0.39 0.01 0.50 0.00 0.06 0.00
 -------- 02:00 0.01 0.14 0.33 0.02 0.50 0.00 0.04 0.01
 -------- 03:00 0.01 0.19 0.35 0.01 0.50 0.00 0.05 0.00
 06.12.12 04:00 0.01 0.20 0.35 0.02 0.51 0.00 0.05 0.01
 -------- 05:00 0.02 0.17 0.32 0.01 0.51 0.00 0.04 0.01
 -------- 06:00 0.02 0.20 0.31 0.01 0.51 0.00 0.04 0.00
 -------- 07:00 0.02 0.19 0.32 0.01 0.52 0.00 0.06 0.01
 -------- 08:00 0.02 0.19 0.31 0.01 0.52 0.00 0.04 0.01
 06.12.12 09:00 0.01 0.21 0.30 0.01 0.52 0.00 0.06 0.01
 -------- 10:00 0.01 0.16 0.32 0.01 0.51 0.00 0.03 0.01
 -------- 11:00 0.01 0.22 0.34 0.01 0.53 0.00 0.07 0.01
 -------- 12:00 0.01 0.22 0.34 0.01 0.52 0.00 0.06 0.01
 -------- 13:00 0.01 0.17 0.32 0.01 0.51 0.00 0.06 0.01
 06.12.12 14:00 0.01 0.18 0.32 0.01 0.51 0.00 0.03 0.00
 -------- 15:00 0.01 0.17 0.31 0.01 0.52 0.00 0.04 0.00
 -------- 16:00 0.01 0.16 0.28 0.01 0.52 0.00 0.03 0.00
 -------- 17:00 0.01 0.16 0.26 0.01 0.52 0.00 0.05 0.00
 -------- 18:00 0.01 0.15 0.24 0.01 0.52 0.00 0.06 0.00
 06.12.12 19:00 0.01 0.18 0.24 0.02 0.51 0.00 0.05 0.01
 -------- 20:00 0.01 0.15 0.24 0.02 0.52 0.00 0.05 0.00
 -------- 21:00 0.01 0.14 0.26 0.01 0.51 0.00 0.04 0.00
 -------- 22:00 0.08 0.14 0.27 0.01 0.47 0.00 0.03 0.01
 -------- 23:00 0.12 0.15 0.27 0.01 0.43 0.00 0.04 0.00
 07.12.12 00:00 0.04 0.11 0.24 0.01 0.48 0.00 0.05 0.01
 -------- 01:00 0.01 0.15 0.20 0.01 0.50 0.00 0.02 0.00
 -------- 02:00 0.01 0.14 0.21 0.01 0.50 0.00 0.05 0.01
 -------- 03:00 0.03 0.16 0.18 0.02 0.47 0.00 0.03 0.01
 -------- 04:00 0.01 0.14 0.17 0.01 0.49 0.00 0.03 0.01
 07.12.12 05:00 0.08 0.12 0.23 0.02 0.44 0.00 0.01 0.01
 -------- 06:00 0.07 0.14 0.26 0.01 0.46 0.00 0.04 0.01
 -------- 07:00 0.01 0.14 0.24 0.01 0.49 0.00 0.02 0.01
 -------- 08:00 0.08 0.14 0.26 0.02 0.44 0.00 0.03 0.01
 -------- 09:00 0.01 0.13 0.24 0.01 0.49 0.00 0.04 0.01
 07.12.12 10:00 0.01 0.12 0.24 0.01 0.49 0.00 0.04 0.01
 -------- 11:00 0.01 0.13 0.24 0.01 0.49 0.00 0.04 0.01
 -------- 12:00 0.00 0.14 0.23 0.01 0.49 0.00 0.04 0.01
 -------- 13:00 0.01 0.13 0.21 0.01 0.50 0.00 0.04 0.00
 -------- 14:00 0.01 0.13 0.26 0.01 0.50 0.00 0.03 0.01
 07.12.12 15:00 0.01 0.11 0.27 0.01 0.51 0.00 0.08 0.01
 -------- 16:00 0.06 0.17 0.29 0.01 0.46 0.00 0.06 0.01
 -------- 17:00 0.06 0.19 0.29 0.02 0.47 0.00 0.04 0.00
 -------- 18:00 0.06 0.16 0.29 0.02 0.46 0.00 0.04 0.01
 -------- 19:00 0.03 0.22 0.27 0.01 0.49 0.00 0.05 0.00
 07.12.12 20:00 0.02 0.21 0.24 0.01 0.50 0.00 0.06 0.01
 -------- 21:00 0.03 0.19 0.22 0.01 0.50 0.00 0.03 0.00
 -------- 22:00 0.03 0.18 0.20 0.02 0.49 0.00 0.02 0.01
