 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 22.11.12 00:00 0.01 0.18 0.16 0.23 0.01 0.50 0.00 0.03 0.00
 -------- 01:00 0.01 0.18 0.19 0.22 0.02 0.50 0.00 ---- 0.00
 -------- 02:00 0.01 0.18 0.15 0.19 0.02 0.53 0.00 ---- 0.01
 -------- 03:00 0.01 0.17 0.16 0.16 0.02 0.53 0.00 ---- 0.00
 -------- 04:00 0.00 0.16 0.15 0.15 0.01 0.50 0.00 0.03 0.01
 22.11.12 05:00 0.00 0.17 0.15 0.14 0.01 0.53 0.00 0.03 0.00
 -------- 06:00 0.00 0.18 0.15 0.18 0.01 0.53 0.00 0.03 0.01
 -------- 07:00 0.01 0.21 0.17 0.20 0.01 0.60 0.00 0.03 0.00
 -------- 08:00 0.01 0.19 0.16 0.22 0.00 0.53 0.00 0.03 0.01
 -------- 09:00 0.00 0.19 0.17 0.24 0.01 0.50 0.00 0.04 0.01
 22.11.12 10:00 0.01 0.19 0.22 0.26 0.01 0.50 0.00 0.03 0.00
 -------- 11:00 0.01 0.19 0.23 0.26 0.01 0.50 0.00 0.03 0.01
 -------- 14:00 0.01 0.16 0.10 0.20 0.02 0.53 0.00 0.06 0.00
 -------- 15:00 0.01 0.17 ---- 0.24 0.01 0.52 0.00 0.04 0.01
 -------- 16:00 0.01 0.16 0.03 0.25 0.01 0.52 0.00 0.05 0.01
 23.11.12 17:00 0.01 0.18 0.10 0.27 0.01 0.53 0.00 0.04 0.01
 -------- 18:00 0.01 0.19 0.11 0.31 0.01 0.53 0.00 0.01 0.00
 -------- 19:00 0.01 0.19 0.17 0.31 0.02 0.53 0.00 0.04 0.00
 -------- 20:00 0.01 0.18 0.09 0.29 0.02 0.53 0.00 0.05 0.01
 -------- 21:00 0.00 0.17 0.07 0.26 0.01 0.52 0.00 0.03 0.00
 23.11.12 22:00 0.01 0.18 0.07 0.25 0.02 0.53 0.00 0.02 0.00
 -------- 23:00 0.01 0.17 0.04 0.21 0.01 0.53 0.00 0.07 0.01
