 Date Time SO2 Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 11.01.13 00:00 0.01 0.10 0.23 0.01 0.49 0.00 0.02 0.00
 -------- 01:00 0.01 0.05 0.22 0.01 0.50 0.00 0.03 0.00
 -------- 02:00 0.01 0.06 0.23 0.01 0.50 0.00 0.07 0.01
 -------- 03:00 0.01 0.07 0.25 0.01 0.50 0.00 0.02 0.01
 -------- 04:00 0.01 0.05 0.29 0.01 0.51 0.00 0.02 0.01
 11.01.13 05:00 0.01 0.05 0.30 0.02 0.51 0.00 0.05 0.00
 -------- 06:00 0.01 0.06 0.29 0.01 0.50 0.00 0.04 0.01
 -------- 07:00 0.01 0.06 0.31 0.01 0.50 0.00 0.04 0.01
 -------- 08:00 0.01 0.05 0.32 0.02 0.50 0.00 0.06 0.01
 -------- 09:00 0.01 0.05 0.30 0.01 0.50 0.00 0.04 0.01
 11.01.13 10:00 0.01 0.05 0.34 0.01 0.51 0.00 0.06 0.00
 -------- 11:00 0.01 0.10 0.31 0.02 0.51 0.00 0.04 0.01
 -------- 12:00 0.01 0.06 0.28 0.03 0.51 0.00 0.03 0.00
 -------- 13:00 0.05 0.07 0.29 0.02 0.48 0.00 0.04 0.01
 -------- 14:00 0.04 0.10 0.32 0.01 0.49 0.00 0.07 0.01
 11.01.13 15:00 0.04 0.09 0.32 0.01 0.50 0.00 0.05 0.01
 -------- 16:00 0.12 0.16 0.36 0.01 0.44 0.00 0.05 0.01
 -------- 17:00 0.02 0.14 0.34 0.02 0.51 0.00 0.05 0.01
 -------- 18:00 0.02 0.11 0.34 0.01 0.51 0.00 0.03 0.01
 -------- 19:00 0.03 0.14 0.33 0.02 0.50 0.00 0.04 0.01
 11.01.13 20:00 0.06 0.04 0.30 0.01 0.50 0.00 0.05 0.01
 -------- 21:00 0.05 0.05 0.29 0.01 0.49 0.00 0.03 0.01
 -------- 22:00 0.04 0.02 0.28 0.02 0.49 0.00 0.04 0.00
 -------- 23:00 0.03 0.02 0.28 0.01 0.51 0.00 0.03 0.01
 -------- 00:00 0.02 0.06 0.26 0.01 0.53 0.00 0.01 0.00
 12.01.13 01:00 0.01 0.02 0.24 0.02 0.51 0.00 0.03 0.01
 -------- 02:00 0.01 0.03 0.20 0.01 0.51 0.00 0.02 0.00
 -------- 03:00 0.01 0.06 0.22 0.01 0.51 0.00 0.05 0.01
 -------- 04:00 0.01 0.04 0.22 0.02 0.52 0.00 0.03 0.01
 -------- 05:00 0.01 0.07 0.23 0.01 0.53 0.00 0.05 0.01
 12.01.13 06:00 0.02 0.05 0.24 0.01 0.52 0.00 0.07 0.01
 -------- 07:00 0.01 0.05 0.26 ---- 0.52 0.00 0.06 ----
 -------- 08:00 0.02 0.10 0.27 0.02 0.51 0.00 0.05 0.01
 -------- 09:00 0.03 0.08 0.28 0.01 0.52 0.00 0.03 0.01
 -------- 10:00 0.02 0.08 0.26 0.02 0.51 0.00 0.04 0.01
 12.01.13 11:00 0.02 0.11 0.27 0.02 0.53 0.00 0.03 0.01
 -------- 12:00 0.01 0.11 0.26 0.01 0.52 0.00 0.02 0.01
 -------- 13:00 0.01 0.14 0.28 0.01 0.52 0.00 0.04 0.01
 -------- 14:00 0.01 0.13 0.29 0.02 0.52 0.00 0.01 0.01
 -------- 15:00 0.01 0.16 0.31 0.00 0.51 0.00 0.04 0.01
 12.01.13 16:00 0.01 0.22 0.34 0.01 0.53 0.00 0.08 0.01
 -------- 17:00 0.01 0.24 0.36 0.02 0.53 0.00 0.04 0.01
 -------- 18:00 0.01 0.24 0.36 0.02 0.53 0.00 0.04 0.01
 -------- 19:00 0.02 0.18 0.33 0.02 0.54 0.00 0.01 ----
 -------- 20:00 0.02 0.17 0.32 0.02 0.53 0.00 0.03 0.01
 12.01.13 21:00 0.02 0.18 0.33 0.01 0.53 0.00 0.04 0.01
 -------- 22:00 0.02 0.17 0.34 0.03 0.53 0.00 0.04 0.01
 -------- 23:00 0.02 0.18 0.33 0.01 0.55 0.00 0.05 0.01
