 Date Time SO2 Формальдегид NO2 Параксилол Фенол Нафталин Стирол
 23.09.12 12:00 0.01 0.10 0.24 0.02 0.50 0.00 0.03
 -------- 13:00 0.01 0.09 0.26 0.02 0.50 0.00 0.04
 -------- 14:00 0.01 0.10 0.26 0.02 0.50 0.00 0.05
 -------- 15:00 0.00 0.12 0.22 0.02 0.50 0.00 0.05
 -------- 16:00 0.00 0.12 0.24 0.02 0.50 0.00 0.04
 23.09.12 17:00 ---- 0.11 0.20 0.02 0.50 0.00 0.05
 -------- 18:00 ---- 0.13 0.17 0.01 0.50 0.00 0.06
 -------- 19:00 ---- 0.13 0.19 0.02 0.50 0.00 0.04
 -------- 20:00 ---- 0.10 0.20 0.02 0.50 0.00 0.03
 -------- 21:00 ---- 0.10 0.22 0.02 0.50 0.00 0.05
 23.09.12 22:00 ---- 0.14 0.23 0.01 0.50 0.00 0.03
 -------- 23:00 ---- 0.19 0.20 0.02 0.50 0.00 0.03
 -------- 00:00 0.00 0.28 0.23 0.02 0.50 0.00 0.03
 -------- 01:00 ---- 0.23 0.14 0.01 0.50 0.00 0.03
 -------- 02:00 ---- 0.22 0.09 0.01 0.50 0.00 0.03
 24.09.12 03:00 ---- 0.21 0.08 0.01 0.50 0.00 0.04
 -------- 04:00 ---- 0.19 0.09 0.02 0.50 0.00 0.04
 -------- 05:00 ---- 0.20 0.08 0.01 0.50 0.00 0.03
 -------- 06:00 0.00 0.20 0.12 0.01 0.50 0.00 0.04
 -------- 07:00 0.00 0.24 0.20 0.02 0.50 0.00 0.03
 24.09.12 08:00 0.00 0.25 0.23 0.01 0.50 0.00 0.05
 -------- 09:00 0.00 0.23 0.20 0.02 0.50 0.00 0.04
 -------- 10:00 0.00 0.19 0.19 0.02 0.50 0.00 0.06
 -------- 11:00 0.00 0.17 0.19 0.01 0.50 0.00 0.04
 -------- 12:00 0.00 0.19 0.20 0.01 0.50 0.00 0.05
 24.09.12 13:00 0.00 0.16 0.19 0.02 0.50 0.00 0.05
 -------- 14:00 0.00 0.19 0.16 0.02 0.50 0.00 0.03
 -------- 15:00 0.00 0.12 0.19 0.02 0.50 0.00 0.04
 -------- 16:00 0.00 0.19 0.21 0.01 0.50 0.00 0.03
 -------- 17:00 0.00 0.15 0.21 0.01 0.50 0.00 0.03
 24.09.12 18:00 0.00 0.19 0.23 0.01 0.50 0.00 0.04
 -------- 19:00 0.00 0.24 0.22 0.01 0.50 0.00 0.04
 -------- 20:00 0.00 0.20 0.21 0.02 0.50 0.00 0.04
 -------- 21:00 ---- 0.27 0.24 0.03 0.50 0.00 0.03
 -------- 23:00 0.01 0.20 ---- 0.02 0.80 0.00 0.03
 25.09.12 00:00 0.01 0.24 0.12 0.01 0.50 0.00 0.03
 -------- 01:00 ---- 0.28 0.09 0.02 0.50 0.00 0.03
 -------- 02:00 0.00 0.22 0.06 0.01 0.50 0.00 0.04
 -------- 03:00 0.00 0.25 0.04 0.02 0.50 0.00 0.06
 -------- 04:00 0.00 0.25 0.04 0.01 0.50 0.00 0.05
 25.09.12 05:00 0.00 0.22 0.06 0.02 0.50 0.00 0.04
 -------- 06:00 0.00 0.24 0.07 0.02 0.50 0.00 0.03
 -------- 07:00 0.00 0.22 0.10 0.02 0.50 0.00 0.04
 -------- 08:00 0.00 0.27 0.13 0.01 0.50 0.00 0.04
 -------- 09:00 0.00 0.28 0.14 0.01 0.50 0.00 0.03
 25.09.12 10:00 0.00 0.21 0.11 0.02 0.50 0.00 0.05
 -------- 11:00 0.00 0.25 0.13 0.01 0.50 0.00 0.03
