 Date Time SO2 Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 27.12.12 00:00 0.00 ---- 0.15 0.02 0.52 0.00 0.02 0.01
 -------- 01:00 0.00 0.01 0.13 0.03 0.52 0.00 0.04 0.01
 -------- 02:00 0.00 ---- 0.14 0.01 0.52 0.00 0.05 0.01
 -------- 03:00 0.00 ---- 0.14 0.02 0.52 0.00 0.05 0.00
 -------- 04:00 0.00 ---- 0.20 0.02 0.53 0.00 0.03 0.01
 27.12.12 05:00 0.00 ---- 0.15 0.03 0.53 0.00 0.04 0.01
 -------- 06:00 0.00 ---- 0.19 0.03 0.53 0.00 0.07 0.01
 -------- 07:00 0.00 ---- 0.17 0.02 0.52 0.00 0.03 0.01
 -------- 08:00 0.00 ---- 0.17 0.02 0.52 0.00 0.05 0.02
 -------- 09:00 0.00 ---- 0.20 0.01 0.53 0.00 0.06 0.01
 27.12.12 10:00 0.00 ---- 0.23 0.01 0.54 0.00 0.01 0.01
 -------- 11:00 0.00 ---- 0.24 0.03 0.54 0.00 0.03 0.00
 -------- 12:00 0.00 0.00 0.24 0.01 0.54 0.00 0.04 0.01
 -------- 13:00 0.01 ---- 0.26 0.02 0.54 0.00 0.04 0.02
 -------- 14:00 0.00 ---- 0.27 0.02 0.53 0.00 0.05 0.01
 27.12.12 15:00 0.00 ---- 0.28 0.04 0.53 0.00 0.05 0.00
 -------- 16:00 0.00 ---- 0.31 0.01 0.53 0.00 0.06 0.02
 -------- 17:00 0.00 ---- 0.37 ---- 0.54 0.00 0.11 ----
 -------- 18:00 0.00 0.03 0.40 0.04 0.55 0.00 0.07 0.03
 -------- 19:00 0.00 0.13 0.38 0.02 0.55 0.00 0.04 0.01
 27.12.12 20:00 0.00 0.07 0.32 0.01 0.55 0.00 0.09 0.01
 -------- 21:00 0.00 0.03 0.26 0.01 0.54 0.00 0.02 0.01
 -------- 22:00 0.00 0.01 0.21 0.02 0.53 0.00 0.06 0.01
 -------- 23:00 0.00 0.00 0.21 0.02 0.54 0.00 0.03 0.01
 -------- 00:00 0.00 ---- 0.24 0.02 0.54 0.00 0.05 0.00
 28.12.12 01:00 0.00 ---- 0.19 0.02 0.55 0.00 0.03 0.01
 -------- 02:00 0.00 ---- 0.11 0.02 0.53 0.00 0.06 0.01
 -------- 03:00 0.00 ---- 0.10 0.02 0.53 0.00 0.04 0.01
 -------- 04:00 0.00 0.00 0.11 0.02 0.52 0.00 ---- 0.00
 -------- 05:00 0.00 ---- 0.10 0.03 0.53 0.00 0.04 0.01
 28.12.12 06:00 0.00 ---- 0.10 0.02 0.52 0.00 0.02 0.01
 -------- 07:00 0.00 ---- 0.17 0.01 0.54 0.00 0.05 0.00
 -------- 08:00 0.00 ---- 0.19 0.01 0.54 0.00 0.05 0.00
 -------- 09:00 0.00 ---- 0.17 0.03 0.54 0.00 0.05 0.01
 -------- 10:00 0.00 ---- 0.21 0.02 0.54 0.00 0.04 0.01
 28.12.12 11:00 0.00 ---- 0.20 0.03 0.54 0.00 0.04 0.01
 -------- 12:00 0.00 ---- 0.19 0.02 0.54 0.00 0.13 0.00
 -------- 13:00 0.00 0.01 0.19 0.00 0.53 0.00 0.06 0.01
 -------- 14:00 0.00 ---- 0.21 0.01 0.53 0.00 0.02 ----
 -------- 15:00 0.00 ---- 0.19 0.01 0.49 0.00 0.02 0.01
 28.12.12 16:00 0.00 0.00 0.24 0.02 0.54 0.00 0.03 0.01
 -------- 17:00 0.00 0.03 0.19 0.02 0.53 0.00 0.03 0.01
 -------- 18:00 0.00 0.04 0.20 0.02 0.53 0.00 0.07 ----
 -------- 19:00 0.00 0.03 0.18 0.02 0.54 0.00 0.07 0.00
 -------- 20:00 0.00 0.03 0.15 0.01 0.53 0.00 0.04 ----
 28.12.12 21:00 0.00 0.01 0.16 0.02 0.53 0.00 0.03 0.01
 -------- 22:00 0.00 0.03 0.13 0.02 0.51 0.00 0.06 0.01
 -------- 23:00 0.00 0.03 0.13 0.02 0.51 0.00 0.04 0.01
