 Date Time SO2 Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 29.11.12 00:00 0.01 ---- 0.15 0.02 0.54 0.00 0.03 0.01
 -------- 01:00 0.01 ---- 0.16 0.01 0.53 0.00 0.04 0.01
 -------- 02:00 0.01 ---- 0.15 0.01 0.54 0.00 0.05 0.01
 -------- 03:00 0.01 ---- 0.15 0.01 0.54 0.00 0.04 0.00
 -------- 04:00 0.01 ---- 0.14 0.01 0.55 0.00 0.05 0.00
 29.11.12 05:00 0.01 ---- 0.17 0.01 0.54 0.00 0.04 0.01
 -------- 06:00 0.01 ---- 0.20 0.01 0.52 0.00 0.05 0.01
 -------- 07:00 0.01 0.03 0.21 0.01 0.54 0.00 0.06 0.00
 -------- 08:00 0.01 0.03 0.22 0.02 0.53 0.00 0.03 0.01
 -------- 09:00 0.01 0.04 0.22 0.02 0.54 0.00 0.06 0.00
 29.11.12 10:00 0.01 0.02 0.23 0.02 0.54 0.00 0.03 0.00
 -------- 11:00 0.01 0.03 0.25 0.01 0.54 0.00 0.07 0.00
 -------- 12:00 0.01 0.03 0.25 0.02 0.52 0.00 0.03 0.01
 -------- 13:00 0.01 0.06 0.25 0.01 0.53 0.00 0.06 0.01
 -------- 14:00 0.01 0.00 0.24 0.02 0.52 0.00 0.06 0.01
 29.11.12 15:00 0.00 0.04 0.22 0.01 0.53 0.00 0.05 0.00
 -------- 16:00 0.00 0.06 0.22 0.01 0.53 0.00 0.05 0.00
 -------- 17:00 0.01 0.02 0.23 0.02 0.53 0.00 0.05 0.01
 -------- 18:00 0.01 0.03 0.22 0.02 0.53 0.00 0.04 0.00
 -------- 19:00 0.01 0.03 0.21 0.02 0.53 0.00 0.02 0.00
 29.11.12 20:00 0.01 0.05 0.21 0.01 0.53 0.00 0.04 0.01
 -------- 21:00 0.00 0.03 0.18 0.01 0.51 0.00 0.07 0.01
 -------- 22:00 0.00 0.06 0.20 0.01 0.53 0.00 0.05 0.00
 -------- 23:00 0.00 0.07 0.20 0.01 0.53 0.00 0.02 0.01
 -------- 00:00 0.00 0.01 0.19 0.01 0.52 0.00 0.03 0.01
 30.11.12 01:00 0.00 0.03 0.16 0.01 0.53 0.00 0.02 0.00
 -------- 02:00 0.00 0.03 0.16 0.01 0.52 0.00 0.03 0.01
 -------- 03:00 0.01 ---- 0.15 0.01 0.52 0.00 0.05 0.00
 -------- 04:00 0.00 0.03 0.14 0.01 0.54 0.00 0.03 0.01
 -------- 05:00 0.00 ---- 0.14 0.02 0.54 0.00 0.04 0.01
 30.11.12 06:00 0.00 0.01 0.16 0.02 0.54 0.00 0.07 0.00
 -------- 07:00 0.01 0.05 0.16 0.00 0.54 0.00 0.03 0.01
 -------- 08:00 0.00 0.03 0.16 0.01 0.54 0.00 0.06 0.01
 -------- 09:00 0.01 0.07 0.17 0.02 0.54 0.00 0.05 0.00
 -------- 10:00 0.00 0.04 0.18 0.01 0.54 0.00 0.05 0.01
 30.11.12 11:00 0.01 0.06 0.18 0.02 0.53 0.00 0.06 0.01
 -------- 12:00 0.01 0.07 0.18 0.02 0.53 0.00 0.05 0.01
 -------- 13:00 0.01 0.04 0.17 0.01 0.52 0.00 0.03 0.01
 -------- 14:00 0.02 0.05 0.17 0.01 0.53 0.00 0.03 0.01
 -------- 15:00 0.01 0.04 0.17 0.01 0.55 0.00 0.04 0.00
 30.11.12 16:00 0.03 0.04 0.17 0.02 0.54 0.00 0.03 0.00
 -------- 17:00 0.04 0.05 0.17 0.02 0.53 0.00 0.02 0.00
 -------- 18:00 0.03 0.04 0.17 0.01 0.54 0.00 0.03 0.01
 -------- 19:00 0.01 0.01 0.16 0.01 0.55 0.00 0.01 0.00
 -------- 20:00 0.01 0.05 0.21 0.01 0.55 0.00 0.05 0.01
 30.11.12 21:00 0.00 0.00 0.18 0.01 0.55 0.00 0.04 0.01
 -------- 22:00 0.00 0.02 0.17 0.02 0.55 0.00 0.05 0.00
 -------- 23:00 0.00 0.04 0.20 0.02 0.54 0.00 0.06 0.00
