 Date Time SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РЎС‚РёСЂРѕР» РњРµС‚Р°РєСЃРёР»РѕР»
 17.03.13 00:00 0.00 0.07 0.01 0.17 ---- 0.51 0.00 ---- ----
 -------- 01:00 0.00 0.08 ---- 0.18 ---- 0.51 0.00 0.03 ----
 -------- 02:00 0.00 0.07 0.06 0.14 ---- 0.51 0.00 0.03 ----
 -------- 03:00 0.00 0.04 0.05 0.08 ---- 0.51 0.00 0.17 ----
 -------- 04:00 0.00 0.03 ---- 0.07 ---- 0.50 0.00 0.11 ----
 17.03.13 05:00 0.01 0.03 ---- 0.12 ---- 0.51 0.00 ---- ----
 -------- 08:00 0.01 0.05 0.03 0.13 ---- 0.49 0.00 0.08 ----
 -------- 09:00 0.01 0.05 ---- 0.14 ---- 0.49 0.00 0.06 ----
 -------- 10:00 0.01 0.05 0.00 0.15 ---- 0.49 0.00 0.04 ----
 -------- 11:00 0.01 0.05 ---- 0.13 ---- 0.49 0.00 0.02 ----
 17.03.13 12:00 0.01 0.03 ---- 0.13 ---- 0.49 0.00 0.02 0.02
 -------- 13:00 0.01 0.02 ---- 0.12 ---- 0.49 0.00 0.12 ----
 -------- 14:00 0.01 0.06 ---- 0.14 ---- 0.50 0.00 0.02 ----
 -------- 15:00 0.01 0.04 ---- 0.16 ---- 0.49 0.00 0.01 ----
 -------- 16:00 0.00 0.04 ---- 0.19 ---- 0.50 0.00 0.06 ----
 17.03.13 17:00 0.01 0.06 ---- 0.21 ---- 0.48 0.00 0.04 ----
 -------- 18:00 0.01 0.08 ---- 0.24 ---- 0.49 0.00 0.08 ----
 -------- 19:00 0.01 0.10 0.02 0.30 ---- 0.50 0.00 0.15 ----
 -------- 20:00 0.01 0.09 ---- 0.24 0.03 0.50 0.00 0.03 0.01
 -------- 21:00 0.01 0.10 ---- 0.25 ---- 0.50 0.00 0.03 0.00
 17.03.13 22:00 0.01 0.10 ---- 0.26 0.00 0.51 0.00 0.06 0.01
 -------- 23:00 0.01 0.09 ---- 0.26 0.04 0.50 0.00 0.05 0.01
 -------- 00:00 0.01 0.09 ---- 0.30 0.04 0.50 0.00 0.02 ----
 -------- 01:00 0.01 0.11 ---- 0.27 0.03 0.51 0.00 0.03 0.02
 -------- 02:00 0.01 0.14 ---- 0.35 0.04 0.51 0.00 0.06 0.02
 18.03.13 03:00 0.01 0.14 0.01 0.38 0.03 0.51 0.00 0.04 0.01
 -------- 04:00 0.01 0.17 0.05 0.42 0.05 0.52 0.00 0.05 0.02
 -------- 05:00 0.02 0.17 0.01 0.43 0.02 0.52 0.00 0.03 0.02
 -------- 06:00 0.02 0.17 0.03 0.42 0.01 0.50 0.00 0.07 0.01
 -------- 07:00 0.01 0.17 0.05 0.43 0.01 0.53 0.00 0.08 0.02
 18.03.13 08:00 0.01 0.17 0.04 0.42 0.03 0.52 0.00 0.10 0.01
 -------- 09:00 0.01 0.14 0.05 0.43 ---- 0.53 0.00 0.04 0.01
 -------- 10:00 0.01 0.12 0.03 0.34 0.01 0.52 0.00 0.08 0.01
 -------- 11:00 0.01 0.11 0.01 0.30 0.01 0.51 0.00 0.06 0.01
 -------- 12:00 0.01 0.13 0.06 0.32 0.01 0.51 0.00 0.08 0.01
 18.03.13 13:00 0.01 0.11 0.02 0.26 0.02 0.49 0.00 0.05 0.01
 -------- 14:00 0.01 0.08 0.02 0.20 0.02 0.50 0.00 0.05 0.02
 -------- 15:00 0.01 0.08 0.03 0.22 0.02 0.49 0.00 0.03 0.01
 -------- 16:00 0.01 0.12 0.02 0.29 0.03 0.51 0.00 0.06 0.02
 -------- 17:00 0.01 0.10 0.07 0.27 0.02 0.52 0.00 0.05 0.00
 18.03.13 18:00 0.01 0.11 0.01 0.28 ---- 0.51 0.00 0.03 ----
 -------- 19:00 0.01 0.12 0.04 0.28 ---- 0.51 0.00 0.04 ----
 -------- 20:00 0.00 0.11 0.02 0.24 ---- 0.52 0.00 0.05 ----
 -------- 21:00 0.01 0.09 ---- 0.18 ---- 0.51 0.00 0.07 ----
 -------- 22:00 0.01 0.10 ---- 0.20 ---- 0.49 0.00 0.06 ----
 18.03.13 23:00 0.01 0.11 0.01 0.24 0.02 0.51 0.00 0.05 0.02
