 Date Time SO2 Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 07.12.12 23:00 0.02 0.16 0.19 0.01 0.51 0.00 0.06 0.00
 -------- 00:00 0.01 0.16 0.18 0.01 0.51 0.00 0.04 0.01
 -------- 01:00 0.01 0.16 0.17 0.01 0.52 0.00 0.04 0.01
 -------- 02:00 0.01 0.12 0.19 0.01 0.51 0.00 0.04 0.01
 -------- 03:00 0.01 0.17 0.20 0.01 0.52 0.00 0.04 0.01
 08.12.12 04:00 0.01 0.16 0.19 0.02 0.53 0.00 0.05 0.01
 -------- 05:00 0.01 0.15 0.19 0.01 0.53 0.00 0.08 0.00
 -------- 06:00 0.01 0.17 0.19 0.00 0.51 0.00 0.04 0.01
 -------- 07:00 0.01 0.13 0.19 0.03 0.52 0.00 0.04 0.01
 -------- 08:00 0.04 0.15 0.19 0.01 0.48 0.00 0.04 0.01
 08.12.12 09:00 0.03 0.15 0.20 0.02 0.50 0.00 0.05 0.00
 -------- 10:00 0.03 0.16 0.20 0.01 0.51 0.00 0.04 0.01
 -------- 11:00 0.07 0.18 0.21 0.01 0.48 0.00 0.03 0.01
 -------- 12:00 0.08 0.15 0.21 0.02 0.48 0.00 0.06 0.01
 -------- 13:00 0.07 0.20 0.21 0.02 0.48 0.00 0.04 0.01
 08.12.12 14:00 0.01 0.20 0.22 0.01 0.53 0.00 0.03 0.01
 -------- 15:00 0.02 0.20 0.22 0.01 0.54 0.00 0.04 0.01
 -------- 16:00 0.01 0.22 0.21 0.01 0.54 0.00 0.02 0.01
 -------- 17:00 0.01 0.23 0.22 0.01 0.53 0.00 0.05 0.01
 -------- 18:00 0.01 0.19 0.20 0.02 0.53 0.00 0.04 0.01
 08.12.12 19:00 0.01 0.19 0.19 0.02 0.53 0.00 0.03 0.00
 -------- 20:00 0.01 0.19 0.19 0.02 0.54 0.00 0.05 0.01
 -------- 21:00 0.02 0.22 0.19 0.01 0.54 0.00 0.06 0.01
 -------- 22:00 0.02 0.19 0.20 0.01 0.53 0.00 0.02 0.01
 -------- 23:00 0.01 0.16 0.20 0.01 0.53 0.00 0.06 0.01
 09.12.12 00:00 0.01 0.17 0.18 0.02 0.52 0.00 0.02 0.00
 -------- 01:00 0.01 0.21 0.19 0.01 0.54 0.00 0.04 0.01
 -------- 02:00 0.01 0.19 0.19 0.01 0.54 0.00 0.04 0.00
 -------- 03:00 0.01 0.18 0.17 0.01 0.54 0.00 0.04 0.01
 -------- 04:00 0.01 0.18 0.17 0.01 0.53 0.00 0.03 0.01
 09.12.12 05:00 0.01 0.18 0.17 0.01 0.54 0.00 0.03 0.00
 -------- 06:00 0.01 0.14 0.17 0.01 0.53 0.00 0.03 0.01
 -------- 07:00 0.01 0.14 0.17 0.02 0.52 0.00 0.05 0.01
 -------- 08:00 0.01 0.17 0.15 0.01 0.53 0.00 0.03 0.01
 -------- 09:00 0.01 0.16 0.14 0.02 0.53 0.00 0.06 0.01
 09.12.12 10:00 0.01 0.15 0.15 0.01 0.54 0.00 0.06 0.01
 -------- 11:00 0.01 0.16 0.16 0.01 0.52 0.00 0.04 0.00
 -------- 12:00 0.01 0.16 0.22 0.01 0.51 0.00 0.04 0.01
 -------- 13:00 0.01 0.16 0.17 0.01 0.50 0.00 0.06 0.00
 -------- 14:00 0.00 0.15 0.15 0.02 0.51 0.00 0.05 0.01
 09.12.12 15:00 0.01 0.11 0.16 0.00 0.50 0.00 0.04 0.00
 -------- 16:00 0.01 0.14 0.21 0.00 0.51 0.00 0.03 0.00
 -------- 17:00 0.01 0.18 0.26 0.01 0.51 0.00 0.06 0.01
 -------- 18:00 0.01 0.21 0.29 0.01 0.53 0.00 0.06 0.01
 -------- 19:00 0.01 0.18 0.26 0.01 0.53 0.00 0.06 0.00
 09.12.12 20:00 0.01 0.13 0.29 0.00 0.53 0.00 0.04 0.00
 -------- 21:00 0.01 0.19 0.32 0.01 0.53 0.00 0.05 0.00
 -------- 22:00 0.01 0.19 0.30 0.02 0.52 0.00 0.03 0.01
