 Date Time SO2 Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 22.12.12 00:00 0.01 0.05 0.35 ---- 0.52 0.00 0.05 0.01
 -------- 01:00 0.01 0.05 0.35 0.03 0.52 0.00 0.08 0.01
 -------- 02:00 0.01 0.01 0.34 0.01 0.52 0.00 0.10 0.01
 -------- 03:00 0.01 0.03 0.35 0.02 0.54 0.00 0.03 0.01
 -------- 04:00 0.01 0.02 0.38 0.02 0.52 0.00 0.05 0.00
 22.12.12 05:00 0.01 0.05 0.37 0.02 0.52 0.00 0.01 0.01
 -------- 06:00 0.01 0.06 0.38 0.02 0.51 0.00 0.03 0.01
 -------- 07:00 0.02 0.10 0.41 0.03 0.52 0.00 0.04 0.02
 -------- 08:00 0.01 0.04 0.39 0.02 0.51 0.00 0.06 0.01
 -------- 09:00 0.01 0.08 0.44 0.02 0.51 0.00 0.04 0.01
 22.12.12 10:00 0.01 0.04 0.41 0.02 0.50 0.00 0.03 0.01
 -------- 11:00 0.01 ---- 0.38 0.02 0.51 0.00 0.06 0.02
 -------- 12:00 0.02 ---- 0.36 0.00 0.49 0.00 0.05 0.01
 -------- 13:00 0.05 0.01 0.37 ---- 0.48 0.00 0.07 0.00
 -------- 14:00 0.04 ---- 0.40 0.02 0.48 0.00 0.08 0.01
 22.12.12 15:00 0.01 ---- 0.37 ---- 0.50 0.00 0.02 0.01
 -------- 16:00 0.01 0.08 0.36 0.04 0.51 0.00 0.02 0.01
 -------- 17:00 0.01 0.09 0.40 0.01 0.50 0.00 ---- 0.01
 -------- 18:00 0.01 0.14 0.41 0.00 0.50 0.00 0.04 0.01
 -------- 19:00 0.01 0.07 0.37 0.01 0.51 0.00 0.07 0.00
 22.12.12 20:00 0.01 0.06 0.39 0.01 0.53 0.00 0.06 0.00
 -------- 21:00 0.01 0.01 0.35 0.03 0.50 0.00 0.04 0.01
 -------- 22:00 0.01 0.04 0.34 0.01 0.50 0.00 0.02 0.01
 -------- 23:00 0.01 0.04 0.34 0.01 0.53 0.00 0.09 0.01
 -------- 00:00 0.01 0.06 0.37 ---- 0.52 0.00 0.09 0.01
 23.12.12 01:00 0.02 0.05 0.34 0.01 0.51 0.00 0.05 0.00
 -------- 02:00 0.02 0.09 0.37 ---- 0.51 0.00 0.06 0.01
 -------- 03:00 0.02 0.12 0.35 0.01 0.49 0.00 0.05 0.02
 -------- 04:00 0.02 0.10 0.36 0.02 0.49 0.00 0.04 0.01
 -------- 05:00 0.02 0.08 0.36 0.03 0.48 0.00 0.07 0.01
 23.12.12 06:00 0.01 0.12 0.36 0.01 0.50 0.00 0.04 0.01
 -------- 07:00 0.02 0.11 0.38 0.01 0.50 0.00 0.04 0.01
 -------- 08:00 0.01 0.09 0.39 0.02 0.48 0.00 0.05 0.01
 -------- 09:00 0.01 0.09 0.42 0.02 0.49 0.00 0.08 0.01
 -------- 10:00 0.01 0.07 0.41 0.01 0.48 0.00 0.03 0.01
 23.12.12 11:00 0.01 0.01 0.37 ---- 0.49 0.00 0.07 0.02
 -------- 12:00 0.01 0.03 0.35 0.03 0.48 0.00 0.08 0.02
 -------- 13:00 0.01 ---- 0.38 0.01 0.50 0.00 0.11 0.01
 -------- 14:00 0.01 0.12 0.45 0.02 0.49 0.00 0.08 0.01
 -------- 15:00 0.01 0.07 0.48 0.03 0.50 0.00 0.09 0.03
 23.12.12 16:00 0.01 0.06 0.48 0.02 0.49 0.00 0.14 0.00
 -------- 17:00 0.01 0.15 0.51 0.03 0.51 0.00 0.05 0.01
 -------- 18:00 0.01 0.22 0.52 0.01 0.49 0.00 0.07 0.02
 -------- 19:00 0.01 0.18 0.50 0.03 0.50 0.00 0.06 0.01
 -------- 20:00 0.01 0.15 0.47 0.02 0.52 0.00 0.05 0.01
 23.12.12 21:00 0.02 0.08 0.42 0.03 0.50 0.00 0.06 0.01
 -------- 22:00 0.01 0.09 0.45 0.00 0.53 0.00 0.07 0.00
 -------- 23:00 0.01 0.19 0.46 0.01 0.51 0.00 0.04 0.01
