 Date Time SO2 Формальдегид NO2 Параксилол Фенол Нафталин Стирол
 19.11.12 00:00 0.00 0.10 0.05 0.01 0.50 0.00 ----
 -------- 01:00 0.00 0.10 0.04 0.01 0.50 0.00 0.03
 -------- 02:00 0.00 0.10 0.02 0.01 0.50 0.00 ----
 -------- 03:00 0.00 0.10 0.01 0.01 0.50 0.00 0.03
 -------- 04:00 0.00 0.09 0.01 0.01 0.50 0.00 0.03
 19.11.12 05:00 0.00 0.10 0.01 0.01 0.50 0.00 0.05
 -------- 06:00 0.00 0.08 0.04 0.01 0.50 0.00 0.03
 -------- 07:00 0.00 0.09 0.08 0.01 0.50 0.00 0.03
 -------- 08:00 0.00 0.11 0.11 0.01 0.50 0.00 0.03
 -------- 09:00 0.00 0.10 0.12 0.01 0.50 0.00 0.04
 19.11.12 10:00 0.00 0.13 0.17 0.01 0.50 0.00 0.03
 -------- 11:00 0.00 0.12 0.15 0.01 0.50 0.00 0.03
 -------- 12:00 0.00 0.11 0.13 0.01 0.50 0.00 ----
 -------- 13:00 0.00 0.11 0.17 0.02 0.50 0.00 0.04
 -------- 14:00 0.00 0.11 0.17 0.01 0.50 0.00 ----
 19.11.12 15:00 0.00 0.14 0.18 0.01 0.50 0.00 0.03
 -------- 16:00 0.00 0.14 0.18 0.01 0.50 0.00 ----
 -------- 17:00 0.00 0.14 0.19 0.02 0.50 0.00 0.03
 -------- 18:00 0.00 0.14 0.19 0.01 0.50 0.00 0.05
 -------- 19:00 0.00 0.13 0.18 0.01 0.50 0.00 0.03
 19.11.12 20:00 0.00 0.16 0.18 0.01 0.50 0.00 0.03
 -------- 21:00 0.00 0.12 0.12 0.02 0.50 0.00 0.03
 -------- 22:00 0.00 0.14 0.10 0.02 0.50 0.00 0.03
 -------- 23:00 0.00 0.14 0.10 0.01 0.50 0.00 0.05
 -------- 00:00 0.00 0.10 0.10 0.01 0.50 0.00 0.03
 20.11.12 01:00 0.00 0.11 0.10 0.00 0.50 0.00 0.03
 -------- 02:00 0.00 0.11 0.09 0.01 0.50 0.00 0.03
 -------- 03:00 0.00 0.10 0.09 0.01 0.50 0.00 0.03
 -------- 04:00 0.00 0.13 0.07 0.01 0.53 0.00 0.04
 -------- 05:00 0.00 0.10 0.08 0.02 0.53 0.00 0.03
 20.11.12 06:00 0.00 0.12 0.08 0.02 0.50 0.00 0.03
 -------- 07:00 0.01 0.12 0.09 0.02 0.57 0.00 0.03
 -------- 08:00 0.00 0.10 0.11 0.02 0.60 0.00 0.03
 -------- 09:00 0.00 0.15 0.11 0.01 0.50 0.00 0.04
 -------- 10:00 0.00 0.14 0.10 0.01 0.53 0.00 ----
 20.11.12 11:00 0.01 0.17 0.12 0.01 0.57 0.00 0.03
 -------- 12:00 0.01 0.18 0.13 0.01 0.50 0.00 0.03
 -------- 13:00 0.01 0.16 0.15 0.01 0.50 0.00 0.03
 -------- 14:00 0.01 0.19 0.18 0.02 0.57 0.00 ----
 -------- 15:00 0.01 0.14 0.21 0.01 0.50 0.00 ----
 20.11.12 16:00 0.00 0.17 0.21 0.01 0.50 0.00 0.03
 -------- 17:00 0.00 0.18 0.23 0.01 0.50 0.00 0.03
 -------- 18:00 0.00 0.17 0.21 0.01 0.53 0.00 0.03
 -------- 19:00 0.00 0.19 0.21 ---- 0.50 0.00 0.03
 -------- 20:00 0.00 0.19 0.21 0.01 0.50 0.00 0.03
 20.11.12 21:00 0.00 0.15 0.19 0.02 0.50 0.00 ----
 -------- 22:00 0.00 0.16 0.18 0.01 0.50 0.00 0.03
 -------- 23:00 0.00 0.15 0.15 0.01 0.50 0.00 0.03
