 Date Time SO2 Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 22.12.12 12:00 0.02 ---- 0.36 0.00 0.49 0.00 0.05 0.01
 -------- 13:00 0.05 0.01 0.37 ---- 0.48 0.00 0.07 0.00
 -------- 14:00 0.04 ---- 0.40 0.02 0.48 0.00 0.08 0.01
 -------- 15:00 0.01 ---- 0.37 ---- 0.50 0.00 0.02 0.01
 -------- 16:00 0.01 0.08 0.36 0.04 0.51 0.00 0.02 0.01
 22.12.12 17:00 0.01 0.09 0.40 0.01 0.50 0.00 ---- 0.01
 -------- 18:00 0.01 0.14 0.41 0.00 0.50 0.00 0.04 0.01
 -------- 19:00 0.01 0.07 0.37 0.01 0.51 0.00 0.07 0.00
 -------- 20:00 0.01 0.06 0.39 0.01 0.53 0.00 0.06 0.00
 -------- 21:00 0.01 0.01 0.35 0.03 0.50 0.00 0.04 0.01
 22.12.12 22:00 0.01 0.04 0.34 0.01 0.50 0.00 0.02 0.01
 -------- 23:00 0.01 0.04 0.34 0.01 0.53 0.00 0.09 0.01
 -------- 00:00 0.01 0.06 0.37 ---- 0.52 0.00 0.09 0.01
 -------- 01:00 0.02 0.05 0.34 0.01 0.51 0.00 0.05 0.00
 -------- 02:00 0.02 0.09 0.37 ---- 0.51 0.00 0.06 0.01
 23.12.12 03:00 0.02 0.12 0.35 0.01 0.49 0.00 0.05 0.02
 -------- 04:00 0.02 0.10 0.36 0.02 0.49 0.00 0.04 0.01
 -------- 05:00 0.02 0.08 0.36 0.03 0.48 0.00 0.07 0.01
 -------- 06:00 0.01 0.12 0.36 0.01 0.50 0.00 0.04 0.01
 -------- 07:00 0.02 0.11 0.38 0.01 0.50 0.00 0.04 0.01
 23.12.12 08:00 0.01 0.09 0.39 0.02 0.48 0.00 0.05 0.01
 -------- 09:00 0.01 0.09 0.42 0.02 0.49 0.00 0.08 0.01
 -------- 10:00 0.01 0.07 0.41 0.01 0.48 0.00 0.03 0.01
 -------- 11:00 0.01 0.01 0.37 ---- 0.49 0.00 0.07 0.02
 -------- 12:00 0.01 0.03 0.35 0.03 0.48 0.00 0.08 0.02
 23.12.12 13:00 0.01 ---- 0.38 0.01 0.50 0.00 0.11 0.01
 -------- 14:00 0.01 0.12 0.45 0.02 0.49 0.00 0.08 0.01
 -------- 15:00 0.01 0.07 0.48 0.03 0.50 0.00 0.09 0.03
 -------- 16:00 0.01 0.06 0.48 0.02 0.49 0.00 0.14 0.00
 -------- 17:00 0.01 0.15 0.51 0.03 0.51 0.00 0.05 0.01
 23.12.12 18:00 0.01 0.22 0.52 0.01 0.49 0.00 0.07 0.02
 -------- 19:00 0.01 0.18 0.50 0.03 0.50 0.00 0.06 0.01
 -------- 20:00 0.01 0.15 0.47 0.02 0.52 0.00 0.05 0.01
 -------- 21:00 0.02 0.08 0.42 0.03 0.50 0.00 0.06 0.01
 -------- 22:00 0.01 0.09 0.45 0.00 0.53 0.00 0.07 0.00
 23.12.12 23:00 0.01 0.19 0.46 0.01 0.51 0.00 0.04 0.01
 -------- 00:00 0.01 0.21 0.54 0.01 0.52 0.00 0.05 0.01
 -------- 01:00 0.01 0.09 0.53 0.03 0.50 0.00 0.04 0.01
 -------- 02:00 0.02 0.28 0.57 0.01 0.50 0.00 0.04 0.01
 -------- 03:00 0.16 0.19 0.54 0.03 0.44 0.00 0.04 0.01
 24.12.12 04:00 0.11 0.21 0.55 0.02 0.45 0.00 0.04 0.01
 -------- 05:00 0.16 0.24 0.49 0.02 0.43 0.00 0.06 0.01
 -------- 06:00 0.12 0.22 0.53 0.03 0.45 0.00 0.10 0.01
 -------- 07:00 0.04 0.19 0.55 0.02 0.47 0.00 0.07 0.01
 -------- 08:00 0.02 0.08 0.59 ---- 0.50 0.00 ---- 0.02
 24.12.12 09:00 0.02 0.19 0.53 0.01 0.49 0.00 0.04 0.01
 -------- 10:00 0.02 0.21 0.57 0.01 0.49 0.00 0.03 0.01
 -------- 11:00 0.02 0.19 0.60 0.02 0.50 0.00 0.08 0.02
