 Date Time SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РЎС‚РёСЂРѕР» РњРµС‚Р°РєСЃРёР»РѕР»
 05.03.13 00:00 0.03 0.15 0.04 0.40 0.02 0.49 0.00 ---- 0.02
 -------- 01:00 0.04 0.16 0.05 0.39 0.02 0.50 0.00 0.05 0.00
 -------- 02:00 0.03 0.16 0.08 0.35 0.03 0.51 0.00 0.03 0.01
 -------- 03:00 0.02 0.13 0.03 0.25 0.02 0.49 0.00 0.11 0.01
 -------- 04:00 0.01 0.15 0.08 0.37 0.02 0.50 0.00 0.04 0.01
 05.03.13 05:00 0.01 0.18 0.12 0.47 0.02 0.52 0.00 0.06 0.01
 -------- 06:00 0.01 0.18 0.14 0.50 0.02 0.52 0.00 0.09 0.01
 -------- 07:00 0.01 0.20 0.15 0.52 0.06 0.50 0.00 0.02 0.01
 -------- 08:00 0.01 0.18 0.13 0.54 0.02 0.52 0.00 0.04 0.01
 -------- 09:00 0.01 0.17 0.20 0.54 0.07 0.51 0.00 0.08 ----
 05.03.13 10:00 0.01 0.19 0.22 0.53 0.05 0.53 0.00 0.04 0.01
 -------- 11:00 0.02 0.16 0.21 0.47 0.02 0.51 0.00 0.04 0.01
 -------- 12:00 0.01 0.15 0.20 0.50 0.02 0.51 0.00 0.04 0.00
 -------- 13:00 0.01 0.16 0.17 0.53 0.01 0.52 0.00 0.02 0.01
 -------- 14:00 0.01 0.12 0.12 0.44 0.01 0.50 0.00 0.02 0.01
 05.03.13 15:00 0.01 0.12 0.11 0.35 0.02 0.51 0.00 0.04 0.00
 -------- 16:00 0.01 0.14 0.03 0.38 0.02 0.50 0.00 0.05 0.01
 -------- 17:00 0.01 0.12 0.06 0.34 0.01 0.50 0.00 0.05 0.01
 -------- 18:00 0.01 0.13 0.10 0.42 0.03 0.51 0.00 0.07 0.01
 -------- 19:00 0.01 0.16 0.13 0.42 0.02 0.51 0.00 0.03 0.01
 05.03.13 20:00 0.01 0.16 0.15 0.47 0.03 0.52 0.00 0.07 0.01
 -------- 21:00 0.01 0.19 0.20 0.56 0.03 0.53 0.00 0.11 0.01
 -------- 22:00 0.01 0.20 0.19 0.54 0.02 0.53 0.00 0.05 0.00
 -------- 23:00 0.01 0.20 0.17 0.49 0.01 0.54 0.00 0.07 0.01
 -------- 00:00 0.01 0.23 0.24 0.58 0.03 0.55 0.00 0.03 0.02
 06.03.13 01:00 0.01 0.22 0.19 0.56 0.02 0.56 0.00 0.04 0.01
 -------- 02:00 0.01 0.21 0.18 0.56 0.02 0.54 0.00 0.02 0.01
 -------- 03:00 0.01 0.20 0.15 0.58 0.04 0.53 0.00 0.06 0.02
 -------- 04:00 0.01 0.20 0.14 0.57 0.01 0.52 0.00 0.02 0.01
 -------- 05:00 0.01 0.19 0.19 0.55 0.03 0.54 0.00 0.06 0.01
 06.03.13 06:00 0.01 0.21 0.13 0.53 0.02 0.56 0.00 0.03 0.02
 -------- 07:00 0.01 0.19 0.17 0.57 0.02 0.52 0.00 0.03 0.00
 -------- 08:00 0.01 0.18 0.14 0.51 0.02 0.51 0.00 0.03 0.02
 -------- 09:00 0.01 0.18 0.12 0.48 ---- 0.53 0.00 0.03 0.02
 -------- 10:00 0.01 0.17 0.17 0.46 ---- 0.53 0.00 0.05 ----
 06.03.13 11:00 0.01 0.17 0.05 0.43 ---- 0.52 0.00 0.02 ----
 -------- 12:00 0.01 0.15 0.12 0.41 ---- 0.52 0.00 0.04 ----
 -------- 13:00 0.02 0.14 0.07 0.39 0.01 0.51 0.00 0.06 0.00
 -------- 14:00 0.01 0.11 0.02 0.33 0.01 0.50 0.00 0.03 0.01
 -------- 15:00 0.01 0.11 0.04 0.32 0.02 0.50 0.00 0.06 0.00
 06.03.13 16:00 0.01 0.04 ---- 0.21 0.01 0.49 0.00 0.07 0.01
 -------- 17:00 0.01 0.04 ---- 0.21 0.03 0.49 0.00 0.06 0.02
 -------- 18:00 0.01 0.06 0.02 0.24 0.03 0.50 0.00 0.05 0.01
 -------- 19:00 0.01 0.06 0.07 0.23 0.01 0.49 0.00 0.07 0.03
 -------- 20:00 0.01 0.06 0.02 0.25 ---- 0.49 0.00 0.02 0.03
 06.03.13 21:00 0.02 0.05 0.05 0.23 0.01 0.50 0.00 0.04 0.01
 -------- 22:00 0.02 0.06 0.03 0.26 0.04 0.49 0.00 0.03 0.02
 -------- 23:00 0.01 0.04 0.00 0.19 0.04 0.49 0.00 0.05 0.01
