 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 24.11.12 00:00 0.01 0.17 0.07 0.19 0.02 0.53 0.00 0.04 0.00
 -------- 01:00 0.01 0.16 0.05 0.18 0.01 0.53 0.00 0.05 0.01
 -------- 02:00 0.01 0.17 0.04 0.15 0.01 0.55 0.00 0.04 0.00
 -------- 03:00 0.01 0.16 0.03 0.14 0.01 0.53 0.00 0.03 0.01
 -------- 04:00 0.01 0.17 0.03 0.16 0.01 0.54 0.00 0.04 0.01
 24.11.12 05:00 0.00 0.17 0.01 0.15 0.02 0.53 0.00 0.05 0.01
 -------- 06:00 0.01 0.18 0.03 0.16 0.01 0.54 0.00 0.03 0.00
 -------- 07:00 0.01 0.18 0.02 0.16 0.01 0.54 0.00 0.04 0.01
 -------- 08:00 0.01 0.19 0.05 0.19 0.02 0.54 0.00 0.04 0.00
 -------- 09:00 0.00 0.19 0.04 0.21 0.01 0.53 0.00 0.04 0.01
 24.11.12 10:00 0.01 0.20 0.08 0.21 0.01 0.55 0.00 0.06 0.01
 -------- 11:00 0.00 0.20 0.09 0.22 0.03 0.54 0.00 0.03 0.01
 -------- 12:00 0.00 0.20 0.04 0.19 0.02 0.55 0.00 0.04 0.00
 -------- 13:00 0.00 0.19 ---- 0.20 0.01 0.54 0.00 0.04 0.00
 -------- 14:00 0.00 0.19 0.02 0.23 0.00 0.54 0.00 0.01 0.00
 24.11.12 15:00 0.00 0.20 0.03 0.22 0.01 0.55 0.00 0.06 0.00
 -------- 16:00 0.00 0.20 0.06 0.25 0.01 0.54 0.00 0.04 0.00
 -------- 17:00 0.00 0.21 0.06 0.26 0.02 0.55 0.00 0.02 0.01
 -------- 18:00 0.00 0.21 0.05 0.23 0.01 0.55 0.00 0.05 0.00
 -------- 19:00 0.00 0.21 0.06 0.23 0.02 0.55 0.00 0.03 0.00
 24.11.12 20:00 0.00 0.19 0.04 0.24 0.02 0.54 0.00 0.04 0.01
 -------- 21:00 0.00 0.19 0.05 0.25 0.01 0.54 0.00 0.05 0.01
 -------- 22:00 0.00 0.20 0.08 0.25 0.01 0.55 0.00 0.02 0.01
 -------- 23:00 0.03 0.19 0.05 0.26 0.01 0.53 0.00 0.04 0.00
 -------- 00:00 0.01 0.18 0.06 0.24 0.01 0.54 0.00 0.04 0.01
 25.11.12 01:00 0.00 0.19 0.03 0.24 0.01 0.54 0.00 0.04 0.01
 -------- 02:00 0.00 0.19 0.00 0.23 0.02 0.54 0.00 0.02 0.00
 -------- 03:00 0.00 0.19 0.01 0.22 0.01 0.53 0.00 0.03 0.00
 -------- 04:00 0.00 0.20 ---- 0.21 0.01 0.54 0.00 0.06 0.01
 -------- 05:00 0.00 0.19 0.03 0.21 0.02 0.55 0.00 0.05 ----
 25.11.12 06:00 0.00 0.20 0.02 0.21 0.01 0.56 0.00 0.03 0.00
 -------- 07:00 0.00 0.21 0.03 0.22 0.01 0.56 0.00 0.02 0.01
 -------- 08:00 0.00 0.21 0.01 0.22 0.01 0.55 0.00 0.04 0.00
 -------- 09:00 0.00 0.20 0.01 0.23 0.01 0.55 0.00 0.02 0.00
 -------- 10:00 0.00 0.20 0.06 0.23 0.02 0.55 0.00 0.04 0.00
 25.11.12 11:00 0.00 0.21 0.04 0.22 0.01 0.55 0.00 0.06 0.01
 -------- 12:00 0.01 0.19 0.02 0.22 0.01 0.53 0.00 0.03 0.01
 -------- 13:00 0.00 0.19 0.02 0.22 0.02 0.53 0.00 0.03 0.00
 -------- 14:00 0.00 0.20 0.03 0.21 0.01 0.52 0.00 0.05 0.00
 -------- 15:00 0.01 0.20 0.02 0.23 0.01 0.50 0.00 0.04 0.00
 25.11.12 16:00 0.01 0.21 0.06 0.24 0.01 0.47 0.00 0.08 0.01
 -------- 17:00 0.01 0.21 0.04 0.27 0.01 0.52 0.00 0.05 0.01
 -------- 18:00 0.01 0.19 0.06 0.26 0.01 0.54 0.00 0.03 0.01
 -------- 19:00 0.01 0.20 0.05 0.25 0.01 0.54 0.00 0.02 0.00
 -------- 20:00 0.01 0.21 0.04 0.23 0.01 0.55 0.00 0.05 0.01
 25.11.12 21:00 0.00 0.21 0.07 0.24 0.01 0.54 0.00 0.03 0.01
 -------- 22:00 0.00 0.21 0.04 0.25 0.00 0.54 0.00 0.06 0.01
 -------- 23:00 0.00 0.21 0.04 0.23 0.01 0.55 0.00 0.03 0.01
