 Date Time SO2 Формальдегид NO2 Параксилол Фенол Нафталин Стирол
 21.09.12 00:00 0.01 0.21 0.32 0.01 0.50 0.00 0.04
 -------- 01:00 0.01 0.20 0.21 0.02 0.50 0.00 0.05
 -------- 02:00 0.01 0.17 0.16 0.02 0.50 0.00 0.05
 -------- 03:00 0.01 0.22 0.20 0.01 0.50 0.00 0.04
 -------- 04:00 0.01 0.21 0.21 0.01 0.50 0.00 0.04
 21.09.12 05:00 0.01 0.21 0.28 0.02 0.50 0.00 0.04
 -------- 06:00 0.01 0.26 0.39 0.02 0.50 0.00 0.05
 -------- 07:00 0.01 0.33 0.39 0.02 0.50 0.00 0.05
 -------- 08:00 0.01 0.32 0.38 0.01 0.50 0.00 0.03
 -------- 09:00 0.01 0.29 0.35 0.01 0.50 0.00 0.04
 21.09.12 10:00 0.01 0.28 0.36 0.02 0.50 0.00 0.05
 -------- 11:00 0.01 0.50 0.31 0.01 0.50 0.00 0.04
 -------- 12:00 0.01 0.51 0.31 0.02 0.50 0.00 0.04
 -------- 13:00 0.01 0.48 0.25 0.01 0.50 0.00 0.03
 -------- 14:00 0.01 0.28 0.19 0.02 0.50 0.00 0.04
 21.09.12 15:00 0.01 0.18 0.18 0.02 0.50 0.00 0.06
 -------- 16:00 0.01 0.27 0.21 0.01 0.50 0.00 0.04
 -------- 17:00 0.01 0.23 0.26 0.02 0.50 0.00 0.04
 -------- 18:00 0.01 0.25 0.28 0.02 0.50 0.00 0.04
 -------- 19:00 0.01 0.25 0.30 0.01 0.50 0.00 0.05
 21.09.12 20:00 0.00 0.25 0.28 0.01 0.50 0.00 0.05
 -------- 21:00 0.00 0.21 0.25 0.01 0.50 0.00 0.05
 -------- 22:00 0.00 0.26 0.29 0.01 0.50 0.00 0.04
 -------- 23:00 0.01 0.26 0.30 0.01 0.50 0.00 0.03
 -------- 00:00 0.00 0.25 0.24 0.01 0.50 0.00 0.04
 22.09.12 01:00 ---- 0.23 0.23 0.02 0.50 0.00 0.04
 -------- 02:00 ---- 0.20 0.24 0.01 0.50 0.00 0.03
 -------- 03:00 ---- 0.21 0.19 0.02 0.50 0.00 0.04
 -------- 04:00 0.00 0.21 0.19 0.02 0.50 0.00 0.03
 -------- 05:00 0.00 0.20 0.20 0.02 0.50 0.00 0.03
 22.09.12 06:00 0.00 0.22 0.20 0.02 0.50 0.00 0.03
 -------- 07:00 0.00 0.27 0.21 0.01 0.50 0.00 0.03
 -------- 08:00 0.00 0.23 0.21 0.02 0.50 0.00 0.03
 -------- 09:00 ---- 0.22 0.19 0.02 0.50 0.00 0.04
 -------- 10:00 0.00 0.17 0.19 0.02 0.50 0.00 0.04
 22.09.12 11:00 0.01 0.17 0.18 0.02 0.50 0.00 0.05
 -------- 12:00 0.00 0.17 0.17 0.02 0.50 0.00 0.04
 -------- 13:00 0.00 0.20 0.17 0.01 0.50 0.00 0.06
 -------- 14:00 0.00 0.26 0.19 0.01 0.50 0.00 0.03
 -------- 15:00 0.00 0.23 0.20 0.01 0.50 0.00 0.05
 22.09.12 16:00 0.01 0.26 0.28 0.02 0.50 0.00 0.04
 -------- 17:00 0.01 0.26 0.31 0.01 0.50 0.00 0.04
 -------- 18:00 0.01 0.28 0.33 0.01 0.50 0.00 0.04
 -------- 19:00 0.01 0.30 0.35 0.02 0.50 0.00 0.07
 -------- 20:00 0.01 0.28 0.35 0.02 0.50 0.00 0.05
 22.09.12 21:00 0.01 0.31 0.35 0.01 0.50 0.00 0.05
 -------- 22:00 0.04 0.36 0.37 0.01 0.50 0.00 0.04
 -------- 23:00 0.03 0.19 0.31 0.01 0.50 0.00 0.04
