 Date Time SO2 Формальдегид NO2 Параксилол Фенол Нафталин Стирол
 25.10.12 12:00 0.01 0.51 0.25 0.02 0.40 0.00 0.06
 -------- 13:00 0.01 0.50 0.23 0.01 0.47 0.00 0.03
 -------- 14:00 0.01 0.50 0.23 0.01 0.43 0.00 0.05
 -------- 15:00 0.01 0.48 0.22 0.01 0.50 0.00 0.05
 -------- 16:00 0.01 0.46 0.21 0.01 0.50 0.00 0.05
 25.10.12 17:00 0.01 0.46 0.21 0.01 0.50 0.00 0.05
 -------- 18:00 0.01 0.50 0.22 0.01 0.50 0.00 0.03
 -------- 19:00 0.00 0.49 0.18 0.01 0.50 0.00 0.03
 -------- 20:00 0.00 0.50 0.20 0.01 0.50 0.00 0.05
 -------- 21:00 0.00 0.51 0.15 0.01 0.50 0.00 0.03
 25.10.12 22:00 0.00 0.53 0.13 0.01 0.43 0.00 0.05
 -------- 23:00 0.00 0.50 0.10 0.01 0.40 0.00 0.03
 -------- 00:00 0.00 0.53 0.08 0.02 0.40 0.00 0.05
 -------- 01:00 0.00 0.50 0.05 0.01 0.40 0.00 0.03
 -------- 02:00 0.00 0.49 0.05 0.01 0.40 0.00 0.05
 26.10.12 03:00 0.00 0.54 0.04 0.01 0.40 0.00 0.03
 -------- 04:00 0.00 0.50 0.03 0.02 0.47 0.00 0.03
 -------- 05:00 0.01 0.52 0.06 0.01 0.50 0.00 0.03
 -------- 06:00 0.00 0.51 0.06 0.02 0.50 0.00 0.03
 -------- 07:00 0.00 0.49 0.09 0.02 0.50 0.00 0.03
 26.10.12 08:00 0.00 0.53 0.16 0.02 0.50 0.00 0.03
 -------- 09:00 0.00 0.50 0.21 0.01 0.50 0.00 0.04
 -------- 10:00 0.01 0.51 0.24 0.02 0.50 0.00 0.03
 -------- 11:00 0.01 0.49 0.21 0.01 0.50 0.00 0.03
 -------- 12:00 0.01 0.48 0.20 0.01 0.50 0.00 0.03
 26.10.12 13:00 0.01 0.50 0.18 0.02 0.50 0.00 0.03
 -------- 14:00 0.00 0.44 0.15 0.02 0.50 0.00 0.03
 -------- 15:00 0.00 0.54 0.15 0.02 0.50 0.00 0.03
 -------- 16:00 0.00 0.60 0.19 0.01 0.50 0.00 0.03
 -------- 17:00 0.00 0.57 0.15 0.01 0.47 0.00 0.05
 26.10.12 18:00 0.01 0.65 0.21 0.02 0.50 0.00 0.05
 -------- 19:00 0.01 0.63 0.23 0.02 0.50 0.00 0.03
 -------- 20:00 0.01 0.64 0.20 0.02 0.50 0.00 0.03
 -------- 21:00 0.00 0.68 0.18 0.01 0.50 0.00 0.03
 -------- 22:00 0.00 0.62 0.17 0.01 0.50 0.00 0.03
 26.10.12 23:00 0.00 0.65 0.14 0.01 0.50 0.00 0.04
 -------- 00:00 0.01 0.64 0.10 0.02 0.50 0.00 ----
 -------- 01:00 0.00 0.63 0.09 0.01 0.50 0.00 0.03
 -------- 02:00 0.00 0.68 0.09 0.01 0.50 0.00 ----
 -------- 03:00 0.01 0.69 0.08 0.01 0.50 0.00 0.05
 27.10.12 04:00 0.00 0.68 0.02 0.01 0.50 0.00 0.03
 -------- 05:00 0.00 0.64 0.05 0.01 0.47 0.00 ----
 -------- 06:00 0.00 0.65 0.06 0.01 0.50 0.00 ----
 -------- 07:00 0.01 0.69 0.10 0.01 0.47 0.00 ----
 -------- 08:00 0.01 0.69 0.13 0.01 0.50 0.00 0.03
 27.10.12 09:00 0.01 0.69 0.18 0.00 0.50 0.00 ----
 -------- 10:00 0.01 0.70 0.14 0.01 0.50 0.00 0.03
 -------- 11:00 0.01 0.65 0.14 0.01 0.50 0.00 0.03
