 Date Time SO2 Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 29.12.12 12:00 0.00 0.04 0.15 ---- 0.50 0.00 0.04 0.01
 -------- 13:00 0.00 0.03 0.12 0.01 0.50 0.00 0.04 0.00
 -------- 14:00 0.00 0.02 0.11 0.02 0.49 0.00 0.03 0.01
 -------- 15:00 0.00 0.02 0.12 0.01 0.50 0.00 0.01 0.01
 -------- 16:00 0.00 0.03 0.14 0.01 0.50 0.00 0.06 0.00
 29.12.12 17:00 0.00 0.05 0.14 0.01 0.50 0.00 0.04 0.01
 -------- 18:00 0.00 0.02 0.18 0.02 0.51 0.00 0.06 0.00
 -------- 19:00 0.00 0.03 0.14 0.01 0.51 0.00 0.04 0.01
 -------- 20:00 0.00 0.00 0.11 0.00 0.51 0.00 0.03 0.00
 -------- 21:00 0.00 ---- 0.11 0.02 0.50 0.00 0.03 0.01
 29.12.12 22:00 0.00 0.01 0.12 0.01 0.50 0.00 0.04 0.00
 -------- 23:00 0.00 0.03 0.12 0.01 0.51 0.00 0.04 0.01
 -------- 00:00 0.00 0.05 0.10 0.01 0.50 0.00 0.08 0.01
 -------- 01:00 0.00 0.02 0.11 0.01 0.50 0.00 0.02 0.01
 -------- 02:00 0.00 0.01 0.07 0.01 0.50 0.00 0.01 0.01
 30.12.12 03:00 0.00 0.06 0.06 0.01 0.50 0.00 0.02 0.01
 -------- 04:00 0.00 0.02 0.07 0.01 0.50 0.00 0.04 0.01
 -------- 05:00 0.00 0.01 0.08 0.00 0.50 0.00 0.01 0.00
 -------- 06:00 0.00 0.00 0.11 0.01 0.50 0.00 0.04 0.00
 -------- 07:00 0.00 0.07 0.11 0.01 0.50 0.00 0.05 0.00
 30.12.12 08:00 0.00 0.04 0.11 0.01 0.51 0.00 0.04 0.01
 -------- 09:00 0.00 0.02 0.11 0.01 0.51 0.00 0.04 0.00
 -------- 10:00 0.00 0.02 0.14 0.01 0.51 0.00 0.02 0.00
 -------- 11:00 0.00 0.04 0.13 0.01 0.50 0.00 0.04 0.00
 -------- 12:00 0.00 0.02 0.13 0.02 0.50 0.00 0.04 0.01
 30.12.12 13:00 0.00 0.04 0.15 0.01 0.50 0.00 0.04 0.00
 -------- 14:00 0.00 0.06 0.20 0.01 0.52 0.00 0.02 0.01
 -------- 15:00 0.00 0.04 0.21 0.01 0.52 0.00 0.06 0.01
 -------- 16:00 0.00 0.06 0.21 0.01 0.51 0.00 0.03 0.00
 -------- 17:00 0.00 0.04 0.25 0.02 0.52 0.00 0.04 0.01
 30.12.12 18:00 0.00 0.06 0.28 0.01 0.53 0.00 0.03 0.01
 -------- 19:00 0.00 0.07 0.28 0.01 0.53 0.00 0.03 0.01
 -------- 20:00 0.00 0.07 0.28 0.02 0.53 0.00 0.05 0.01
 -------- 21:00 0.00 0.04 0.28 0.01 0.52 0.00 0.04 0.01
 -------- 22:00 0.00 0.06 0.27 0.01 0.53 0.00 0.03 0.01
 30.12.12 23:00 0.00 0.06 0.30 0.01 0.52 0.00 0.06 0.00
 -------- 00:00 0.00 0.02 0.30 0.03 0.53 0.00 0.03 0.01
 -------- 01:00 0.00 ---- 0.31 0.01 0.54 0.00 0.04 0.01
 -------- 02:00 0.00 ---- 0.31 0.01 0.53 0.00 0.03 0.02
 -------- 03:00 0.01 0.00 0.31 0.01 0.52 0.00 0.07 ----
 31.12.12 04:00 0.01 0.05 0.30 0.02 0.52 0.00 0.04 0.01
 -------- 05:00 0.00 0.01 0.25 0.01 0.53 0.00 0.05 0.01
 -------- 06:00 0.00 ---- 0.22 0.01 0.53 0.00 0.09 0.01
 -------- 07:00 0.00 0.04 0.23 0.01 0.54 0.00 0.04 0.00
 -------- 08:00 0.00 0.06 0.22 0.00 0.55 0.00 0.02 0.01
 31.12.12 09:00 0.00 0.03 0.21 0.02 0.53 0.00 0.02 0.01
 -------- 10:00 0.00 0.04 0.23 0.01 0.54 0.00 0.07 0.01
 -------- 11:00 0.01 0.07 0.21 0.01 0.52 0.00 0.04 0.01
