 Date Time SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РЎС‚РёСЂРѕР» РњРµС‚Р°РєСЃРёР»РѕР»
 09.05.13 12:00 0.01 0.16 0.06 0.20 0.01 0.49 0.00 0.02 0.01
 -------- 13:00 0.01 0.13 0.04 0.14 0.01 0.49 0.00 0.04 0.01
 -------- 14:00 0.01 0.12 0.05 0.17 0.02 0.48 0.00 0.05 0.01
 -------- 15:00 0.01 0.02 0.01 0.13 0.02 0.47 0.00 0.05 0.01
 -------- 16:00 0.00 0.01 0.05 0.11 0.01 0.47 0.00 0.05 0.01
 09.05.13 17:00 0.00 ---- 0.02 0.14 0.01 0.46 0.00 0.04 0.01
 -------- 18:00 0.01 0.02 0.06 0.15 0.01 0.47 0.00 0.04 0.01
 -------- 19:00 0.00 0.02 0.02 0.19 0.02 0.47 0.00 0.06 0.01
 -------- 20:00 0.01 0.06 0.02 0.30 0.01 0.49 0.00 0.07 0.01
 -------- 21:00 0.01 0.24 0.16 0.70 0.01 0.53 0.00 0.06 0.01
 09.05.13 22:00 0.01 0.30 0.28 0.80 0.04 0.56 0.01 0.07 0.01
 -------- 23:00 0.01 0.32 0.26 0.72 0.01 0.58 0.01 0.07 0.01
 -------- 00:00 0.01 0.30 0.26 0.71 0.03 0.56 0.01 0.02 0.01
 -------- 01:00 0.01 0.31 0.23 0.71 0.01 0.56 0.01 0.07 ----
 -------- 02:00 0.01 0.30 0.19 0.65 0.02 0.55 0.00 0.02 0.02
 10.05.13 03:00 0.01 0.18 0.05 0.36 0.02 0.51 0.00 0.05 0.01
 -------- 04:00 0.00 0.14 0.03 0.26 0.01 0.49 0.00 0.04 0.01
 -------- 05:00 0.01 0.18 0.03 0.36 0.02 0.50 0.00 0.03 0.01
 -------- 06:00 0.01 0.20 0.03 0.35 0.02 0.51 0.00 0.03 0.01
 -------- 07:00 0.00 0.16 0.01 0.26 0.02 0.50 0.00 0.04 0.01
 10.05.13 08:00 0.01 0.16 0.03 0.20 0.02 0.49 0.00 0.06 0.01
 -------- 09:00 0.01 0.11 0.04 0.21 0.02 0.49 0.00 0.03 0.01
 -------- 10:00 0.01 0.07 0.01 0.18 0.01 0.48 0.00 0.06 0.01
 -------- 11:00 0.01 0.05 ---- 0.13 0.01 0.48 0.00 0.05 0.01
 -------- 12:00 0.01 0.03 0.01 0.10 0.01 0.46 0.00 0.07 0.01
 10.05.13 13:00 0.01 0.02 0.00 0.09 0.01 0.47 0.00 0.04 0.01
 -------- 14:00 0.01 0.00 ---- 0.09 0.01 0.47 0.00 0.04 0.01
 -------- 15:00 0.00 ---- 0.02 0.10 0.01 0.47 0.00 0.06 0.02
 -------- 16:00 0.00 ---- 0.01 0.10 0.03 0.47 0.00 0.07 0.01
 -------- 17:00 0.00 ---- 0.01 0.09 0.02 0.48 0.00 0.06 0.01
 10.05.13 18:00 0.00 ---- ---- 0.10 0.02 0.48 0.00 0.03 0.01
 -------- 19:00 0.00 0.03 ---- 0.14 0.01 0.47 0.00 0.03 0.02
 -------- 20:00 0.01 0.05 0.04 0.27 0.02 0.49 0.00 0.06 0.01
 -------- 21:00 0.01 0.09 0.06 0.27 0.02 0.50 0.00 0.06 0.01
 -------- 22:00 0.01 0.13 0.06 0.33 0.02 0.52 0.00 0.02 0.00
 10.05.13 23:00 0.01 0.15 0.06 0.39 0.02 0.52 0.00 0.04 0.01
 -------- 00:00 0.01 0.15 0.03 0.30 0.01 0.51 0.00 0.09 0.01
 -------- 01:00 0.01 0.10 0.04 0.22 0.03 0.49 0.00 0.05 0.01
 -------- 02:00 0.01 0.11 0.04 0.22 0.01 0.49 0.00 0.03 0.01
 -------- 03:00 0.01 0.13 0.03 0.26 0.02 0.50 0.00 0.06 0.01
 11.05.13 04:00 0.01 0.13 0.03 0.26 0.01 0.49 0.00 0.03 0.01
 -------- 05:00 0.01 0.12 0.03 0.22 0.02 0.49 0.00 0.05 0.01
 -------- 06:00 0.01 0.16 0.06 0.30 0.02 0.50 0.00 0.02 0.01
 -------- 07:00 0.01 0.16 0.07 0.28 0.02 0.50 0.00 0.07 0.01
 -------- 08:00 0.01 0.17 0.05 0.25 0.01 0.50 0.00 0.04 0.01
 11.05.13 09:00 0.01 0.12 0.05 0.26 0.01 0.49 0.00 0.04 0.01
 -------- 10:00 0.01 0.10 0.04 0.23 0.01 0.50 0.00 0.04 0.01
 -------- 11:00 0.01 0.09 0.06 0.21 0.02 0.49 0.00 0.04 0.01
