 Date Time SO2 Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 24.12.12 12:00 0.03 0.19 0.58 0.04 0.49 0.00 0.05 0.01
 -------- 13:00 0.02 0.17 0.60 ---- 0.50 0.01 0.12 ----
 -------- 14:00 0.02 0.27 0.60 0.02 0.53 0.01 0.07 0.01
 -------- 15:00 0.04 0.20 0.57 0.02 0.51 0.01 0.07 0.02
 -------- 16:00 0.05 0.22 0.59 0.02 0.50 0.00 0.06 0.01
 24.12.12 17:00 0.10 0.19 0.54 0.02 0.46 0.00 0.05 0.01
 -------- 18:00 0.08 0.28 0.50 0.01 0.46 0.00 0.04 0.01
 -------- 19:00 0.06 0.23 0.48 0.01 0.46 0.00 0.03 0.02
 -------- 20:00 0.04 0.16 0.47 0.01 0.47 0.00 0.05 0.00
 -------- 21:00 0.03 0.18 0.45 0.02 0.49 0.00 0.01 0.01
 24.12.12 22:00 0.02 0.19 0.45 0.00 0.48 0.00 0.07 0.01
 -------- 23:00 0.02 0.18 0.44 0.01 0.49 0.00 0.06 0.01
 -------- 00:00 0.02 0.20 0.44 0.02 0.48 0.00 0.06 0.01
 -------- 01:00 0.02 0.13 0.42 0.00 0.49 0.00 0.06 0.01
 -------- 02:00 0.02 0.12 0.41 0.02 0.50 0.00 0.05 0.01
 25.12.12 03:00 0.02 0.10 0.38 0.01 0.49 0.00 0.04 0.01
 -------- 04:00 0.02 0.10 0.37 0.01 0.49 0.00 0.06 0.00
 -------- 05:00 0.02 0.07 0.36 0.02 0.50 0.00 0.03 0.00
 -------- 06:00 0.01 0.05 0.38 0.02 0.49 0.00 0.05 0.01
 -------- 07:00 0.02 0.10 0.42 0.00 0.49 0.00 0.07 0.00
 25.12.12 08:00 0.05 0.11 0.35 0.02 0.47 0.00 0.05 0.01
 -------- 09:00 0.04 0.04 0.35 0.02 0.48 0.00 0.05 0.01
 -------- 10:00 0.06 0.04 0.32 0.02 0.45 0.00 0.05 0.01
 -------- 11:00 0.04 0.05 0.34 0.01 0.48 0.00 0.07 0.01
 -------- 12:00 0.03 0.03 0.31 0.01 0.48 0.00 0.04 0.01
 25.12.12 13:00 0.04 0.05 0.29 0.01 0.47 0.00 0.03 0.00
 -------- 14:00 0.05 0.03 0.26 0.03 0.47 0.00 0.06 0.01
 -------- 15:00 0.05 0.05 0.25 0.02 0.46 0.00 0.07 0.00
 -------- 16:00 0.05 0.01 0.23 0.01 0.47 0.00 0.06 0.01
 -------- 17:00 0.05 0.03 0.23 0.01 0.48 0.00 0.05 0.01
 25.12.12 18:00 0.04 0.05 0.27 0.01 0.50 0.00 0.05 0.01
 -------- 19:00 0.04 0.01 0.31 0.03 0.51 0.00 0.06 0.01
 -------- 20:00 0.04 ---- 0.30 0.02 0.50 0.00 0.06 0.02
 -------- 21:00 0.04 ---- 0.30 0.01 0.51 0.00 0.04 0.01
 -------- 22:00 0.04 0.01 0.29 0.02 0.52 0.00 0.03 0.00
 25.12.12 23:00 0.03 0.04 0.28 ---- 0.52 0.00 0.06 0.00
 -------- 00:00 0.03 0.01 0.19 0.02 0.49 0.00 0.02 0.01
 -------- 01:00 0.03 ---- 0.13 0.01 0.49 0.00 0.02 0.01
 -------- 02:00 0.03 ---- 0.09 0.01 0.48 0.00 0.06 0.00
 -------- 03:00 0.03 ---- 0.10 0.01 0.49 0.00 0.05 0.01
 26.12.12 04:00 0.02 ---- 0.11 0.03 0.49 0.00 0.04 0.01
 -------- 05:00 0.02 ---- 0.10 0.01 0.50 0.00 0.04 0.01
 -------- 06:00 0.02 ---- 0.12 0.01 0.50 0.00 0.02 0.01
 -------- 07:00 0.02 ---- 0.15 0.02 0.51 0.00 0.08 0.00
 -------- 08:00 0.02 0.01 0.15 0.02 0.51 0.00 0.08 0.01
 26.12.12 09:00 0.01 0.01 0.19 0.02 0.54 0.00 0.04 0.00
 -------- 10:00 0.01 0.01 0.19 0.02 0.52 0.00 0.06 0.00
 -------- 11:00 0.01 ---- 0.20 0.03 0.53 0.00 0.04 ----
