 Date Time SO2 Формальдегид NO2 Параксилол Фенол Нафталин Стирол
 27.10.12 12:00 0.00 0.59 0.13 0.02 0.50 0.00 0.03
 -------- 13:00 0.00 0.55 0.13 0.02 0.50 0.00 0.03
 -------- 14:00 0.00 0.52 0.15 0.02 0.50 0.00 0.05
 -------- 15:00 0.00 0.65 0.14 0.01 0.50 0.00 0.05
 -------- 16:00 0.01 0.61 0.18 0.01 0.50 0.00 0.03
 27.10.12 17:00 0.01 0.63 0.20 0.01 0.50 0.00 0.03
 -------- 18:00 0.01 0.68 0.23 0.02 0.50 0.00 0.03
 -------- 19:00 0.01 0.74 0.32 0.01 0.50 0.00 ----
 -------- 20:00 0.01 0.73 0.29 0.01 0.50 0.00 0.03
 -------- 21:00 0.01 0.73 0.26 0.01 0.50 0.00 0.03
 27.10.12 22:00 0.01 0.71 0.24 0.02 0.50 0.00 ----
 -------- 23:00 0.01 0.68 0.22 0.02 0.50 0.00 0.03
 -------- 00:00 0.01 0.68 0.15 0.02 0.47 0.00 0.03
 -------- 01:00 0.01 0.70 0.18 0.01 0.50 0.00 ----
 -------- 02:00 0.01 0.76 0.21 0.01 0.50 0.00 0.03
 28.10.12 03:00 0.01 0.71 0.24 0.01 0.50 0.00 0.05
 -------- 04:00 0.03 0.74 0.24 0.02 0.50 0.00 ----
 -------- 05:00 0.03 0.71 0.29 0.01 0.50 0.00 ----
 -------- 06:00 0.01 0.70 0.20 0.01 0.50 0.00 0.04
 -------- 07:00 0.02 0.70 0.26 0.02 0.50 0.00 0.04
 28.10.12 08:00 0.01 0.72 0.26 0.02 0.50 0.00 0.03
 -------- 09:00 0.02 0.71 0.32 0.01 0.50 0.00 ----
 -------- 10:00 0.02 0.75 0.30 0.01 0.50 0.00 0.03
 -------- 11:00 0.02 0.76 0.33 0.01 0.50 0.00 ----
 -------- 12:00 0.01 0.78 0.32 0.02 0.50 0.00 0.03
 28.10.12 13:00 0.01 0.81 0.33 0.02 0.50 0.00 0.05
 -------- 14:00 0.01 0.78 0.34 0.02 0.50 0.00 0.03
 -------- 15:00 0.01 0.81 0.34 0.01 0.50 0.00 ----
 -------- 16:00 0.01 0.80 0.33 0.02 0.50 0.00 ----
 -------- 17:00 0.01 0.77 0.31 0.01 0.50 0.00 ----
 28.10.12 18:00 0.01 0.80 0.31 0.01 0.50 0.00 ----
 -------- 19:00 0.01 0.79 0.31 0.02 0.50 0.00 0.03
 -------- 20:00 0.01 0.78 0.30 0.01 0.50 0.00 0.03
 -------- 21:00 0.01 0.75 0.26 0.01 0.50 0.00 0.03
 -------- 22:00 0.01 0.72 0.26 0.01 0.50 0.00 0.03
 28.10.12 23:00 0.01 0.77 0.29 0.01 0.50 0.00 0.03
 -------- 00:00 0.01 0.68 0.25 0.01 0.50 0.00 ----
 -------- 01:00 0.01 0.72 0.28 0.00 0.50 0.00 0.03
 -------- 02:00 0.01 0.72 0.20 0.01 0.50 0.00 0.03
 -------- 03:00 0.01 0.71 0.17 0.01 0.50 0.00 ----
 29.10.12 04:00 0.01 0.70 0.16 0.00 0.50 0.00 0.03
 -------- 05:00 0.01 0.70 0.15 0.01 0.50 0.00 0.03
 -------- 06:00 0.01 0.70 0.20 0.01 0.50 0.00 0.03
 -------- 07:00 0.01 0.71 0.21 0.02 0.50 0.00 0.03
 -------- 08:00 0.01 0.70 0.20 0.02 0.50 0.00 0.05
 29.10.12 09:00 0.01 0.72 0.23 0.02 0.50 0.00 0.03
 -------- 10:00 0.01 0.72 0.27 0.01 0.50 0.00 0.03
 -------- 11:00 0.01 0.68 0.29 0.02 0.50 0.00 ----
