 Date Time SO2 Формальдегид NO2 Параксилол Фенол Нафталин Стирол
 19.09.12 00:00 0.01 0.33 0.40 0.01 0.50 0.00 0.05
 -------- 01:00 0.02 0.35 0.42 0.01 0.50 0.00 0.03
 -------- 02:00 0.01 0.32 0.41 0.02 0.50 0.00 0.04
 -------- 03:00 0.00 0.26 0.37 0.01 0.50 0.00 0.03
 -------- 04:00 0.01 0.24 0.38 0.01 0.50 0.00 0.04
 19.09.12 05:00 0.01 0.30 0.37 0.02 0.50 0.00 0.04
 -------- 06:00 0.02 0.27 0.39 0.02 0.50 0.00 0.06
 -------- 07:00 0.01 0.30 0.37 0.02 0.50 0.00 0.03
 -------- 08:00 0.01 0.32 0.37 0.02 0.50 0.00 0.03
 -------- 09:00 0.01 0.26 0.35 0.01 0.50 0.00 0.04
 19.09.12 10:00 0.01 0.22 0.36 0.02 0.50 0.00 0.05
 -------- 11:00 0.02 0.13 0.33 0.02 0.50 0.00 0.04
 -------- 12:00 0.01 0.30 0.21 0.02 0.50 0.00 0.05
 -------- 13:00 0.01 0.22 0.15 0.02 0.43 0.00 0.03
 -------- 14:00 0.01 0.14 0.19 0.02 0.47 0.00 0.03
 19.09.12 15:00 0.01 0.09 0.21 0.02 0.40 0.00 0.03
 -------- 16:00 0.01 0.08 0.19 0.01 0.43 0.00 0.04
 -------- 17:00 0.01 0.10 0.22 0.01 0.40 0.00 0.04
 -------- 18:00 0.01 0.14 0.27 0.02 0.50 0.00 0.03
 -------- 19:00 0.01 0.26 0.38 0.01 0.50 0.00 0.03
 19.09.12 20:00 0.01 0.34 0.50 0.02 0.50 0.00 0.04
 -------- 21:00 0.01 0.34 0.51 0.01 0.50 0.00 0.04
 -------- 22:00 0.01 0.30 0.42 0.01 0.50 0.00 0.04
 -------- 23:00 0.01 0.29 0.42 0.02 0.50 0.00 0.04
 -------- 00:00 0.01 0.26 0.45 0.01 0.50 0.00 0.04
 20.09.12 01:00 0.01 0.30 0.37 0.02 0.50 0.00 0.03
 -------- 02:00 0.01 0.27 0.31 0.01 0.50 0.00 0.05
 -------- 03:00 0.01 0.28 0.29 0.02 0.50 0.00 0.05
 -------- 04:00 0.01 0.27 0.28 0.02 0.50 0.00 0.03
 -------- 05:00 0.01 0.22 0.27 0.01 0.50 0.00 0.03
 20.09.12 06:00 0.01 0.28 0.27 0.01 0.50 0.00 0.05
 -------- 07:00 0.01 0.27 0.35 0.02 0.50 0.00 0.06
 -------- 08:00 0.01 0.30 0.37 0.02 0.50 0.00 0.05
 -------- 09:00 0.01 0.27 0.36 0.02 0.50 0.00 0.04
 -------- 10:00 0.01 0.22 0.36 0.01 0.50 0.00 0.03
 20.09.12 11:00 0.01 0.30 0.33 0.01 0.50 0.00 0.03
 -------- 12:00 0.01 0.34 0.27 0.02 0.50 0.00 0.03
 -------- 13:00 0.01 0.27 0.27 0.01 0.50 0.00 0.05
 -------- 14:00 0.01 0.18 0.20 0.02 0.47 0.00 0.04
 -------- 15:00 0.01 0.10 0.20 0.02 0.47 0.00 0.05
 20.09.12 16:00 0.01 0.10 0.18 0.01 0.43 0.00 0.06
 -------- 17:00 0.01 0.11 0.23 0.01 0.47 0.00 0.06
 -------- 18:00 0.01 0.16 0.25 0.01 0.50 0.00 0.03
 -------- 19:00 0.01 0.23 0.35 0.02 0.50 0.00 0.05
 -------- 20:00 0.01 0.30 0.53 0.01 0.50 0.00 0.03
 20.09.12 21:00 0.01 0.33 0.54 0.02 0.50 0.00 0.05
 -------- 22:00 0.01 0.27 0.42 0.02 0.50 0.00 0.04
 -------- 23:00 0.01 0.27 0.40 0.01 0.50 0.00 0.04
